cohort,request_direction,condition,arm,rows,apparent_rate,apparent_95_ci_low,apparent_95_ci_high,candidate_sensitivity_rate,candidate_95_ci_low,candidate_95_ci_high,calibrated_rate,joint_95_interval_low,joint_95_interval_high,publication_status
batch3_release_keep_1342,instrumental_request,I_strong,,57,0.10526315789473684,0.04914465852374461,0.2112281058338703,0.8947368421052632,0.7887718941661297,0.9508553414762553,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,instrumental_request,arm1,1,20,0.1,0.027866481213768224,0.3010336452284873,0.45,0.2581978582556243,0.6579146575496577,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,instrumental_request,arm2,2,18,0.1111111111111111,0.03101952264561239,0.32799765130178804,0.5,0.29031021505169974,0.7096897849483003,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,instrumental_request,arm3,3,20,0.1,0.027866481213768224,0.3010336452284873,0.25,0.11186170140766569,0.468700877618744,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,instrumental_request,arm4,4,24,0.08333333333333333,0.023158815297043306,0.25848802193210685,0.4166666666666667,0.24467602609811764,0.6116533413477124,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,instrumental_request,arm6,6,25,0.16,0.0640345145667644,0.3465362160717886,0.28,0.14283853850956563,0.47576605190361576,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,instrumental_request,arm7,7,22,0.09090909090909091,0.025295428990995267,0.27814946841605814,0.22727272727272727,0.10123039985248516,0.4343995317522171,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,instrumental_request,arm8,8,20,0.1,0.027866481213768224,0.3010336452284873,0.5,0.2992980081982123,0.7007019918017877,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,instrumental_request,none,,187,0.0962566844919786,0.06175618563927625,0.1470111286900872,0.8074866310160428,0.7450174612641955,0.857576968220064,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,vocal_request,V3,,55,0.6545454545454545,0.5225390350756162,0.7663729045791027,0.01818181818181818,0.003216780454841077,0.09605776062162397,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,vocal_request,arm1,1,26,0.19230769230769232,0.0850706114894241,0.3787625711931699,0.07692307692307693,0.0213550884722762,0.2414155377162906,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,vocal_request,arm2,2,25,0.24,0.11496313693401444,0.4342968335542908,0.08,0.022220401284847563,0.24966108950395313,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,vocal_request,arm3,3,26,0.23076923076923078,0.11033849405783291,0.42051554078943687,0.07692307692307693,0.0213550884722762,0.2414155377162906,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,vocal_request,arm4,4,29,0.27586206896551724,0.14698755102087954,0.45717132416865935,0.034482758620689655,0.006113214292762653,0.17175521879320288,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,vocal_request,arm6,6,48,0.10416666666666667,0.045321719041813105,0.2216742169438633,0.0,6.938893903907228e-18,0.07410012966611748,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,vocal_request,arm7,7,26,0.07692307692307693,0.0213550884722762,0.2414155377162906,0.038461538461538464,0.006821984993543487,0.18892778903034757,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,vocal_request,arm8,8,25,0.24,0.11496313693401444,0.4342968335542908,0.08,0.022220401284847563,0.24966108950395313,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
batch3_release_keep_1342,vocal_request,none,,689,0.9492017416545718,0.9301718987032547,0.9632503873325987,0.3178519593613933,0.28417485231894674,0.3535489056859012,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
candidate_spine_4096,instrumental_request,candidate_final,,1568,0.2538265306122449,0.23290520601685658,0.27595111300452335,0.38903061224489793,0.365198716995005,0.413404908677845,,,,BLOCKED_ON_PROMOTION_AND_RATINGS
