bundle_rating_id,scorer_rating_id,bundle_name,identity_bundle_name,position,shuffle_seed,nonce_sha256,media_sha256,request_mode
r_b9648a14a2f64929e3bf,decisive_19_5aece195065b,t1_decisive_v2,t1_decisive,19,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,63ee7fff0c95865a42b501c9789e21fdb1c50374f5248ac626e8a1fcf3fea847,vocal
r_a12ef8afc8c096065e2b,decisive_04_a5f338f1ce29,t1_decisive_v2,t1_decisive,20,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,a2e10bbf4a527a5b951324e2a441cdb159fb2b69c9e468f45a113bd507b82297,vocal
r_9681bc90c968739e948e,decisive_31_c3007809e1c6,t1_decisive_v2,t1_decisive,21,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,31c2d224637dd41ffe4fc7cece9aaab8a4fab832346d6496766624970a55d757,vocal
r_8688ab79c41019dc182b,decisive_36_91578aa38188,t1_decisive_v2,t1_decisive,22,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,2deaa740ddf34cb1db57da97818ef99ef54b1888425723a467982c55c66aad38,vocal
r_7fc14df2a1a159bc0411,decisive_16_70313a930f10,t1_decisive_v2,t1_decisive,23,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,33bc9b9557a13eea1396263285a31b792c58e655d3f0284f41b6bc5021d4f42e,vocal
r_0cf5f45216402867efd0,decisive_23_ac24af32778a,t1_decisive_v2,t1_decisive,24,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,63b28afed633e949a492bbd48cb19d173f8de57d872c78f2a6951ef3eb2fbc06,instrumental
r_14e4e6905051ef68003d,decisive_22_92b51bc2af21,t1_decisive_v2,t1_decisive,25,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,60acb3289a79c023826c92bd2237655d12aebd7a64d1f13be24d18017b39754e,vocal
r_46aa61e93eb6e141a42c,decisive_05_74e8e1d035d2,t1_decisive_v2,t1_decisive,26,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,e0e0ab925c0f2f6cf8ab8022713bc905057173af0fb25d624ff36295ca5cce38,vocal
r_a2273488b5ce98a0d86e,decisive_35_3ab3b787b59e,t1_decisive_v2,t1_decisive,27,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,8fcfdcaf1eaadede8867d62535b35842b4c394f3a6e8ff2da115c816748751cf,vocal
r_4223bf0304e3801d90d8,decisive_30_691445ce4637,t1_decisive_v2,t1_decisive,28,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,c8b90147bfc652625dbe5ad4e7c5659ef5891be339aa6b9a3083d26b3adae10d,instrumental
r_a60ee9d1a88646c64042,decisive_11_a8223b360df8,t1_decisive_v2,t1_decisive,29,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,9ceaccace2b08e73ec889e1dd08212ea38eabcfff6d6678d0f04a6d755422155,vocal
r_00c97a4ab135e155b5b6,decisive_20_915b8df08b53,t1_decisive_v2,t1_decisive,30,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,e8a12099c8285a8bf24a28fb7867fe08ee453740a611cd17a617e5ed96030ced,vocal
r_6ea61ab5d02819498d22,decisive_32_98b71b8decb6,t1_decisive_v2,t1_decisive,31,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,aadaab5587fcdddffa8aede77cf74de760e35e3a57aecf0780fd1bcb0a2078a9,instrumental
r_2957c2515289bc57b7a5,decisive_17_4217d6b8e4a2,t1_decisive_v2,t1_decisive,32,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,dfd09d76815af12db86180fe748caac0b0a43784bc230bc798dc6ffb3c51f719,instrumental
r_22563bc62a77475a5f54,decisive_01_6c137151640e,t1_decisive_v2,t1_decisive,33,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,91c7adc9ba23db61d0a97714461eec2e63f39d07f5dc522f645cea30119b6d3e,vocal
r_fa01df4f08f7dc3e96d5,decisive_14_e7a8cf805731,t1_decisive_v2,t1_decisive,34,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,cc560e31ec7ac2454a54e117b1fc73d19de9262594a59fd9c530a11fe9c04814,vocal
r_aa0041b92c025abbaa48,decisive_40_2fbec10d8a00,t1_decisive_v2,t1_decisive,35,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,475a345ba1e4277e23c52b18864b3f96d4f07bfda19620ea5fc5828109732ee8,vocal
r_6f8d0757337cc9ae8847,decisive_21_61e688012e92,t1_decisive_v2,t1_decisive,36,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,b957ec48ce55b99bf9ba9ba361bff372839700bd1f5c898c99ef6e521efe1a90,vocal
r_feb91be4963c838e350a,decisive_02_9643022ddbf6,t1_decisive_v2,t1_decisive,37,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,d28ce6bba4aae71294cec8638028e9a1041a0dab79971bbd93bb4121d8fcf234,vocal
r_a8b8d67565d6fadae091,decisive_29_47807785883b,t1_decisive_v2,t1_decisive,38,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,73693b53a269a8abbb441df477395c9eda24241c5bcdff3452fb1caecd7fca03,vocal
r_e12064a1880827203f0f,decisive_38_217a8f3c70ce,t1_decisive_v2,t1_decisive,39,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,429dddf8d18f4ed0c8c5d8ec8613cc17fd2d5d8324989b803548b6f0b01bff4d,vocal
r_953c82e4500deb4bf92c,decisive_24_5b448e7609f2,t1_decisive_v2,t1_decisive,40,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,b26570fd30720553ac238833f5b631dca345fe328a01c31f44ada103eebe4880,instrumental
r_878ec28f37044b7e3af9,decisive_07_df9c1a8daced,t1_decisive_v2,t1_decisive,41,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,34fcdfb4ec9135ac936272829ff0649ee6b4172635e0cc0b98cc1d1f20a494ee,vocal
r_5355bb001acac1c4ad8b,decisive_15_cc2eb6bbefa7,t1_decisive_v2,t1_decisive,42,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,4b7e181e337d6d10daefb17977c759a69b20b732847769d30e24d807f5cb2956,vocal
