flac,control_category,prompt_id,requested_vocal,seed,vocal_energy_ratio,near_silent,present,type_correct,panns_vocal,common,semantic,aesthetic_pq,lyric
keep/ctlA_rnb_vocal/seed2_2026500002.flac,A_trivial_vocal,ctlA_rnb_vocal,1,2026500002,0.26051,False,1,1,0.08511,2.411228768543818,0.5557461380958557,8.3433837890625,0.08333333333333337
keep/ctlA_rnb_vocal/seed3_2026500003.flac,A_trivial_vocal,ctlA_rnb_vocal,1,2026500003,0.23527,False,1,1,0.1378,2.325553515406811,0.5485555529594421,7.808128833770752,0.08333333333333337
keep/ctlA_rnb_vocal/seed4_2026500004.flac,A_trivial_vocal,ctlA_rnb_vocal,1,2026500004,0.86694,False,1,1,0.15801,2.243494207463625,0.4883081614971161,7.728115558624268,0.0
keep/ctlA_rnb_vocal/seed5_2026500005.flac,A_trivial_vocal,ctlA_rnb_vocal,1,2026500005,0.24594,False,1,1,0.38525,2.2621390652632214,0.3115817904472351,7.491387367248535,0.0
keep/ctlA_rnb_vocal/seed6_2026500006.flac,A_trivial_vocal,ctlA_rnb_vocal,1,2026500006,0.60574,False,1,1,0.12499,2.2744286520019714,0.492728054523468,7.770143508911133,0.9166666666666666
keep/ctlA_rnb_vocal/seed7_2026500007.flac,A_trivial_vocal,ctlA_rnb_vocal,1,2026500007,0.3639,False,1,1,0.17092,2.509452140777445,0.4854196310043335,8.290976524353027,0.5
keep/ctlA_rock_vocal/seed0_2026300000.flac,A_trivial_vocal,ctlA_rock_vocal,1,2026300000,0.1968,False,1,1,0.13259,2.4028070782263025,0.46177512407302856,7.629613399505615,0.4444444444444444
keep/ctlA_rock_vocal/seed1_2026300001.flac,A_trivial_vocal,ctlA_rock_vocal,1,2026300001,0.20208,False,1,1,0.05907,2.438638812309154,0.3267112076282501,7.820996284484863,0.6666666666666667
keep/ctlA_rock_vocal/seed2_2026300002.flac,A_trivial_vocal,ctlA_rock_vocal,1,2026300002,0.10115,False,0,0,0.1068,2.389663841826503,0.4639330208301544,7.676177024841309,0.9259259259259259
keep/ctlA_rock_vocal/seed3_2026300003.flac,A_trivial_vocal,ctlA_rock_vocal,1,2026300003,0.1151,False,0,0,0.13506,2.127297870457506,0.5004341006278992,7.174428939819336,0.0
keep/ctlA_rock_vocal/seed4_2026300004.flac,A_trivial_vocal,ctlA_rock_vocal,1,2026300004,0.14843,False,0,0,0.13594,2.309265165916953,0.4356733560562134,6.987719535827637,0.40740740740740744
keep/ctlA_rock_vocal/seed5_2026300005.flac,A_trivial_vocal,ctlA_rock_vocal,1,2026300005,0.44331,False,1,1,0.08811,2.323644222708252,0.329832524061203,7.927512168884277,0.6296296296296297
keep/ctlA_rock_vocal/seed6_2026300006.flac,A_trivial_vocal,ctlA_rock_vocal,1,2026300006,0.16219,False,0,0,0.09101,2.194750471316485,0.4324524402618408,6.592250823974609,0.4444444444444444
keep/ctlA_rock_vocal/seed7_2026300007.flac,A_trivial_vocal,ctlA_rock_vocal,1,2026300007,0.27576,False,1,1,0.14578,2.153140793726546,0.4573533535003662,6.994221210479736,0.0
keep/ctlB_ambient_instr/seed0_2026900000.flac,B_trivial_instrumental,ctlB_ambient_instr,0,2026900000,0.0,False,0,1,0.01771,2.1452858342790595,0.29788222908973694,7.780492782592773,1.0
keep/ctlB_ambient_instr/seed1_2026900001.flac,B_trivial_instrumental,ctlB_ambient_instr,0,2026900001,0.0212,False,0,1,0.02337,1.822388940051535,0.3372761309146881,6.206584453582764,1.0
keep/ctlB_ambient_instr/seed2_2026900002.flac,B_trivial_instrumental,ctlB_ambient_instr,0,2026900002,0.00965,False,0,1,0.08164,2.247696128424397,0.49739304184913635,7.422967433929443,1.0
keep/ctlB_ambient_instr/seed3_2026900003.flac,B_trivial_instrumental,ctlB_ambient_instr,0,2026900003,0.10458,False,0,1,0.30876,1.972497500772342,0.28090423345565796,5.227555274963379,1.0
keep/ctlB_ambient_instr/seed4_2026900004.flac,B_trivial_instrumental,ctlB_ambient_instr,0,2026900004,0.01443,False,0,1,0.013,2.4254798534110953,0.1469072848558426,7.901551723480225,1.0
keep/ctlB_ambient_instr/seed5_2026900005.flac,B_trivial_instrumental,ctlB_ambient_instr,0,2026900005,0.00853,False,0,1,0.0238,2.0521885238652753,0.29377809166908264,6.9995903968811035,1.0
keep/ctlB_ambient_instr/seed6_2026900006.flac,B_trivial_instrumental,ctlB_ambient_instr,0,2026900006,0.00661,False,0,1,0.03015,2.1575023902517843,0.2959545850753784,7.5122246742248535,1.0
keep/ctlB_ambient_instr/seed7_2026900007.flac,B_trivial_instrumental,ctlB_ambient_instr,0,2026900007,3e-05,False,0,1,0.0274,2.3252642568449633,0.36060672998428345,7.502007007598877,1.0
keep/ctlB_classical_instr/seed0_2027000000.flac,B_trivial_instrumental,ctlB_classical_instr,0,2027000000,0.00785,False,0,1,0.0229,2.1382616989046825,0.49492838978767395,7.698275089263916,1.0
keep/ctlB_classical_instr/seed1_2027000001.flac,B_trivial_instrumental,ctlB_classical_instr,0,2027000001,0.30692,False,1,0,0.21152,2.3900770401560103,0.34950247406959534,7.279469013214111,1.0
keep/ctlB_classical_instr/seed2_2027000002.flac,B_trivial_instrumental,ctlB_classical_instr,0,2027000002,0.05406,False,0,1,0.13594,2.4130535071876884,0.29246923327445984,7.088013648986816,1.0
keep/ctlB_classical_instr/seed3_2027000003.flac,B_trivial_instrumental,ctlB_classical_instr,0,2027000003,0.0,False,0,1,0.01666,2.0625406339422314,0.0990786924958229,7.7966742515563965,1.0
keep/ctlB_classical_instr/seed4_2027000004.flac,B_trivial_instrumental,ctlB_classical_instr,0,2027000004,0.54544,False,1,0,0.64317,1.659268975864621,0.16911891102790833,3.911905527114868,1.0
keep/ctlB_classical_instr/seed5_2027000005.flac,B_trivial_instrumental,ctlB_classical_instr,0,2027000005,0.20657,False,1,0,0.20419,2.4250679530586443,0.16481731832027435,7.8289594650268555,1.0
keep/ctlB_classical_instr/seed6_2027000006.flac,B_trivial_instrumental,ctlB_classical_instr,0,2027000006,0.0,False,0,1,0.02826,1.9554330344644102,0.06726451963186264,7.186582088470459,1.0
keep/ctlB_classical_instr/seed7_2027000007.flac,B_trivial_instrumental,ctlB_classical_instr,0,2027000007,0.01374,False,0,1,0.01804,2.4713696306239408,0.3555891811847687,8.072009086608887,1.0
keep/ctlB_jazz_instr/seed0_2026800000.flac,B_trivial_instrumental,ctlB_jazz_instr,0,2026800000,0.0,False,0,1,0.01611,2.487015687847838,0.47504687309265137,7.596428394317627,1.0
keep/ctlB_jazz_instr/seed1_2026800001.flac,B_trivial_instrumental,ctlB_jazz_instr,0,2026800001,0.41925,False,1,0,0.20209,2.2940620901847835,0.3796333968639374,6.8332719802856445,1.0
keep/ctlB_jazz_instr/seed2_2026800002.flac,B_trivial_instrumental,ctlB_jazz_instr,0,2026800002,1e-05,False,0,1,0.01974,2.4534634255286423,0.556167483329773,7.765522480010986,1.0
keep/ctlB_jazz_instr/seed3_2026800003.flac,B_trivial_instrumental,ctlB_jazz_instr,0,2026800003,0.16458,False,0,1,0.31067,2.270086854466294,0.46207940578460693,6.6535491943359375,1.0
keep/ctlB_jazz_instr/seed4_2026800004.flac,B_trivial_instrumental,ctlB_jazz_instr,0,2026800004,0.0,False,0,1,0.01595,2.0983977651729293,0.2236061841249466,6.967963218688965,1.0
keep/ctlB_jazz_instr/seed5_2026800005.flac,B_trivial_instrumental,ctlB_jazz_instr,0,2026800005,0.0,False,0,1,0.03416,2.110921801230225,0.19882449507713318,7.264566421508789,1.0
