audit_index,rating_id,set_bucket,expected_demucs_label,audio_path,scoring_seed,sample_rate,gate_ratio,canonical_ratio,absolute_ratio_delta,gate_near_silent,canonical_near_silent,gate_label,canonical_label,label_agree
72,aprime_0396_d8376f888286,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0396_d8376f888286.flac,3939481540,48000,0.199562731947,0.199562713504,0.000000018444,0,0,1,1,1
73,aprime_0279_181c7f10c98f,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0279_181c7f10c98f.flac,545074660,48000,0.153300731456,0.153300732374,0.000000000918,0,0,0,0,1
74,aprime_0340_d535c8110c05,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0340_d535c8110c05.flac,2438578618,48000,0.216892364062,0.216892376542,0.000000012480,0,0,1,1,1
75,aprime_0529_8e2c9a3cee0a,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0529_8e2c9a3cee0a.wav,1616410118,48000,0.178349127375,0.178349137306,0.000000009931,0,0,0,0,1
76,aprime_0123_65afee322263,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0123_65afee322263.wav,1154006320,48000,0.044223333724,0.044223334640,0.000000000917,0,0,0,0,1
77,aprime_0066_863db45703ed,detector_disagreement_112,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0066_863db45703ed.wav,3811553107,48000,0.122495765982,0.122495763004,0.000000002978,0,0,0,0,1
78,aprime_0405_268bd5265d8e,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0405_268bd5265d8e.flac,2257743361,48000,0.003603404273,0.003603404155,0.000000000118,0,0,0,0,1
79,aprime_0154_344e9c576e84,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0154_344e9c576e84.flac,3435008171,48000,0.200123962973,0.200123935938,0.000000027035,0,0,1,1,1
80,aprime_0128_2ba642aa7971,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0128_2ba642aa7971.flac,3646443160,48000,0.078392139806,0.078392155468,0.000000015662,0,0,0,0,1
81,aprime_0217_34ef2132d1e9,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0217_34ef2132d1e9.flac,1397059973,48000,0.435475914768,0.435475975275,0.000000060507,0,0,1,1,1
82,aprime_0538_8bc15fc6a73b,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0538_8bc15fc6a73b.wav,494265174,48000,0.180929464511,0.180929452181,0.000000012331,0,0,1,1,1
83,aprime_0013_787b3b17faad,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0013_787b3b17faad.wav,795615636,48000,0.163407837494,0.163407847285,0.000000009791,0,0,0,0,1
84,aprime_0450_30f99bdb26e3,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0450_30f99bdb26e3.flac,2960078436,48000,0.032392263514,0.032392267138,0.000000003624,0,0,0,0,1
85,aprime_0673_e568f5b2e93e,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0673_e568f5b2e93e.flac,3968696082,48000,0.259854483024,0.259854495525,0.000000012501,0,0,1,1,1
86,aprime_0669_a61675a50dd2,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0669_a61675a50dd2.flac,1831906335,48000,0.058916949013,0.058916948736,0.000000000277,0,0,0,0,1
87,aprime_0200_9bb4ac35bf8c,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0200_9bb4ac35bf8c.flac,1757594526,48000,0.526719776079,0.526719808578,0.000000032499,0,0,1,1,1
88,aprime_0656_10c9239a727c,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0656_10c9239a727c.wav,3627198023,48000,0.445960463217,0.445960462093,0.000000001123,0,0,1,1,1
89,aprime_0101_a0d29cf558ff,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0101_a0d29cf558ff.wav,1856222812,48000,0.164424371411,0.164424359798,0.000000011613,0,0,0,0,1
90,aprime_0614_0639947cd40b,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0614_0639947cd40b.flac,3320614961,48000,0.126735457173,0.126735448837,0.000000008335,0,0,0,0,1
91,aprime_0590_0e185a20ef58,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0590_0e185a20ef58.flac,3182693626,48000,0.203448693447,0.203448683023,0.000000010423,0,0,1,1,1
92,aprime_0539_e69e017f0725,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0539_e69e017f0725.flac,1444221945,48000,0.022436703082,0.022436702624,0.000000000458,0,0,0,0,1
93,aprime_0266_8953474d89dd,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0266_8953474d89dd.flac,1336096904,48000,0.320245499515,0.320245504379,0.000000004864,0,0,1,1,1
94,aprime_0109_dd82db742d14,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0109_dd82db742d14.wav,3746685125,48000,0.183217067298,0.183217048645,0.000000018653,0,0,1,1,1
95,aprime_0647_92e26629e8be,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0647_92e26629e8be.wav,4211934931,48000,0.173974451706,0.173974454403,0.000000002696,0,0,0,0,1
96,aprime_0120_d6228d2f0283,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0120_d6228d2f0283.flac,1153652878,48000,0.010600342787,0.010600341484,0.000000001303,0,0,0,0,1
97,aprime_0600_ecd8bddf55e3,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0600_ecd8bddf55e3.flac,2878388489,48000,0.220161999250,0.220162004232,0.000000004983,0,0,1,1,1
98,aprime_0339_eb78e331a489,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0339_eb78e331a489.flac,3587532062,48000,0.142239036063,0.142239034176,0.000000001887,0,0,0,0,1
99,aprime_0551_d444726afcc5,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0551_d444726afcc5.flac,682274841,48000,0.360866151061,0.360866129398,0.000000021662,0,0,1,1,1
100,aprime_0534_77fb5f4d206c,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0534_77fb5f4d206c.wav,307655965,48000,0.468166643176,0.468166649342,0.000000006165,0,0,1,1,1
101,aprime_0253_0c49c4ef352f,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0253_0c49c4ef352f.wav,3145548288,48000,0.163331591601,0.163331583142,0.000000008459,0,0,0,0,1
102,aprime_0087_9db027afddca,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0087_9db027afddca.flac,696897450,48000,0.025270674316,0.025270674378,0.000000000061,0,0,0,0,1
103,aprime_0197_8ebaf6d67812,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0197_8ebaf6d67812.flac,1596794137,48000,0.230223640882,0.230223655701,0.000000014819,0,0,1,1,1
104,aprime_0019_c0a7a0cb8433,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0019_c0a7a0cb8433.flac,894512211,48000,0.020994067668,0.020994067192,0.000000000476,0,0,0,0,1
105,aprime_0671_0cca665ef8c3,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0671_0cca665ef8c3.flac,2236349400,48000,0.186567844924,0.186567842960,0.000000001963,0,0,1,1,1
106,aprime_0045_5a7b34ed6e73,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0045_5a7b34ed6e73.wav,3828866641,48000,0.181636940344,0.181636944413,0.000000004069,0,0,1,1,1
107,aprime_0104_48bbf5a928f5,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0104_48bbf5a928f5.wav,2647656402,48000,0.168962204905,0.168962195516,0.000000009390,0,0,0,0,1
108,aprime_0051_63864ca8c042,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0051_63864ca8c042.flac,1984337983,48000,0.094333733596,0.094333723187,0.000000010408,0,0,0,0,1
109,aprime_0441_ba8caca5699d,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0441_ba8caca5699d.flac,549475562,48000,0.187894119677,0.187894120812,0.000000001135,0,0,1,1,1
110,aprime_0406_f50060ff9d0b,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0406_f50060ff9d0b.flac,3739865157,48000,0.056528540113,0.056528542191,0.000000002078,0,0,0,0,1
111,aprime_0566_1e2277c399d0,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0566_1e2277c399d0.flac,1990440450,48000,0.335357114667,0.335357129574,0.000000014906,0,0,1,1,1
112,aprime_0199_0b332e9c48bb,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0199_0b332e9c48bb.wav,4111088372,48000,0.791309828774,0.791309833527,0.000000004752,0,0,1,1,1
113,aprime_0069_58b473a79c94,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0069_58b473a79c94.wav,3655026433,48000,0.164229772437,0.164229780436,0.000000007999,0,0,0,0,1
114,aprime_0644_d370ede41172,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0644_d370ede41172.flac,2670647754,48000,0.025694168137,0.025694169104,0.000000000967,0,0,0,0,1
115,aprime_0515_55e69598f51a,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0515_55e69598f51a.flac,2534592325,48000,0.189086637907,0.189086630940,0.000000006967,0,0,1,1,1
116,aprime_0485_eaf3b53cd93c,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0485_eaf3b53cd93c.flac,204994432,48000,0.172914729417,0.172914728522,0.000000000895,0,0,0,0,1
117,aprime_0029_d2687aa42c80,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0029_d2687aa42c80.flac,4024703867,48000,0.223141935471,0.223141953349,0.000000017878,0,0,1,1,1
118,aprime_0678_0359e11aa43e,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0678_0359e11aa43e.wav,2393415615,48000,0.186603002277,0.186603009701,0.000000007424,0,0,1,1,1
119,aprime_0399_c408c8caeb94,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0399_c408c8caeb94.wav,125423682,48000,0.176993182178,0.176993161440,0.000000020738,0,0,0,0,1
120,aprime_0367_865a227d0643,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0367_865a227d0643.flac,506339701,48000,0.069500779092,0.069500774145,0.000000004947,0,0,0,0,1
121,aprime_0493_09ec62604c41,rare_basin_48,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0493_09ec62604c41.flac,3236134577,48000,0.210501657323,0.210501655936,0.000000001387,0,0,1,1,1
122,aprime_0076_711e802aa637,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0076_711e802aa637.flac,2630655224,48000,0.008505544646,0.008505544625,0.000000000021,0,0,0,0,1
123,aprime_0268_f9484e33acdf,stratified_random_500,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0268_f9484e33acdf.flac,101685902,48000,0.363544841121,0.363544821739,0.000000019381,0,0,1,1,1
124,aprime_0508_7023bce96948,agreement_spotcheck_30,1,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0508_7023bce96948.wav,2868743773,48000,0.404615538281,0.404615521431,0.000000016850,0,0,1,1,1
125,aprime_0186_974bb909f260,detector_disagreement_112,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0186_974bb909f260.wav,4213931628,48000,0.100139850604,0.100139848888,0.000000001716,0,0,0,0,1
126,aprime_0567_07c3ec3b4c72,rare_basin_48,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0567_07c3ec3b4c72.flac,3659226924,48000,0.066895325061,0.066895321012,0.000000004050,0,0,0,0,1
127,aprime_0131_0eb4beb64c40,stratified_random_500,0,paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0131_0eb4beb64c40.flac,1269038392,48000,0.062427852800,0.062427852303,0.000000000497,0,0,0,0,1
