source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes,sample_id,copied_path,copied_size_bytes,release_reason,sha256,vocal_energy_ratio,panns_vocal
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0081/a6_r1_t02_seed2026399102.flac,PH2_ONLINE,online_run,held_out_0081,arm6,6,1,2,2026399102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,9337719,aprime_0342,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0342_f5ef20a07dc4.flac,9337719,a_prime_500_judge_sample,965e6c668e55fd83eb46bf9cc521de0463dfb8c743a47ae2f8541fa81fe78262,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a4_r1_t07_seed2026319107.flac,PH2_ONLINE,online_run,held_out_0001,arm4,4,1,7,2026319107,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6869282,aprime_0343,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0343_390e1ee1df38.flac,6869282,a_prime_500_judge_sample,5460224cc1be67572e3c591001bb2eac778afa3434a7f53b372fffc344bb09e6,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0035/none_s5_2026800005.flac,ATLAS,bon256,held_out_0035,none,,,,2026800005,0,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,2330722,aprime_0344,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0344_1dbffa92b8b8.flac,2330722,a_prime_500_judge_sample,87b342e26c4924b7d783d41219169bfde63dc3e0fbfd979f872f1542c1f7f14f,0.16645,0.09754
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0045/none_s507_2027100507.flac,ATLAS,bon256,held_out_0045,none,,,,2027100507,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w3.jsonl,7704671,aprime_0345,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0345_49657753d8f6.flac,7704671,a_prime_500_judge_sample,44dce13947ac125222e7826d514dba2972ec384982b6857a44c27892cc4a1a55,0.04321,0.55356
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0069/none_s284_2027300284.flac,ATLAS,bon256,held_out_0069,none,,,,2027300284,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w4.jsonl,8133356,aprime_0346,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0346_fc6eb50397b2.flac,8133356,a_prime_500_judge_sample,12cebbf9b32c24f355e6590f0ac78d3ce6ecc507378b1683bc5e99dd6d00034f,0.23154,0.06042
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0199/none_s110_2028600110.flac,ATLAS,bon256,held_out_0199,none,,,,2028600110,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,4242298,aprime_0347,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0347_ac11db8ae667.flac,4242298,a_prime_500_judge_sample,75994b7578751352d5bc05b3adf293550b29fe882e2e90941e4a3df0fe061728,0.04526,0.48276
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0024/none_s11_2026700011.flac,ATLAS,bon256,held_out_0024,none,,,,2026700011,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,9100814,aprime_0348,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0348_d03b8b6dd76f.flac,9100814,a_prime_500_judge_sample,a311f3ac7da4043dd4bb9f27e3945247e8cef695faa427ffb6344fd543cf7532,0.12033,0.06953
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0204/none_s98_2028700098.flac,ATLAS,bon256,held_out_0204,none,,,,2028700098,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,3695039,aprime_0349,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0349_459bff72309b.flac,3695039,a_prime_500_judge_sample,e0478d631a3758bb5ecdd479ff3acb21975381398c44fbcc1036081d737c5f6d,0.0478,0.07727
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0204/none_s248_2028700248.flac,ATLAS,bon256,held_out_0204,none,,,,2028700248,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,3588688,aprime_0350,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0350_31878b9c82ed.flac,3588688,a_prime_500_judge_sample,a3f3437c52010fce14b007aef74a5a3f7bf27e936791614650d94413a920339e,0.04802,0.44273
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0240/none_s54_2029000054.flac,ATLAS,bon256,held_out_0240,none,,,,2029000054,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,9287239,aprime_0351,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0351_3ff033ecd020.flac,9287239,a_prime_500_judge_sample,3210211b5248325b63e7de2cd523749bf2f9b34d67fdafbfbf4e4c1f66ceaee9,0.04756,0.44258
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0193/none_s46_2028500046.flac,ATLAS,bon256,held_out_0193,none,,,,2028500046,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,4407848,aprime_0352,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0352_9f82bdf012b8.flac,4407848,a_prime_500_judge_sample,f0f73d7ab0199c18daca9f833ee1c4c852cbbd46fe300e3fdf8541781f51420a,0.09901,0.09451
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0015/none_s252_2027100252.flac,ATLAS,bon256_general,held_out_0015,none,,,,2027100252,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w4.jsonl,4893685,aprime_0353,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0353_e8847c88ab14.flac,4893685,a_prime_500_judge_sample,65cdbe78a8528514f9bae9e71548a4aeb2125b00022352b7ed0d6ef8ad2e3c53,0.17408,0.11909
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0069/none_s363_2027300363.flac,ATLAS,bon256,held_out_0069,none,,,,2027300363,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w3.jsonl,6401174,aprime_0354,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0354_1e994186f4e7.flac,6401174,a_prime_500_judge_sample,115153b56b02c878ba6c0800c74027e1d76c1f55b5bd4d9ac847e0ad7645c13d,0.0226,0.19469
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0015/none_s38_2027100038.flac,ATLAS,bon256_general,held_out_0015,none,,,,2027100038,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w6.jsonl,4448513,aprime_0355,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0355_dc8c82bf435b.flac,4448513,a_prime_500_judge_sample,0a75fa034b0510a7dd07c8c6fd9873f4c5ecfd6b3fe1f06a57eb76b8869938db,0.16831,0.11578
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0016/none_s303_2026400303.flac,ATLAS,bon256,held_out_0016,none,,,,2026400303,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w7.jsonl,9400576,aprime_0356,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0356_976f464abdcf.flac,9400576,a_prime_500_judge_sample,7bf78a0cb1a02bcdc22f0e46295617fbc8ed6dff52808ba2effba3c85c79fa89,0.0917,0.08423
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0142/none_s402_2028100402.flac,ATLAS,bon256,held_out_0142,none,,,,2028100402,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w2.jsonl,8327551,aprime_0357,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0357_57fa68c6ea7b.flac,8327551,a_prime_500_judge_sample,726281e0ef73cd875e14d6ef37f5cf87a88b4849d0a2b4706867f3d7a9f60f20,0.05459,0.26021
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0064/a8_r1_t03_seed2026382103.flac,PH2_ONLINE,online_run,held_out_0064,arm8,8,1,3,2026382103,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w0.jsonl,7782784,aprime_0358,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0358_8d786f45e690.flac,7782784,a_prime_500_judge_sample,f442f18d83919a910cebefd5b41f29c599f635011e262c47258dfa5bbbed6207,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0099/a6_r0_t06_seed2026417006.flac,PH2_ONLINE,online_run,held_out_0099,arm6,6,0,6,2026417006,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w3.jsonl,7857269,aprime_0359,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0359_8b37979368c7.flac,7857269,a_prime_500_judge_sample,8e54caec1f13490d305df616946c6c444dc46647098d6da20a7459fdceedf30f,,
