split,request_stratum,method,n,positives,tp,tn,fp,fn,auroc,sensitivity,specificity,balanced_accuracy,mcc
all,instrumental,same_trajectory_step_1,48,0,0,48,0,0,nan,nan,1.0,nan,0.0
all,instrumental,same_trajectory_step_2,48,0,0,48,0,0,nan,nan,1.0,nan,0.0
all,instrumental,same_trajectory_step_3,48,0,0,48,0,0,nan,nan,1.0,nan,0.0
all,instrumental,final_replay,48,0,0,48,0,0,nan,nan,1.0,nan,0.0
all,vocal,prompt_only,48,13,13,0,35,0,0.5,1.0,0.0,0.5,0.0
all,vocal,independent_lowstep,48,13,11,29,6,2,0.8901098901098901,0.8461538461538461,0.8285714285714286,0.8373626373626374,0.626942006555466
all,vocal,same_trajectory_step_0,48,13,11,29,6,2,0.9032967032967033,0.8461538461538461,0.8285714285714286,0.8373626373626374,0.626942006555466
all,vocal,same_trajectory_step_1,48,13,12,31,4,1,0.9494505494505494,0.9230769230769231,0.8857142857142857,0.9043956043956044,0.7624425757515653
all,vocal,same_trajectory_step_2,48,13,13,34,1,0,1.0,1.0,0.9714285714285714,0.9857142857142858,0.9497582936339807
all,vocal,same_trajectory_step_3,48,13,13,35,0,0,1.0,1.0,1.0,1.0,1.0
all,vocal,final_replay,48,13,13,35,0,0,1.0,1.0,1.0,1.0,1.0
