media_sha256,demucs_score,panns_score,demucs_present,panns_present,present,near_silent,backend_id
405d969fa1203337edf917cc2e15e33363564f8610ac356ea96e40bae0531c04,3.077088194913813e-06,0.019728362560272217,0,0,0,False,frozen-w2-demucs-panns-and
471ca89e77a06ba1c9a2b0c829d2061f687c581f038a3fa48c82a682ad3ab982,0.5014054179191589,0.2265748381614685,1,1,1,False,frozen-w2-demucs-panns-and
4756d9a863aaf719e78eae973226dedbbaf3ce29aa1c6f4218567c62e9c2674f,0.15679940581321716,0.048966336995363235,1,1,1,False,frozen-w2-demucs-panns-and
47ad435d74ce1ff076040172ce66bfe4152f857508ef8245a50cb5a148a79984,0.0001623804564587772,0.02800915017724037,0,0,0,False,frozen-w2-demucs-panns-and
4e6032f521387122bb069c596ac7d321a8c1597f534e69cf19950a13a38e6661,1.1603017355810152e-06,0.02443518675863743,0,0,0,False,frozen-w2-demucs-panns-and
50cb92ad8c538f1507983b014555440f096ae50d4acefe95b887fd2076c21cd1,0.00012458913261070848,0.01116770040243864,0,0,0,False,frozen-w2-demucs-panns-and
5245be4438f7f30f4954a90c0a7e1bcb88bea9478d8a644bfca897bc581a9dfe,0.011775963939726353,0.1641782820224762,0,1,0,False,frozen-w2-demucs-panns-and
52c9fc8d3e6f2eb18619783758294782d519221968002017a7663231ef1e16d5,0.054189734160900116,0.05650812014937401,1,1,1,False,frozen-w2-demucs-panns-and
53145c485e236f00caeeb8aaf043360e6ebb796a88ed84526da2feb534edf1b7,0.2889379858970642,0.1271175891160965,1,1,1,False,frozen-w2-demucs-panns-and
5460224cc1be67572e3c591001bb2eac778afa3434a7f53b372fffc344bb09e6,0.011715021915733814,0.24350260198116302,0,1,0,False,frozen-w2-demucs-panns-and
54c02ad19c252467a63e72d40bf74c4db70482ead67993d0f7be31ca3bcccbd6,0.32297828793525696,0.17915655672550201,1,1,1,False,frozen-w2-demucs-panns-and
54e688377780b17a19438c78a2944abc5aa935aac58e501cfdb583672bd16368,0.9224070310592651,0.12547685205936432,1,1,1,False,frozen-w2-demucs-panns-and
55a71c5de5a21d7ca9b41a19ac2fcb2b820f2830b28623430d288798187706a0,0.27053672075271606,0.08250238746404648,1,1,1,False,frozen-w2-demucs-panns-and
5730a512db0588590f26b3e3a26b14fa0cf7a3161b4ad345888c87753a3acf4e,0.1805894821882248,0.2526019215583801,1,1,1,False,frozen-w2-demucs-panns-and
59744320021d08b156ccddb1771efc09866555ad615a22b5a778428883903337,0.0942184329032898,0.30747729539871216,1,1,1,False,frozen-w2-demucs-panns-and
5ad2b5b142600873da3c0e618001e0a02804c1c27ee49fb467c03c5f34909e95,0.21344353258609772,0.09718026220798492,1,1,1,False,frozen-w2-demucs-panns-and
5cc68593bccde81ea44b9eee29f87b65a549a0548fa7eb8ea8d3887bc5082c7c,0.1415567398071289,0.13882876932621002,1,1,1,False,frozen-w2-demucs-panns-and
5e6ccbc40b096defa5eddc93545fa4d683ad363d6269c2cd4ee85dfd66b732a9,0.23074141144752502,0.10267594456672668,1,1,1,False,frozen-w2-demucs-panns-and
5ec27c84775165260764766f76d5f52af2daa1c5a963e6c8c9b46ee8dfe475fd,0.07250020653009415,0.021131576970219612,1,0,0,False,frozen-w2-demucs-panns-and
60845dcbe1329669b6b636bcc45018357ca46ad4661f6309f52cff836a07a39d,0.21773290634155273,0.15743674337863922,1,1,1,False,frozen-w2-demucs-panns-and
61f534c0cda82fdd560301600cf74255de98e18d5c5abcff69fa87e32c72f793,0.2914251983165741,0.16777156293392181,1,1,1,False,frozen-w2-demucs-panns-and
654f912a2cd19a276f94a626aa7a7b77e20f5e85a1c3a8173894ac155e64ad62,0.21895137429237366,0.18259455263614655,1,1,1,False,frozen-w2-demucs-panns-and
656f6ddd364e7cf1c0380e9f12d3669623508a62be213c932b853721636a499a,0.08247619867324829,0.21621723473072052,1,1,1,False,frozen-w2-demucs-panns-and
66d6d7723b235b38440a1835a3fd40b9db6f9da517b760e6f7e874dfe4039919,0.3034946918487549,0.06898748874664307,1,1,1,False,frozen-w2-demucs-panns-and
6a560012760b4b935d7fb0aefe3c1ceaeda301d8d8399de1c3725e31f5827b69,0.1830553561449051,0.25498536229133606,1,1,1,False,frozen-w2-demucs-panns-and
6ad884c4d6ffb55d39e273e5ab9a5f6d26da51a2105f9d8bc360d78cda461b7d,0.33282262086868286,0.12127938866615295,1,1,1,False,frozen-w2-demucs-panns-and
6c1df21e643f47c9b7af9906d87139c528e5d9c1f5af253886985987a7a2a6e9,0.22220538556575775,0.06347540020942688,1,1,1,False,frozen-w2-demucs-panns-and
6e9ea73963b6fad8d890c8589b036c5a6a3fac4d49d91de79ac7c037e48ec792,0.21065489947795868,0.6670026183128357,1,1,1,False,frozen-w2-demucs-panns-and
6f8c39f16d4a89f2208b304834909f289d0d3ff368558a1d636305bb59c5f144,0.462679922580719,0.13780148327350616,1,1,1,False,frozen-w2-demucs-panns-and
70319d85a0004bf2469cf76f9fa77c5a1b5a492da968ef2ea673734bcbee3d8d,3.254499097238295e-05,0.02718101069331169,0,0,0,False,frozen-w2-demucs-panns-and
76093a56ca692771aa57b42407974a046de4b94f68bbba80564e23b2bea713bb,0.29571259021759033,0.03960227966308594,1,1,1,False,frozen-w2-demucs-panns-and
793a61abbb828877ad77ecd4af57fa18e97ca1b27e6e26b35bcfdf5f36fef60e,0.7070486545562744,0.11940869688987732,1,1,1,False,frozen-w2-demucs-panns-and
7c82487d7b78e58301647adb13cce4f9df86c40fce3c0f21a71d8cbe12885246,0.1564149260520935,0.1344049721956253,1,1,1,False,frozen-w2-demucs-panns-and
7e6a7f88193fef1590e423637f90caac58f24515ad485d9aea229e720cc2bc2c,1.2619714198081056e-06,0.019816040992736816,0,0,0,False,frozen-w2-demucs-panns-and
80ab6b3aff9c50fb71b7d03ab683930448f556b6820dd33b093af4a66b2aee59,1.0342041605326813e-05,0.03207136318087578,0,1,0,False,frozen-w2-demucs-panns-and
835bf835619c123da38530fc014233b27185987219d57b76ee273061550c4940,0.18661145865917206,0.06662526726722717,1,1,1,False,frozen-w2-demucs-panns-and
83b2f123f571dff23fed47ee984547d696a9e3be507522a7ffebd3ff09522170,0.53294837474823,0.26807504892349243,1,1,1,False,frozen-w2-demucs-panns-and
8457212a1f38f693ef8775ea82629c1c2cc7506ae51c009305061ef900ba7dd3,1.4658293139291345e-06,0.0158840361982584,0,0,0,False,frozen-w2-demucs-panns-and
8545f2a4917b25fbd1828cb77efd266d35b04181be0360c550bec05d6bbe7752,0.15635941922664642,0.033775024116039276,1,1,1,False,frozen-w2-demucs-panns-and
8590c05bac68711438f8fc495604df1e0db9db861c3855a8693fc80094829b73,0.24506397545337677,0.17970944941043854,1,1,1,False,frozen-w2-demucs-panns-and
87be395147d89957c8bbaa7db5e8c30258e931feb8e2c1c268cffe9303622c5d,3.6086792079004226e-06,0.01747756078839302,0,0,0,False,frozen-w2-demucs-panns-and
89ae5b65896a7e7a203c779f4547d7270451c40d2363b1cc20bd4bf33ecd26d0,0.5015224814414978,0.13401077687740326,1,1,1,False,frozen-w2-demucs-panns-and
89c39cb183d24733443a70739d4efddb6f7b88374b6b46788726f499a50b3b63,0.4442189037799835,0.08220230787992477,1,1,1,False,frozen-w2-demucs-panns-and
8ccfb5e1920f3e0c14fc561411d10d04a1ec6b428cc1f2a6e5d09102f226eef2,0.29775866866111755,0.5568922758102417,1,1,1,False,frozen-w2-demucs-panns-and
8e54caec1f13490d305df616946c6c444dc46647098d6da20a7459fdceedf30f,0.6628800630569458,0.2215433567762375,1,1,1,False,frozen-w2-demucs-panns-and
912110088d85bfa7a2044b2b56be944d5ba9c571dcf78c831ca5a64eb70bed53,0.4120541512966156,0.20947012305259705,1,1,1,False,frozen-w2-demucs-panns-and
965e6c668e55fd83eb46bf9cc521de0463dfb8c743a47ae2f8541fa81fe78262,0.2787889838218689,0.10053125768899918,1,1,1,False,frozen-w2-demucs-panns-and
96ca2bbfaf330587e1d666dd40637dee615d9892789a448cfcd27f2a72e2b693,0.3163060247898102,0.18483899533748627,1,1,1,False,frozen-w2-demucs-panns-and
9a06c030af52dc8eac63c9af4a16e43960801587b375639e8e1bc340bd961f72,0.12585462629795074,0.165334552526474,1,1,1,False,frozen-w2-demucs-panns-and
9bdb8e5e4462c96d1bf77d43ed975b49047042ff77533d98cfa5baf7382d51d2,1.726679101921036e-06,0.01419515535235405,0,0,0,False,frozen-w2-demucs-panns-and
a07c0eddd16242d5a32216d529864eeb7bf08dd056b82acc0bffd28776b699e7,0.25985488295555115,0.15761224925518036,1,1,1,False,frozen-w2-demucs-panns-and
a5f5c65dac3e1e8ba91f75a833743877f2888e4e671d1ee69fdbab87bc325cb1,0.04958275333046913,0.3927368223667145,1,1,1,False,frozen-w2-demucs-panns-and
a6d56d1e89dff2df9d036b61da017615d6fcfc0985b356d9c0c55da0485172c2,0.3190861642360687,0.08378895372152328,1,1,1,False,frozen-w2-demucs-panns-and
ab2d258a00256f7844ff2ca45c998a12b39bb8ea9a897501092a4a8c87a70bae,0.05077545717358589,0.09544361382722855,1,1,1,False,frozen-w2-demucs-panns-and
abef6d135d17ca0839a2fcf163c4d4edfd178d9464652b49c08583a9c848a732,0.12298633903265,0.16046960651874542,1,1,1,False,frozen-w2-demucs-panns-and
ac31512a9b34ab201f6d9670cb80fc5a421fa1840357cacc574e18bd0a3236f3,0.010534301400184631,0.1860218197107315,0,1,0,False,frozen-w2-demucs-panns-and
ac4710bc36b169ad961757bfb909cc0d042ab308ab52da1c5293d571775db68a,3.6752110190718668e-06,0.021627986803650856,0,0,0,False,frozen-w2-demucs-panns-and
af5829def3d18dcfa0eca15af845fe5056a526968792f0afddad60e3210e7ade,0.166723370552063,0.07882692664861679,1,1,1,False,frozen-w2-demucs-panns-and
b176c8fd3c151c4c1825dea91bb52e44a30163606c0fc221984119ae30fb89ff,0.11734135448932648,0.05606033653020859,1,1,1,False,frozen-w2-demucs-panns-and
b1eebb20c55753ae751ba0eec6e95ebcc83fef9cf0c5dde170ad7c4476a1e919,0.40986213088035583,0.35967111587524414,1,1,1,False,frozen-w2-demucs-panns-and
b299729e6ea69050c707f02afd3305f8e72dc61fed48cbc942e4780877f82065,0.011555692180991173,0.01939895935356617,0,0,0,False,frozen-w2-demucs-panns-and
b402aa89939e2fee45474939b512d2b92b147319ed60ea9ab1916c81c213008d,0.024919595569372177,0.10716310888528824,0,1,0,False,frozen-w2-demucs-panns-and
b756caa02d7d0e27e227c2ad04c996ff118873654696d849d767d2be78743af1,0.11243049800395966,0.12430635094642639,1,1,1,False,frozen-w2-demucs-panns-and
bbde517e4b95ec11f1184490a016717e143c41b70e753c09d4ae5b76e7c4cfe1,2.704745156734134e-06,0.026472611352801323,0,0,0,False,frozen-w2-demucs-panns-and
bd546e37cda0d6f8c88cfbe76a83266866a0909f20b4ce4a3cbbff80f7bc28bb,0.3602977693080902,0.07558740675449371,1,1,1,False,frozen-w2-demucs-panns-and
bef1e4766c1b3ab092a5038eec7ded0a93158dce525d3b0c1cdd2331818358dd,0.2362421154975891,0.2661251723766327,1,1,1,False,frozen-w2-demucs-panns-and
c2e1ead4ff6226e09fd86eec416cca732001f7b403d3c287c2e0d659040b78fe,0.4545932710170746,0.1461637020111084,1,1,1,False,frozen-w2-demucs-panns-and
c3e2ed79edcc5854d38880c240ac2ce98453f7361c4b8a0f9b0ea5bace719383,0.4143291413784027,0.14104372262954712,1,1,1,False,frozen-w2-demucs-panns-and
c5454b366b37bfe0db3a2875dd2f4661e676b22f45757a39d7abb258d35cdf70,0.365527480840683,0.060360100120306015,1,1,1,False,frozen-w2-demucs-panns-and
