media_sha256,transcript_nonempty,transcript_confidence,transcript_chars,transcript_sha256,segment_count,backend_id
0cc2ab417e0bbcd658423d922d1893fec0f09d2b053eb876ecc13fb6501fcb46,1,0.1836425338738313,184,90b766aa4d5a3ffe7fab40aef809b403d90f901e478d25aca62cb64787ad1ff1,5,openai-whisper-large-v3
0d0397b00348f8715b2bfebe970d7a0c1c4df5a112a714248b9879f18ba5c268,1,0.2876159249366304,70,559c91e331a0e357d167f8f686b89fbdb42704fa0b5b5d0add6a3b9bd0c24e39,4,openai-whisper-large-v3
0d688cc6156526a8e47fd846efb2652941ee2cf2191395561448d641d1710d40,1,0.6577263326410526,145,c3f956a3d2374b95fca7d987fa9a06e3749dc97ead024a7cb6c3768a11d70ee9,5,openai-whisper-large-v3
0d6a67da7efe989d63c521e26eb861b4a07ce137df4335b720f596c1a6edb924,1,0.5350953364153497,182,a19d58449377eb15f09014a7c9c955381beee9007e7d0dad99f740e3debee9b3,5,openai-whisper-large-v3
0e2d8caebb7e1b78d667b62bf8f03c9ed06f2f1d364bd74df305daa290516bee,1,0.20695191964981655,834,0a05da1e7566c918ff637ad938075cd880a4e70e63a6eb84410e0115334d9252,30,openai-whisper-large-v3
0eae87a2a78cd3185d753d9825e7c01b0f9c0a8c9391d6a9cb969e674f846929,1,0.4942494747358249,307,112d4495dca2c3aceabd24d56c71ec5f7d9243b0b8a1832147f738f98e4be7df,13,openai-whisper-large-v3
0ec0acf77aca7657d29ac1825eebf57bfd9ee05dd922196a0d55a4539997ec67,1,0.1341453116415844,52,71c37b32601d21d8af3c639dae325c5d2f3e1636ee7e78033cb803b578758d45,3,openai-whisper-large-v3
0f08e7743a954fae0503210a4e390c374500761d1552d5f2a91585b7846279c5,1,0.350502708125274,115,aec8e0a03b3ae5e9cf9f47746dea462ed87a7ccc4912a1e70637169f45805375,5,openai-whisper-large-v3
0f69ccc1d27542645be89606db0e823b14ed71c711005d5001f607b366714916,1,0.09690346325981901,202,e1747db9ffe22fa1889f2922f06d8eb61badf7e0a5b3d6a3de33b1ec2cf81935,7,openai-whisper-large-v3
0fb050fc65d29c923ed83b668ea2ae989e9e5770f38692894b05446694a34bd7,1,0.6660461661856596,50,435eb63d94e5191548876c35117f4e91a7e270cba15d0074272b2f4c7379d17f,2,openai-whisper-large-v3
111df2b37d14fdcc0d514971dd1db3f1955d7b218058c36c27245fbc10cf765d,1,0.12013613551366531,10,8569efc4ed5a6273140c2b6ec0ab8d99f4398210808fbb7c0cbbae4fbcc21350,1,openai-whisper-large-v3
113b6919d8e1bee993f72a5ab5f06f70074885b4e6217f4911c236ae0260753a,1,0.035605053108524604,23,21033ab605511778203962b1e262878fb99614e3cbc8d903199c4ac4a7825e05,1,openai-whisper-large-v3
115153b56b02c878ba6c0800c74027e1d76c1f55b5bd4d9ac847e0ad7645c13d,1,0.4826386745234931,163,deade103ff0c5b26ca66a4a9bd709f98f06011da2090e6b5a4700ddc5dba7cbb,4,openai-whisper-large-v3
11abd3c762098df6c83e81d8fdecdc1f0c6e1daa17944a83dbf5fba07aac0150,1,0.4394521401813332,113,2773d41f02819f5c07f52259fd60ddc31fc4dad6b50699784db1322f688becff,4,openai-whisper-large-v3
12a3845bf5307c9fd8ed3ea947e6e6a3078dbf9e8a98e4855817186ca365da77,1,0.47186950539378064,197,d865c03d40779379d77a832cbc8d02f3190c2b70b742086fbd6b7af07972cd82,5,openai-whisper-large-v3
12cebbf9b32c24f355e6590f0ac78d3ce6ecc507378b1683bc5e99dd6d00034f,1,0.5765404539419136,189,0fe9e18033102a3b7b768c6e370d1f5fb94d347ca1c47440ad5df0e106ebdf7e,7,openai-whisper-large-v3
13c60f292641de33910678faab748020f43c62d3fa22c87f9e77b59e35b893ae,1,0.12430529437485227,487,7c6c049288e55551c9a52f607d3db754eb27efae7f76d90bd2e2ad11450cf6d5,13,openai-whisper-large-v3
1426952fde5ee32322b6b5525fa11fa62090754d894e463736d61e7971dab624,1,0.2622695996820988,211,673908da052ab29f9db270af42097dbb4d14f3e195cefd4c6224f1fd3f6ed57c,20,openai-whisper-large-v3
