clip_id,manifest_index,prompt_id,stratum,prompt_text,replicate,seed,output_path
exit1_uncond_042,42,empty_02,empty,,10,2036000042,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_042_seed2036000042.flac
exit1_uncond_043,43,empty_02,empty,,11,2036000043,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_043_seed2036000043.flac
exit1_uncond_044,44,empty_02,empty,,12,2036000044,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_044_seed2036000044.flac
exit1_uncond_045,45,empty_02,empty,,13,2036000045,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_045_seed2036000045.flac
exit1_uncond_046,46,empty_02,empty,,14,2036000046,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_046_seed2036000046.flac
exit1_uncond_047,47,empty_02,empty,,15,2036000047,analysis_exit1/unconditional_run_20260716/audio/empty_02/exit1_uncond_047_seed2036000047.flac
exit1_uncond_048,48,empty_03,empty,,0,2036000048,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_048_seed2036000048.flac
exit1_uncond_049,49,empty_03,empty,,1,2036000049,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_049_seed2036000049.flac
exit1_uncond_050,50,empty_03,empty,,2,2036000050,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_050_seed2036000050.flac
exit1_uncond_051,51,empty_03,empty,,3,2036000051,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_051_seed2036000051.flac
exit1_uncond_052,52,empty_03,empty,,4,2036000052,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_052_seed2036000052.flac
exit1_uncond_053,53,empty_03,empty,,5,2036000053,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_053_seed2036000053.flac
exit1_uncond_054,54,empty_03,empty,,6,2036000054,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_054_seed2036000054.flac
exit1_uncond_055,55,empty_03,empty,,7,2036000055,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_055_seed2036000055.flac
exit1_uncond_056,56,empty_03,empty,,8,2036000056,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_056_seed2036000056.flac
exit1_uncond_057,57,empty_03,empty,,9,2036000057,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_057_seed2036000057.flac
exit1_uncond_058,58,empty_03,empty,,10,2036000058,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_058_seed2036000058.flac
exit1_uncond_059,59,empty_03,empty,,11,2036000059,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_059_seed2036000059.flac
exit1_uncond_060,60,empty_03,empty,,12,2036000060,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_060_seed2036000060.flac
exit1_uncond_061,61,empty_03,empty,,13,2036000061,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_061_seed2036000061.flac
exit1_uncond_062,62,empty_03,empty,,14,2036000062,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_062_seed2036000062.flac
exit1_uncond_063,63,empty_03,empty,,15,2036000063,analysis_exit1/unconditional_run_20260716/audio/empty_03/exit1_uncond_063_seed2036000063.flac
exit1_uncond_064,64,empty_04,empty,,0,2036000064,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_064_seed2036000064.flac
exit1_uncond_065,65,empty_04,empty,,1,2036000065,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_065_seed2036000065.flac
exit1_uncond_066,66,empty_04,empty,,2,2036000066,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_066_seed2036000066.flac
exit1_uncond_067,67,empty_04,empty,,3,2036000067,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_067_seed2036000067.flac
exit1_uncond_068,68,empty_04,empty,,4,2036000068,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_068_seed2036000068.flac
exit1_uncond_069,69,empty_04,empty,,5,2036000069,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_069_seed2036000069.flac
exit1_uncond_070,70,empty_04,empty,,6,2036000070,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_070_seed2036000070.flac
exit1_uncond_071,71,empty_04,empty,,7,2036000071,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_071_seed2036000071.flac
exit1_uncond_072,72,empty_04,empty,,8,2036000072,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_072_seed2036000072.flac
exit1_uncond_073,73,empty_04,empty,,9,2036000073,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_073_seed2036000073.flac
exit1_uncond_074,74,empty_04,empty,,10,2036000074,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_074_seed2036000074.flac
exit1_uncond_075,75,empty_04,empty,,11,2036000075,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_075_seed2036000075.flac
exit1_uncond_076,76,empty_04,empty,,12,2036000076,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_076_seed2036000076.flac
exit1_uncond_077,77,empty_04,empty,,13,2036000077,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_077_seed2036000077.flac
exit1_uncond_078,78,empty_04,empty,,14,2036000078,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_078_seed2036000078.flac
exit1_uncond_079,79,empty_04,empty,,15,2036000079,analysis_exit1/unconditional_run_20260716/audio/empty_04/exit1_uncond_079_seed2036000079.flac
exit1_uncond_080,80,empty_05,empty,,0,2036000080,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_080_seed2036000080.flac
exit1_uncond_081,81,empty_05,empty,,1,2036000081,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_081_seed2036000081.flac
exit1_uncond_082,82,empty_05,empty,,2,2036000082,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_082_seed2036000082.flac
exit1_uncond_083,83,empty_05,empty,,3,2036000083,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_083_seed2036000083.flac
exit1_uncond_084,84,empty_05,empty,,4,2036000084,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_084_seed2036000084.flac
exit1_uncond_085,85,empty_05,empty,,5,2036000085,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_085_seed2036000085.flac
exit1_uncond_086,86,empty_05,empty,,6,2036000086,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_086_seed2036000086.flac
exit1_uncond_087,87,empty_05,empty,,7,2036000087,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_087_seed2036000087.flac
exit1_uncond_088,88,empty_05,empty,,8,2036000088,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_088_seed2036000088.flac
exit1_uncond_089,89,empty_05,empty,,9,2036000089,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_089_seed2036000089.flac
exit1_uncond_090,90,empty_05,empty,,10,2036000090,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_090_seed2036000090.flac
exit1_uncond_091,91,empty_05,empty,,11,2036000091,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_091_seed2036000091.flac
exit1_uncond_092,92,empty_05,empty,,12,2036000092,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_092_seed2036000092.flac
exit1_uncond_093,93,empty_05,empty,,13,2036000093,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_093_seed2036000093.flac
exit1_uncond_094,94,empty_05,empty,,14,2036000094,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_094_seed2036000094.flac
exit1_uncond_095,95,empty_05,empty,,15,2036000095,analysis_exit1/unconditional_run_20260716/audio/empty_05/exit1_uncond_095_seed2036000095.flac
exit1_uncond_096,96,empty_06,empty,,0,2036000096,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_096_seed2036000096.flac
exit1_uncond_097,97,empty_06,empty,,1,2036000097,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_097_seed2036000097.flac
exit1_uncond_098,98,empty_06,empty,,2,2036000098,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_098_seed2036000098.flac
exit1_uncond_099,99,empty_06,empty,,3,2036000099,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_099_seed2036000099.flac
exit1_uncond_100,100,empty_06,empty,,4,2036000100,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_100_seed2036000100.flac
exit1_uncond_101,101,empty_06,empty,,5,2036000101,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_101_seed2036000101.flac
exit1_uncond_102,102,empty_06,empty,,6,2036000102,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_102_seed2036000102.flac
exit1_uncond_103,103,empty_06,empty,,7,2036000103,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_103_seed2036000103.flac
exit1_uncond_104,104,empty_06,empty,,8,2036000104,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_104_seed2036000104.flac
exit1_uncond_105,105,empty_06,empty,,9,2036000105,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_105_seed2036000105.flac
exit1_uncond_106,106,empty_06,empty,,10,2036000106,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_106_seed2036000106.flac
exit1_uncond_107,107,empty_06,empty,,11,2036000107,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_107_seed2036000107.flac
exit1_uncond_108,108,empty_06,empty,,12,2036000108,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_108_seed2036000108.flac
exit1_uncond_109,109,empty_06,empty,,13,2036000109,analysis_exit1/unconditional_run_20260716/audio/empty_06/exit1_uncond_109_seed2036000109.flac
