dataset,condition,stratum,selection_bin,prompt_id,successes,attempts,p_hat,wilson_ci95_low,wilson_ci95_high,inverse_p_if_observed,restricted_draws_B16,restricted_draws_B128,restricted_draws_B1024,zero_success_notation,zero_success_p_upper95,wording_constraint
atlas_baseline,none,instrumental,all,held_out_0035,193,512,0.376953125,0.33603845400282195,0.4197004501789813,2.6528497409326426,2.651481872883775,2.6528497409326426,2.6528497409326426,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0041,236,512,0.4609375,0.418211361690564,0.5042454332877863,2.169491525423729,2.1693812232946357,2.169491525423729,2.169491525423729,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0043,194,512,0.37890625,0.3379349268668965,0.42168113756598913,2.6391752577319587,2.6378811132193767,2.6391752577319587,2.6391752577319587,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0058,159,512,0.310546875,0.2720022030446931,0.3519132526003054,3.220125786163522,3.211732176918708,3.220125786163522,3.220125786163522,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0080,185,512,0.361328125,0.3208926804877276,0.40382894168541567,2.7675675675675677,2.765446556671783,2.7675675675675677,2.7675675675675677,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0088,219,512,0.427734375,0.3855742560818471,0.4709708146281008,2.3378995433789953,2.337590237342286,2.3378995433789953,2.3378995433789953,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0094,146,512,0.28515625,0.2477617322820618,0.3257506400988644,3.506849315068493,3.4905452801840475,3.506849315068493,3.506849315068493,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0108,221,512,0.431640625,0.38940389657104313,0.4748954946410697,2.316742081447964,2.316467389369512,2.316742081447964,2.316742081447964,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0117,111,512,0.216796875,0.18328405527165026,0.2545277083213888,4.612612612612613,4.5201560871550885,4.612612612612493,4.612612612612613,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0153,185,512,0.361328125,0.3208926804877276,0.40382894168541567,2.7675675675675677,2.765446556671783,2.7675675675675677,2.7675675675675677,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0170,145,512,0.283203125,0.24590313536046607,0.32373207676937765,3.5310344827586206,3.5138854507419555,3.5310344827586206,3.5310344827586206,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0236,309,512,0.603515625,0.560524606550557,0.6449648867568148,1.656957928802589,1.6569573108876252,1.656957928802589,1.656957928802589,,,never convert a zero-success row to expected draws > attempts
atlas_baseline,none,instrumental,all,held_out_0238,102,512,0.19921875,0.16691827849863472,0.23599904283466194,5.019607843137255,4.876094552975494,5.019607843135014,5.019607843137255,,,never convert a zero-success row to expected draws > attempts
