prompt_id,stratum,selection_bin,successes,attempts,p_hat,assigned_regime,prob_rare_le_1_in_16,prob_low_1_in_16_to_1_in_4,prob_seed_recoverable_1_in_4_to_1_in_2,prob_easy_ge_1_in_2,max_membership_probability,membership_flag,population_weight
held_out_0099,vocal,2,31,128,0.2421875,low_1_in_16_to_1_in_4,0.0,0.5484,0.4516,0.0,0.5484,uncertain,1.9230769230769231
held_out_0100,vocal,0,121,128,0.9453125,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0102,vocal,3,51,128,0.3984375,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0002,0.9864,0.0134,0.9864,stable,2.0
held_out_0105,instrumental,1,114,128,0.890625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0106,vocal,0,107,128,0.8359375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0109,instrumental,1,114,128,0.890625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0110,vocal,2,77,128,0.6015625,easy_ge_1_in_2,0.0,0.0,0.0077,0.9923,0.9923,stable,1.9230769230769231
held_out_0112,vocal,0,90,128,0.703125,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0117,instrumental,7,35,128,0.2734375,seed_recoverable_1_in_4_to_1_in_2,0.0,0.2457,0.7543,0.0,0.7543,uncertain,3.0
held_out_0118,instrumental,0,125,128,0.9765625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0119,vocal,5,14,128,0.109375,low_1_in_16_to_1_in_4,0.0532,0.9468,0.0,0.0,0.9468,stable,2.0
held_out_0120,vocal,1,56,128,0.4375,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.9041,0.0959,0.9041,stable,2.0
held_out_0123,vocal,0,71,128,0.5546875,easy_ge_1_in_2,0.0,0.0,0.0944,0.9056,0.9056,stable,2.0344827586206895
held_out_0124,instrumental,0,106,128,0.828125,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0126,vocal,0,70,128,0.546875,easy_ge_1_in_2,0.0,0.0,0.1261,0.8739,0.8739,stable,2.0344827586206895
held_out_0129,instrumental,0,125,128,0.9765625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0130,instrumental,1,91,128,0.7109375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
