dataset,condition,stratum,prompts,seeds_per_prompt,population_weighted,draws_N,deployment_success,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,prompt_only_ci95_low,prompt_only_ci95_high,estimand,rate_scope
stage3,instr_text,instrumental,15,64,0,5,0.791445053058366,0.6657295235960434,0.8780469829542562,0.6825631257720912,0.8790816468807559,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,instr_text,instrumental,15,64,0,8,0.8876931233713375,0.7709420816353163,0.9524800530417163,0.789731376349927,0.9526866273334635,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,instr_text,instrumental,15,64,0,16,0.9597888035942486,0.865569982317738,0.9946978415377106,0.8952276946670026,0.9956090204299962,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_both,vocal,17,64,0,4,0.9864130230510936,0.9613608220044304,0.9979648452471285,0.9663210021222339,0.9981170325594789,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_both,vocal,17,64,0,5,0.9926916887874112,0.9755520790924921,0.9994480309802491,0.9806721511296927,0.9995252163724645,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_both,vocal,17,64,0,8,0.9985129734149287,0.9923229212947741,0.999987030452027,0.9956717642222336,0.9999910155348521,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_both,vocal,17,64,0,16,0.9999679251234687,0.9994104314395404,0.9999999990784124,0.9999039632493352,0.9999999995264445,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_guidance,vocal,17,64,0,4,0.9822520929224351,0.9451895619139952,0.9981991845018724,0.9525017276406288,0.9983100016327465,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_guidance,vocal,17,64,0,5,0.9888144834514927,0.9610323965426205,0.9995283013469923,0.9683141318149865,0.9996006169890547,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_guidance,vocal,17,64,0,8,0.9964421804670615,0.9834154764135042,0.999989743639588,0.9893912950029169,0.9999937772257722,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_guidance,vocal,17,64,0,16,0.9997900576888247,0.9976247460862044,0.9999999994172469,0.9993701957472112,0.9999999998050902,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_hints,vocal,17,64,0,4,0.2942565819796394,0.18357064916807062,0.4012821131769348,0.19390734285116196,0.4003810958827243,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
stage3,vocal_hints,vocal,17,64,0,5,0.342767169151236,0.2177916322752614,0.4583420875797267,0.2338655911221662,0.4571943329948492,mean_prompt[1-(1-p_hat_i)^N],selected/difficult held-out; not a generic population rate
