task_id,prompt_rank,prompt_id,condition_index,condition,seed_idx,seed,cfg_scale,text_intervention,duration_seconds,output_path
w2fact_00_1_13,0,held_out_0238,1,negative_text,13,2034000013,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0238/negative_text_s13_2034000013.flac
w2fact_00_1_14,0,held_out_0238,1,negative_text,14,2034000014,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0238/negative_text_s14_2034000014.flac
w2fact_00_1_15,0,held_out_0238,1,negative_text,15,2034000015,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0238/negative_text_s15_2034000015.flac
w2fact_00_2_00,0,held_out_0238,2,positive_text,0,2034000000,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s00_2034000000.flac
w2fact_00_2_01,0,held_out_0238,2,positive_text,1,2034000001,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s01_2034000001.flac
w2fact_00_2_02,0,held_out_0238,2,positive_text,2,2034000002,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s02_2034000002.flac
w2fact_00_2_03,0,held_out_0238,2,positive_text,3,2034000003,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s03_2034000003.flac
w2fact_00_2_04,0,held_out_0238,2,positive_text,4,2034000004,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s04_2034000004.flac
w2fact_00_2_05,0,held_out_0238,2,positive_text,5,2034000005,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s05_2034000005.flac
w2fact_00_2_06,0,held_out_0238,2,positive_text,6,2034000006,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s06_2034000006.flac
w2fact_00_2_07,0,held_out_0238,2,positive_text,7,2034000007,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s07_2034000007.flac
w2fact_00_2_08,0,held_out_0238,2,positive_text,8,2034000008,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s08_2034000008.flac
w2fact_00_2_09,0,held_out_0238,2,positive_text,9,2034000009,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s09_2034000009.flac
w2fact_00_2_10,0,held_out_0238,2,positive_text,10,2034000010,5.0,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s10_2034000010.flac
