operation,seed,transformer_forward_calls,scheduler_object_calls,scheduler_euler_updates,diffusion_gpu_ms,diffusion_wall_sec,decoder_gpu_ms,decoder_wall_sec,prefix_forward_calls,continuation_forward_calls,valid_audio,status
calibration_uninterrupted_reference,2072000017,50,0,50,4939.9462890625,4.94019172899425,165.11415100097656,0.16345588862895966,50,0,True,PASS
fork_continuation_preflight,2072000017,0,0,0,0,0,0,0,20,0,False,FAIL_ESCALATED
