cohort,request_direction,prompt_id,rows,apparent_violation_rate,corrected_violation_rate,calibrated_violation_rate,publication_status
batch3_release_keep_1342,instrumental_request,held_out_0127,2,0.0,0.0,3.8357346503226034e-08,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0129,2,0.0,0.0,3.707180650492074e-05,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0130,3,0.0,0.0,1.1018638782978156e-05,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0131,1,0.0,1.0,0.018805558394211268,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0135,2,0.0,0.0,1.509477380867419e-08,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0137,4,0.0,0.0,6.077071405043198e-06,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0139,1,0.0,0.0,4.070319987159572e-08,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0146,1,0.0,1.0,0.42898898993998097,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0147,2,0.0,1.0,0.8974869935798255,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0151,1,0.0,0.0,3.3760459320636776e-07,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0153,21,0.19047619047619047,0.7142857142857143,0.6278762682617424,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0156,1,0.0,1.0,0.9610353701166982,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0163,2,0.0,1.0,0.7825581022991421,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0170,13,0.23076923076923078,1.0,0.9523985184026155,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0175,2,0.0,0.0,6.771999499567161e-06,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0178,2,0.0,0.0,6.23133505417668e-06,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0182,2,0.0,1.0,0.4143884484453259,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0186,2,0.0,1.0,0.6799041136507731,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0190,4,0.75,1.0,0.8340874849271168,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0191,2,0.0,0.0,3.79168697467139e-05,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0192,1,0.0,1.0,0.9768585040824773,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0197,1,0.0,0.0,0.0004173999832654965,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0201,1,0.0,0.0,3.006069496127308e-07,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0206,2,0.0,0.0,3.0122882744320766e-08,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0207,1,0.0,0.0,8.581208577982107e-08,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0208,1,1.0,1.0,0.19263313975310242,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0210,1,0.0,0.0,6.578776293098845e-08,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0219,2,0.0,1.0,0.9554600524835828,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0223,1,0.0,1.0,0.05137049028138447,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0224,1,0.0,0.0,0.00045426483745459033,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0225,1,0.0,0.0,5.512753875897072e-09,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0231,1,0.0,0.0,3.6891042334765545e-09,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0235,1,0.0,0.0,1.2213583374397395e-07,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0236,15,0.13333333333333333,0.8666666666666667,0.7198159406459073,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0238,20,0.35,0.95,0.9112671313695435,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0241,1,0.0,0.0,0.002746832307207114,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0243,1,0.0,0.0,2.868387267188044e-09,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0245,4,0.0,0.0,2.2498831238493643e-05,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0247,2,0.0,0.0,6.24310377944352e-09,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0249,1,0.0,1.0,0.03218678537782977,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0251,13,0.07692307692307693,0.9230769230769231,0.8849442876213405,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0252,2,0.0,1.0,0.4033621238979724,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,instrumental_request,held_out_0253,19,0.05263157894736842,0.8421052631578947,0.6802452089541905,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0001,40,0.975,0.0,0.002473267327575089,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0002,5,0.4,0.0,0.0006007067341018566,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0003,3,0.6666666666666666,0.0,0.0006275894957455075,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0004,19,0.9473684210526315,0.0,0.001579385068680075,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0006,6,0.5,0.0,0.0009778218803552761,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0007,10,0.7,0.0,0.0011480161727663962,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0008,34,0.8529411764705882,0.0,0.0018831345231305353,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0011,12,1.0,0.0,0.0011963219780072609,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0012,11,0.8181818181818182,0.0,0.0024771485466025677,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0013,11,0.9090909090909091,0.0,0.0013150783973250512,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0014,24,0.9583333333333334,0.0,0.0010948963332848237,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0015,12,0.6666666666666666,0.0,0.0011555652393655943,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0016,38,0.9210526315789473,0.0,0.004041485270650952,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0017,34,0.9411764705882353,0.0,0.002596458582103409,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0018,15,1.0,0.0,0.0012698095075621334,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0021,42,0.9523809523809523,0.0,0.00253724653668276,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0023,8,0.875,0.0,0.0014025133330721378,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0024,42,0.8333333333333334,0.0,0.0029778461204968587,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0029,3,0.0,0.0,0.00037947485601275605,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0034,1,0.0,0.0,0.0008179143477631542,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0036,1,1.0,0.0,0.0022539318833575146,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0037,1,0.0,0.0,0.0007337738138732621,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0039,1,1.0,0.0,0.00037000016379476247,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0042,4,0.5,0.0,0.00232647927132687,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0044,2,0.0,0.0,0.00015625289315098566,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0045,48,0.9166666666666666,0.0,0.0016296081098186883,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0047,1,0.0,0.0,0.00037635384261507294,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0049,2,0.0,0.0,0.0004800259130466204,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0051,2,0.0,0.0,0.0015589096849170472,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0053,1,0.0,0.0,0.0010747518140020941,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0055,1,0.0,0.0,0.0009693899603616802,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0056,2,1.0,0.0,0.00875222650740571,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0062,2,0.0,0.0,9.899260382447237e-05,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0063,2,0.0,0.0,0.0013991921397553746,DRAFT_AWAITING_DUAL_PI_ADOPTION
batch3_release_keep_1342,vocal_request,held_out_0064,3,0.0,0.0,0.00047316482893457667,DRAFT_AWAITING_DUAL_PI_ADOPTION
