source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0004/a1_r0_t04_seed2026322004.flac,PH2_ONLINE,online_run,held_out_0004,arm1,1,0,4,2026322004,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w4.jsonl,14591194
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0004/a1_r1_t04_seed2026322104.flac,PH2_ONLINE,online_run,held_out_0004,arm1,1,1,4,2026322104,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w4.jsonl,13793087
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0004/a6_r0_t03_seed2026322003.flac,PH2_ONLINE,online_run,held_out_0004,arm6,6,0,3,2026322003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w4.jsonl,12767540
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0004/a6_r1_t05_seed2026322105.flac,PH2_ONLINE,online_run,held_out_0004,arm6,6,1,5,2026322105,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w4.jsonl,13706699
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0005/a1_r0_t03_seed2026323003.flac,PH2_ONLINE,online_run,held_out_0005,arm1,1,0,3,2026323003,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w5.jsonl,7552441
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0005/a1_r1_t01_seed2026323101.flac,PH2_ONLINE,online_run,held_out_0005,arm1,1,1,1,2026323101,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w5.jsonl,7899344
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0005/a6_r0_t03_seed2026323003.flac,PH2_ONLINE,online_run,held_out_0005,arm6,6,0,3,2026323003,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w5.jsonl,7552441
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0005/a6_r1_t01_seed2026323101.flac,PH2_ONLINE,online_run,held_out_0005,arm6,6,1,1,2026323101,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w5.jsonl,7899344
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0006/a1_r0_t02_seed2026324002.flac,PH2_ONLINE,online_run,held_out_0006,arm1,1,0,2,2026324002,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w6.jsonl,9464317
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0006/a1_r1_t02_seed2026324102.flac,PH2_ONLINE,online_run,held_out_0006,arm1,1,1,2,2026324102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w6.jsonl,7528666
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0006/a6_r0_t02_seed2026324002.flac,PH2_ONLINE,online_run,held_out_0006,arm6,6,0,2,2026324002,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w6.jsonl,9464317
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0006/a6_r1_t02_seed2026324102.flac,PH2_ONLINE,online_run,held_out_0006,arm6,6,1,2,2026324102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w6.jsonl,7528666
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0007/a1_r0_t00_seed2026325000.flac,PH2_ONLINE,online_run,held_out_0007,arm1,1,0,0,2026325000,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w7.jsonl,6266574
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0007/a1_r1_t02_seed2026325102.flac,PH2_ONLINE,online_run,held_out_0007,arm1,1,1,2,2026325102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w7.jsonl,7361456
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0007/a6_r0_t00_seed2026325000.flac,PH2_ONLINE,online_run,held_out_0007,arm6,6,0,0,2026325000,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w7.jsonl,6266574
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0007/a6_r1_t02_seed2026325102.flac,PH2_ONLINE,online_run,held_out_0007,arm6,6,1,2,2026325102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w7.jsonl,7361456
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a1_r0_t03_seed2026326003.flac,PH2_ONLINE,online_run,held_out_0008,arm1,1,0,3,2026326003,1,0,0,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,13987489
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a1_r1_t01_seed2026326101.flac,PH2_ONLINE,online_run,held_out_0008,arm1,1,1,1,2026326101,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,14625251
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a1_r1_t03_seed2026326103.flac,PH2_ONLINE,online_run,held_out_0008,arm1,1,1,3,2026326103,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,13941204
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r0_t03_seed2026326003.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,0,3,2026326003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,14024190
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r0_t05_seed2026326005.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,0,5,2026326005,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,13001267
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r0_t06_seed2026326006.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,0,6,2026326006,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,14499141
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r0_t07_seed2026326007.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,0,7,2026326007,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,13985930
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r1_t01_seed2026326101.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,1,1,2026326101,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,14625251
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0008/a6_r1_t03_seed2026326103.flac,PH2_ONLINE,online_run,held_out_0008,arm6,6,1,3,2026326103,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w8.jsonl,13835314
