source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes,sample_id,copied_path,copied_size_bytes,release_reason,sha256,category,baseline_bon256_prompt_success_rate
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0053/a3_r0_t03_seed2026371003.flac,PH2_ONLINE,online_run,held_out_0053,arm3,3,0,3,2026371003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w5.jsonl,14538757,release_0101,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0101_e13913e72146.flac,14538757,stratified_5pct_release_audit_sample,67f590a9c252f73a2fb66c9ead6e84786cab4ab970eb457e43f7fe7e621a5020,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0204/none_s245_2028700245.flac,ATLAS,bon256,held_out_0204,none,,,,2028700245,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,2069724,release_0102,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0102_e778fb757e85.flac,2069724,stratified_5pct_release_audit_sample,0b224d7a7e95a2d3f1e046ab24a4f7d8ed4df3f569b944f421eca6320b020870,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/istrong_instr/held_out_0251/I_strong_s1_2029105001.flac,ATLAS,istrong_instr,held_out_0251,I_strong,,,,2029105001,0,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/istrong_instr_w1.jsonl,2967327,release_0103,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0103_30ed379ce51a.flac,2967327,stratified_5pct_release_audit_sample,8ee834de98ec9900bd20fdd81b9640a4c310ee62a49b3b0f5dc804aa39a07725,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0061/a2_r1_t00_seed2026379100.flac,PH2_ONLINE,online_run,held_out_0061,arm2,2,1,0,2026379100,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w13.jsonl,14309339,release_0104,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0104_8aa172dbbca3.flac,14309339,stratified_5pct_release_audit_sample,af4eb7eb4853e011e5c29c868bd8e7ed39fc3fd6879f37dbee14ce40d3b79b88,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0182/a1_r0_t04_seed2026500004.flac,PH2_ONLINE,online_run,held_out_0182,arm1,1,0,4,2026500004,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w6.jsonl,7025321,release_0105,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0105_bb7ed942ac33.flac,7025321,stratified_5pct_release_audit_sample,a65f1a9c01c343852de55a7aef0ed51b77fb53dc154e3ee06ecce0a0d9d062f1,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0204/none_s203_2028700203.flac,ATLAS,bon256,held_out_0204,none,,,,2028700203,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,3254083,release_0106,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0106_789a3e2f98f6.flac,3254083,stratified_5pct_release_audit_sample,95ff2825deba09ebea387582f542ad7ad3b780a56b93f5fd57576e5ccff2a4bc,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0111/a8_r0_t03_seed2026429003.flac,PH2_ONLINE,online_run,held_out_0111,arm8,8,0,3,2026429003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w15.jsonl,7094295,release_0107,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0107_b280a193229a.flac,7094295,stratified_5pct_release_audit_sample,e67c9f898142a9df9ff00c610873f0f36ddba144d147f4d5cb8821b020c9f3f8,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0045/none_s314_2027100314.flac,ATLAS,bon256,held_out_0045,none,,,,2027100314,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w2.jsonl,8008181,release_0108,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0108_c38d48f1c981.flac,8008181,stratified_5pct_release_audit_sample,b704244f0fe078876f178ad5a6af97372028f5218ead21ef4c6db0c912a8ee0d,,
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0113/a7_r1_t02_seed2026431102.flac,PH2_ONLINE,online_run,held_out_0113,arm7,7,1,2,2026431102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w1.jsonl,6523716,release_0109,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0109_2bbcfe5456a8.flac,6523716,stratified_5pct_release_audit_sample,f243fe0c76165f6d8f9425227f69b98f792416787bd1f5ed8a96d656abc7f9e1,,
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0254/none_s465_2029300465.flac,ATLAS,bon256,held_out_0254,none,,,,2029300465,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w1.jsonl,6980504,release_0110,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/RELEASE_5PCT_SAMPLE/media/release_0110_0172045ab2b8.flac,6980504,stratified_5pct_release_audit_sample,b2eb75f7d5f42faea56343cec3e72d5e8fe78940fb763509aa13e1d8216f3c12,,
