media_sha256,audioset_human_voice_score,audioset_top_human_voice_class,windows,score_source,old_audioset_vocal_score,old_audioset_top_vocal_class,was_rescored
ecd9d92ae676a88f2166bd0148f998817c2904e5d0085f0b25435e686bd4857b,0.15253734588623047,Singing,7,v1_superset_max_is_exact_whitelist_member,0.15253734588623047,Singing,0
ede95fc86326858859a404a73016541363dddeab80528c3b9258c88b6fbb44cb,0.1086258515715599,Speech,13,v1_superset_max_is_exact_whitelist_member,0.1086258515715599,Speech,0
eef5896c918bb7623715603dfb04c6193f4acf30c69e13846c0458c5a25edb5c,0.013135967776179314,Speech,6,v1_superset_max_is_exact_whitelist_member,0.013135967776179314,Speech,0
f0342556c54c67313422fc3c3e95453dd569ed166741e5c3489b75ef59420c14,0.07243631780147552,Singing,14,rescored_exact_human_voice_whitelist,0.07648669928312302,Singing bowl,1
f0837ed3357999af91e811aa77a9d04e93a2db6fc6067b3bca7dc0beea289861,0.27244266867637634,Singing,7,v1_superset_max_is_exact_whitelist_member,0.27244266867637634,Singing,0
f0f73d7ab0199c18daca9f833ee1c4c852cbbd46fe300e3fdf8541781f51420a,0.0436973050236702,Speech,8,v1_superset_max_is_exact_whitelist_member,0.0436973050236702,Speech,0
f14d445f863afd34a688664968c530aa48338be69391b1a76f9a870b3d18504b,0.07115301489830017,Speech,7,v1_superset_max_is_exact_whitelist_member,0.07115301489830017,Speech,0
f1e5c6ea5638b302ddbbad3752c43af58b87cfc9cce18bf6036a39b1dde44979,0.4532437026500702,Speech,13,v1_superset_max_is_exact_whitelist_member,0.4532437026500702,Speech,0
f1f8348fb38f1fb9203234b9a6d3f9febece49f8030057aee2a4f7f3823028bb,0.7220209240913391,Speech,7,v1_superset_max_is_exact_whitelist_member,0.7220209240913391,Speech,0
f25935f96216e8bbb2027941179b03f5e29dee11578cc8afdbae6372ea4421d0,0.06641615182161331,Singing,8,v1_superset_max_is_exact_whitelist_member,0.06641615182161331,Singing,0
f2a75ad625c631851149cb9d030c317345436dc05175992168076a7a70d71e1e,0.14917178452014923,Speech,6,v1_superset_max_is_exact_whitelist_member,0.14917178452014923,Speech,0
f31fbc0d08cee5f503ef776735cb8c7edf1bb7c84c5eb34841d561ccb7d2d6b6,0.1795141100883484,Singing,8,v1_superset_max_is_exact_whitelist_member,0.1795141100883484,Singing,0
f3ad8709e7527e98f8503b22a37715bce824835bc833b307a96a7beeb71413b6,0.08770187199115753,Speech,8,v1_superset_max_is_exact_whitelist_member,0.08770187199115753,Speech,0
f442f18d83919a910cebefd5b41f29c599f635011e262c47258dfa5bbbed6207,0.05265112593770027,Singing,8,v1_superset_max_is_exact_whitelist_member,0.05265112593770027,Singing,0
f44e013dcea5d001219fed3e56176f8dae8759c20f027b86afdf28b33f5b1044,0.18766525387763977,Speech,7,v1_superset_max_is_exact_whitelist_member,0.18766525387763977,Speech,0
f4e6d049711989e8279bc7f7a560b9dab5578d0b2ad14d4de7018f82b86f3fa0,0.41825076937675476,Speech,12,v1_superset_max_is_exact_whitelist_member,0.41825076937675476,Speech,0
f5109797a7b17382460409a23b2943648eb2f1e72420673b2ab222669e0e1ccb,0.21575333178043365,Speech,6,v1_superset_max_is_exact_whitelist_member,0.21575333178043365,Speech,0
f5ea012f11e5e686997d261a37b1a6c2998f8301b0850818c384956099581522,0.2621704339981079,Speech,12,v1_superset_max_is_exact_whitelist_member,0.2621704339981079,Speech,0
f74abd3551256684f2630992b6cf962152acd49ee1f4e145462f74df4c56d4b8,0.543212890625,Speech,7,v1_superset_max_is_exact_whitelist_member,0.543212890625,Speech,0
f7531bb3f57f47fd0c9d00e52a803be1c5fd15254ae341f45d1b5eed9b6992ec,0.05558863654732704,Singing,6,v1_superset_max_is_exact_whitelist_member,0.05558863654732704,Singing,0
f76ccc3f02e4f3abe9c5a11196d603d165917ef5726b8b41299f24487495778a,0.3228548467159271,Speech,13,v1_superset_max_is_exact_whitelist_member,0.3228548467159271,Speech,0
f85200d5603cc3ad9a2af4453054b6b2017658b45587db30a77623919e3fcc6b,0.4151460528373718,Speech,8,v1_superset_max_is_exact_whitelist_member,0.4151460528373718,Speech,0
f8b146f6bbbf70086b6cb36f7449c482f02aac1a69575c809ad74807c40e85ff,0.07746446132659912,Singing,8,v1_superset_max_is_exact_whitelist_member,0.07746446132659912,Singing,0
f8f054a10f552eb4686ff07c24bae950de59ff2f56465c332eac391b3a64f803,0.19123993813991547,Singing,6,v1_superset_max_is_exact_whitelist_member,0.19123993813991547,Singing,0
f904e589555a382c34204b2c70b4b681b5ab48812808766d76e3612baf0d1cb2,0.12114357203245163,Singing,8,v1_superset_max_is_exact_whitelist_member,0.12114357203245163,Singing,0
f954d603af275ac9f0b92f27af3b9df955823fe753e46912c4513155d9b50b85,0.06530483812093735,Speech,13,v1_superset_max_is_exact_whitelist_member,0.06530483812093735,Speech,0
f95e9a5c4c7f33fee9315479c77601ef4bfd3430bcacf624f28ad7ed7e12ff43,0.06352829188108444,Singing,7,v1_superset_max_is_exact_whitelist_member,0.06352829188108444,Singing,0
f99f9e5ad8e8f9b9d31ae68d55e74a5191617dfa8e54bf3bbddcdd1702871632,0.13404488563537598,Speech,13,v1_superset_max_is_exact_whitelist_member,0.13404488563537598,Speech,0
fa45c94effd204639c11371f5c6dddecf4a74ef387df73aa7bb07571733f3fd1,0.4609297513961792,Speech,12,v1_superset_max_is_exact_whitelist_member,0.4609297513961792,Speech,0
fabaa16c3e23e0b1d135ae8cda3a560447cecfedf9bbb584ae6a1a7437fdd77b,0.08723648637533188,Speech,8,v1_superset_max_is_exact_whitelist_member,0.08723648637533188,Speech,0
facce259f3b4b3c1b22ff17826dc97e4bdc5113440b559e251bb87012f87466f,0.052105505019426346,Speech,8,v1_superset_max_is_exact_whitelist_member,0.052105505019426346,Speech,0
fb30593110642e0dd9f3ef06fa6bccf700f77d76c7d56a35010159b16cd9ae76,0.1866779774427414,Male singing,8,v1_superset_max_is_exact_whitelist_member,0.1866779774427414,Male singing,0
fbc94fbd67df6c937db8be4dea97cb457ab259b98b0760fa2eee3a9778836c94,0.183246448636055,Speech,14,v1_superset_max_is_exact_whitelist_member,0.183246448636055,Speech,0
fc9f52a8e29c3c1b0fb1c8d1daf1d0305ddb5bdd7c062b90c8fa198984eeb557,0.2085639238357544,Speech,12,v1_superset_max_is_exact_whitelist_member,0.2085639238357544,Speech,0
fd1d443d13f0ba3eca934247c8942ce8a9ddc84916c1637ef9379dc8c5d7672c,0.08512910455465317,Singing,6,v1_superset_max_is_exact_whitelist_member,0.08512910455465317,Singing,0
fd80c21db7885de14d365d600957e6ddf1c6d1c098fcab1d0e6ac3ccd33be2c1,0.22843846678733826,Speech,12,v1_superset_max_is_exact_whitelist_member,0.22843846678733826,Speech,0
fd9d00efad989a7b332f9768f9cf809e7433308396f8f4d60f59de00bd413fb8,0.017552675679326057,Speech,8,v1_superset_max_is_exact_whitelist_member,0.017552675679326057,Speech,0
fde83eb49e9a0db1b6d3d40024b66591a345ad62a9505476d84977145e5c7bee,0.7268818020820618,Speech,7,v1_superset_max_is_exact_whitelist_member,0.7268818020820618,Speech,0
fe0da547e1d7b623f66ab7ca99e20d13e8f6390377cf0af423cc9a1d4c40d30b,0.10196265578269958,Singing,14,v1_superset_max_is_exact_whitelist_member,0.10196265578269958,Singing,0
fe235ff6c71a62a59b86aa9e976a00af8ffc50553d48285932f90718ffb4a46c,0.2647477686405182,Singing,6,v1_superset_max_is_exact_whitelist_member,0.2647477686405182,Singing,0
fe4767d4dfb1247a50037a5c980d1dbb9658090640f3748fe2d656d608313e06,0.09045977890491486,Singing,8,v1_superset_max_is_exact_whitelist_member,0.09045977890491486,Singing,0
ffc8679e8e3f712427e2fde636f5892b1ed792aecada7c554cd584d383ad1f66,0.14257508516311646,Singing,13,v1_superset_max_is_exact_whitelist_member,0.14257508516311646,Singing,0
