condition,rows,prompts,apparent_satisfaction_rate,corrected_instrument_satisfaction_rate,calibrated_satisfaction_rate,calibrated_95_ci_low,calibrated_95_ci_high,clap_prompt_similarity_mean,aesthetic_pq_mean,near_silence_rate,rms_mean,clipping_fraction_mean,mfcc_pairwise_cosine_distance,status
plain_baseline,512,32,0.603515625,0.33984375,0.4384056892531034,0.3542909482930799,0.525434045343858,0.2982200535816446,6.840361690148711,0.001953125,0.09014538191343036,0.0,0.32489486339172124,DRAFT_AWAITING_DUAL_PI_ADOPTION
negative_text,512,32,0.5703125,0.263671875,0.38764621479555184,0.3164786460452766,0.4574563350756006,0.2702658336655759,6.69225784111768,0.0,0.0905978487860466,0.0,0.33367037320108645,DRAFT_AWAITING_DUAL_PI_ADOPTION
positive_text,512,32,0.79296875,0.552734375,0.6608059214609452,0.5668142542610591,0.7477994553504768,0.30606802556894763,6.906377859879285,0.0,0.09165559594316619,0.0,0.3437031110800899,DRAFT_AWAITING_DUAL_PI_ADOPTION
sampler_only,512,32,0.609375,0.359375,0.4584383392677547,0.35832657670505536,0.5607083483168679,0.3141919871185337,6.925097763538361,0.001953125,0.09570250552656034,0.0,0.32215176417116237,DRAFT_AWAITING_DUAL_PI_ADOPTION
negative_sampler,512,32,0.58203125,0.26953125,0.40018588525287857,0.3221368052340906,0.4796390705247844,0.2826126020618176,6.7248076647520065,0.0,0.09625515372215432,0.0,0.3323261299286362,DRAFT_AWAITING_DUAL_PI_ADOPTION
positive_sampler,512,32,0.8046875,0.568359375,0.6797944306655583,0.5826621722404893,0.7687567182191831,0.3157793641344142,6.977566450834274,0.0,0.0968245294842518,0.0,0.3414291930287397,DRAFT_AWAITING_DUAL_PI_ADOPTION
