bundle_rating_id,scorer_rating_id,bundle_name,identity_bundle_name,position,shuffle_seed,nonce_sha256,media_sha256,request_mode
r_6450d2109e50b2b4cb20,bprime_0075_4bf9fcc35dc6,t3_bprime_primary_v2,t3_bprime_primary,14,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,bb42109ab6ea8c6c85e9ba9e29a6aee58abdc4b6c0ea5d41fee4929f5894e9fe;608a6d184868ac304ebca7ceb461caa238ed0c8b09745c86a118a5c7f7ede77c,vocal
r_9dac6722748fe73f92ea,bprime_0036_5de58ee559d5,t3_bprime_primary_v2,t3_bprime_primary,15,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,d010e050cf13c0cabaa6b993420bdd363e00dd80ddc3a9a5813115e2cc563df3;7fc58e0deb297ed02a6675ee3736802b50ca3fa33adf91a94f575797b1e802e8,instrumental
r_a0a45d8cb99b3d3315df,bprime_0020_3d5c1c9a396b,t3_bprime_primary_v2,t3_bprime_primary,16,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,30b61ea2dc4cdbaea7de6863c4effd602fa7d0246f68eee5297fcc7f01e5151a;30b61ea2dc4cdbaea7de6863c4effd602fa7d0246f68eee5297fcc7f01e5151a,vocal
r_b7e32ffaed582770f888,bprime_0050_11a00477f7f3,t3_bprime_primary_v2,t3_bprime_primary,17,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,11f60d91d2f39a31b27425736e915bd31f02d76eb3a4e039f6ecf2538cb79f76;bf5b3bc5c854c907039adb5e7a601ed70b803be98a1a10617e9a5fe98c016299,vocal
r_838c5bf5f108a8aed1b8,bprime_0027_d81f8b64bf83,t3_bprime_primary_v2,t3_bprime_primary,18,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,058536b07429db6f8dc10b597763f2a2be5abad3249836f36bf004e7cca78b69;9ad23e71edbabe999023624ee10b0d7bd83cb7dbef97e63f9cb2f6c0e989b491,vocal
r_dad6bef126fa00135bd6,bprime_0038_bc5b29193e38,t3_bprime_primary_v2,t3_bprime_primary,19,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,c951b1b3b88c3abf7bba1d0bbb19867fa2b4af3a7fe72e1ac35baff791ae52b6;c951b1b3b88c3abf7bba1d0bbb19867fa2b4af3a7fe72e1ac35baff791ae52b6,vocal
r_da53ee46c3152dfc77c3,bprime_0040_4f3991ba85b8,t3_bprime_primary_v2,t3_bprime_primary,20,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,528c4b47c7b151e46ed7f949af7fa51ccb0bf1afc45cbd873ba03454f2b53443;8146c080b88208cd62087f8d453edfb3b7c6cffa86c1733d2c7c5aedf3ff32fe,vocal
r_90b4d743728dcb428d5b,bprime_0062_4c7c1cb8ec1d,t3_bprime_primary_v2,t3_bprime_primary,21,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,605848bcc300d1189868bcb9e86cd746a596e496104cf38aca85a8aaa0732294;605848bcc300d1189868bcb9e86cd746a596e496104cf38aca85a8aaa0732294,vocal
r_481945d936cac57fb5dc,bprime_0063_3a0a02941f61,t3_bprime_primary_v2,t3_bprime_primary,22,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,9cc4339c3583f0bd7599f247dbcafa83a8693089895f7a620752f24a7982e596;9cc4339c3583f0bd7599f247dbcafa83a8693089895f7a620752f24a7982e596,instrumental
r_15f2f053c1ccd8489d5f,bprime_0048_8dfa664b337d,t3_bprime_primary_v2,t3_bprime_primary,23,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,c103c0e13389f3f7168944eb719c5b43d9612a53afd3aaf498ce5e5d772ba06f;c103c0e13389f3f7168944eb719c5b43d9612a53afd3aaf498ce5e5d772ba06f,instrumental
