prompt_id,vocal_stratum,rows,clean,clean_rate,ci95_low,ci95_high
held_out_0192,instrumental,8,6,0.75,0.40926987910258916,0.9285223111419724
held_out_0193,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0194,vocal,8,0,0.0,0.0,0.3244156195108769
held_out_0195,vocal,8,2,0.25,0.07147768885802763,0.5907301208974108
held_out_0198,vocal,8,2,0.25,0.07147768885802763,0.5907301208974108
held_out_0201,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0203,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0204,vocal,8,0,0.0,0.0,0.3244156195108769
held_out_0205,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0206,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0207,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0212,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0213,vocal,8,2,0.25,0.07147768885802763,0.5907301208974108
held_out_0216,vocal,8,3,0.375,0.13684175946152105,0.6942621454161981
held_out_0221,vocal,8,2,0.25,0.07147768885802763,0.5907301208974108
held_out_0222,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0223,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0226,vocal,8,5,0.625,0.30573785458380187,0.863158240538479
held_out_0227,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0231,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0232,vocal,8,2,0.25,0.07147768885802763,0.5907301208974108
held_out_0234,vocal,8,3,0.375,0.13684175946152105,0.6942621454161981
held_out_0235,instrumental,8,6,0.75,0.40926987910258916,0.9285223111419724
held_out_0236,instrumental,8,7,0.875,0.5291051942301386,0.9775830911367038
held_out_0237,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0238,instrumental,8,6,0.75,0.40926987910258916,0.9285223111419724
held_out_0239,vocal,8,2,0.25,0.07147768885802763,0.5907301208974108
held_out_0240,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0243,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0244,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0247,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0250,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0252,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0253,instrumental,8,8,1.0,0.6755843804891231,1.0
held_out_0254,vocal,8,1,0.125,0.02241690886329617,0.4708948057698615
held_out_0255,vocal,8,0,0.0,0.0,0.3244156195108769
