condition,rows,type_correct_rate,present_rate,median_vocal_energy_ratio,mean_vocal_energy_ratio
vocal_guidance,1088,0.78125,0.78125,0.2972495,0.3258269227941172
vocal_hints,1088,0.09375,0.09375,0.0575395,0.08206561121323525
vocal_both,1088,0.7794117647058824,0.7794117647058824,0.30127349999999997,0.3236487454044114
instr_text,960,0.3260416666666667,0.6739583333333333,0.34460749999999996,0.37338690312500034
instr_sampler,960,0.34479166666666666,0.6552083333333333,0.3224055,0.35745322812499986
instr_both,960,0.3770833333333333,0.6229166666666667,0.2558725,0.3451047989583334
