fold,train_prompts,test_prompts,selected_threshold,selected_vocal_threshold,selected_instr_threshold,cv_threshold_clean,cv_direction_threshold_clean,always_reseed_clean,always_recondition_clean,n2_low_or_rare_prior_clean,direction_aware_vocal_rare_clean,oracle_upper_bound_clean
0,25,7,0.25,0.25,0.25,0.9855740488512319,0.9855740488512319,0.7303899545909565,0.9848869804160737,0.7821690538451961,0.9337949495969925,0.9926110898321506
1,25,7,0.5,0.25,0.5,0.9460098997320233,0.9460098997320233,0.7889757333399832,0.9455391029970001,0.922169149523022,0.8911623194881277,0.9764297500313592
2,26,6,0.25,0.25,0.0,0.974264486764004,0.9544014780099146,0.8187079809780232,0.9819467023127316,0.9105650105284799,0.8187079809780232,0.9819467023127316
3,26,6,0.5,0.25,0.5,0.9720879225265738,0.9720879225265738,0.5904155201890204,0.9720879225265738,0.9342605858098757,0.8393110725019272,0.9915287223094982
4,26,6,0.25,0.25,0.25,0.973562517522355,0.973562517522355,0.523230407073462,0.9908960484464245,0.824303206404808,0.9291396186421644,0.9908960484464245
