budget_draws,policy,policy_class,prompts,expected_clean_outputs_per_prompt,final_violation_rate,clean_yield_per_compute_draw
1,always_reseed,fixed,32,0.21514892578125,0.78485107421875,0.21514892578125
1,bon_independent_reseed,fixed,32,0.21514892578125,0.78485107421875,0.21514892578125
1,always_recondition,fixed,32,0.58203125,0.41796875,0.58203125
1,direction_aware_vocal_rare,exploratory_rule,32,0.39453125,0.60546875,0.39453125
1,n2_rare_prior,exploratory_rule,32,0.3173828125,0.6826171875,0.3173828125
1,n2_low_or_rare_prior,exploratory_rule,32,0.433349609375,0.566650390625,0.433349609375
1,direction_aware_gain_prior,oracle_or_outcome_informed,32,0.6036376953125,0.3963623046875,0.6036376953125
1,oracle_best_of_reseed_or_recondition,oracle_or_outcome_informed,32,0.6036376953125,0.3963623046875,0.6036376953125
1,threshold_le_0.00000000,threshold_sweep,32,0.21514892578125,0.78485107421875,0.21514892578125
1,threshold_le_0.00390625,threshold_sweep,32,0.21514892578125,0.78485107421875,0.21514892578125
1,threshold_le_0.00781250,threshold_sweep,32,0.21514892578125,0.78485107421875,0.21514892578125
1,threshold_le_0.01562500,threshold_sweep,32,0.2354736328125,0.7645263671875,0.2354736328125
1,threshold_le_0.03125000,threshold_sweep,32,0.2977294921875,0.7022705078125,0.2977294921875
1,threshold_le_0.06250000,threshold_sweep,32,0.39453125,0.60546875,0.39453125
1,threshold_le_0.12500000,threshold_sweep,32,0.50030517578125,0.49969482421875,0.50030517578125
1,threshold_le_0.25000000,threshold_sweep,32,0.58135986328125,0.41864013671875,0.58135986328125
1,threshold_le_0.50000000,threshold_sweep,32,0.58526611328125,0.41473388671875,0.58526611328125
2,always_reseed,fixed,32,0.3590325117111206,0.6409674882888794,0.1795162558555603
2,bon_independent_reseed,fixed,32,0.3590325117111206,0.6409674882888794,0.1795162558555603
2,always_recondition,fixed,32,0.7690048217773438,0.23099517822265625,0.3845024108886719
2,direction_aware_vocal_rare,exploratory_rule,32,0.5750975608825684,0.42490243911743164,0.2875487804412842
2,n2_rare_prior,exploratory_rule,32,0.4842960834503174,0.5157039165496826,0.2421480417251587
2,n2_low_or_rare_prior,exploratory_rule,32,0.6068704128265381,0.3931295871734619,0.30343520641326904
2,direction_aware_gain_prior,oracle_or_outcome_informed,32,0.796910285949707,0.20308971405029297,0.3984551429748535
2,oracle_best_of_reseed_or_recondition,oracle_or_outcome_informed,32,0.796910285949707,0.20308971405029297,0.3984551429748535
2,threshold_le_0.00000000,threshold_sweep,32,0.3590325117111206,0.6409674882888794,0.1795162558555603
2,threshold_le_0.00390625,threshold_sweep,32,0.3590325117111206,0.6409674882888794,0.1795162558555603
2,threshold_le_0.00781250,threshold_sweep,32,0.3590325117111206,0.6409674882888794,0.1795162558555603
2,threshold_le_0.01562500,threshold_sweep,32,0.3859071731567383,0.6140928268432617,0.19295358657836914
2,threshold_le_0.03125000,threshold_sweep,32,0.46544837951660156,0.5345516204833984,0.23272418975830078
2,threshold_le_0.06250000,threshold_sweep,32,0.5750975608825684,0.42490243911743164,0.2875487804412842
2,threshold_le_0.12500000,threshold_sweep,32,0.687313437461853,0.312686562538147,0.3436567187309265
2,threshold_le_0.25000000,threshold_sweep,32,0.7694834470748901,0.23051655292510986,0.38474172353744507
2,threshold_le_0.50000000,threshold_sweep,32,0.7719048261642456,0.2280951738357544,0.3859524130821228
4,always_reseed,fixed,32,0.5330947053057571,0.4669052946942429,0.13327367632643927
4,bon_independent_reseed,fixed,32,0.5330947053057571,0.4669052946942429,0.13327367632643927
4,always_recondition,fixed,32,0.9030059780925512,0.09699402190744877,0.2257514945231378
4,direction_aware_vocal_rare,exploratory_rule,32,0.7490708615223411,0.25092913847765885,0.1872677153805853
4,n2_rare_prior,exploratory_rule,32,0.6607903019021251,0.33920969809787493,0.16519757547553127
4,n2_low_or_rare_prior,exploratory_rule,32,0.7632930856570965,0.23670691434290347,0.19082327141427413
4,direction_aware_gain_prior,oracle_or_outcome_informed,32,0.9279702123658353,0.07202978763416468,0.23199255309145883
4,oracle_best_of_reseed_or_recondition,oracle_or_outcome_informed,32,0.9279702123658353,0.07202978763416468,0.23199255309145883
4,threshold_le_0.00000000,threshold_sweep,32,0.5330947053057571,0.4669052946942429,0.13327367632643927
4,threshold_le_0.00390625,threshold_sweep,32,0.5330947053057571,0.4669052946942429,0.13327367632643927
4,threshold_le_0.00781250,threshold_sweep,32,0.5330947053057571,0.4669052946942429,0.13327367632643927
4,threshold_le_0.01562500,threshold_sweep,32,0.5622724492914131,0.43772755070858693,0.14056811232285327
4,threshold_le_0.03125000,threshold_sweep,32,0.6448641666702315,0.3551358333297685,0.16121604166755787
4,threshold_le_0.06250000,threshold_sweep,32,0.7490708615223411,0.25092913847765885,0.1872677153805853
4,threshold_le_0.12500000,threshold_sweep,32,0.8458781506283231,0.15412184937167694,0.21146953765708076
