policy,prompts,expected_clean_outputs_per_prompt,final_violation_rate,bootstrap_ci_low,bootstrap_ci_high,delta_vs_always_recondition,delta_ci_low,delta_ci_high
always_reseed,32,0.694677602029988,0.30532239797001204,0.587804607666284,0.7955834943066182,-0.2797776049576963,-0.39495888648643346,-0.16774931225281003
always_recondition,32,0.9744552069876842,0.025544793012315825,0.9550133184251792,0.9896593488043252,0.0,0.0,0.0
cv_threshold,32,0.9700180375300121,0.029981962469987855,0.950094020201433,0.9859033857665556,-0.004437169457672294,-0.011659422480491066,0.0020681400235151373
cv_direction_threshold,32,0.9662937233886204,0.03370627661137959,0.9448724701786607,0.9841163634600998,-0.008161483599064052,-0.019006672624825954,0.0007212040949027138
n2_low_or_rare_prior,32,0.873285632501141,0.126714367498859,0.7869520363735621,0.9449659442232857,-0.10116957448654336,-0.1912511089269518,-0.025146632255483477
direction_aware_vocal_rare,32,0.8843016536352667,0.1156983463647333,0.8272840727389059,0.934509993565193,-0.09015355335241763,-0.15121011478335994,-0.03649629168021558
oracle_upper_bound,32,0.9865473349205155,0.013452665079484505,0.9756178574856644,0.9943502033996297,0.012092127932831227,0.002833829364685469,0.023729876025144835
