schedule,compute_fraction,n_prompt_evals,reward_fraction,winner_match,false_negative_top1_prompt_rate,top2_any_retention,mean_selected_reward,mean_full_bon16_reward,mean_regret,median_regret
full_bon16,1.0,128,1.0,1.0,0.0,1.0,2.3673678919707584,2.3673678919707584,0.0,0.0
bon8_first8,0.5,128,0.9885095585235385,0.4765625,0.5234375,0.7421875,2.3401657897548143,2.3673678919707584,0.027202102215944025,0.00424202533326179
bon8_random_subset,0.5,12800,0.9868331676461574,0.502578125,0.497421875,0.774765625,2.3361971558173096,2.3673678919707584,0.031170736153448633,0.0
raw_etp16_sigma0.9_top8_sigma0.7_top4,0.5,128,0.9914158578760932,0.609375,0.390625,0.828125,2.347046069526508,2.3673678919707584,0.020321822444250445,0.0
raw_etp16_sigma0.8_top12,0.85,128,0.9990401403447826,0.9375,0.0625,0.9921875,2.3650955510421987,2.3673678919707584,0.0022723409285593903,0.0
random_prune16_keep8_keep4,0.5,12800,0.96927172048588,0.248359375,0.751640625,0.4478125,2.2946227496735276,2.3673678919707584,0.07274514229723048,0.05202657424853019
etv16_sigma0.9_top8_sigma0.7_top4,0.5,128,0.9939919008743526,0.671875,0.328125,0.90625,2.353144511008923,2.3673678919707584,0.014223380961835171,0.0
etv16_sigma0.8_top12,0.85,128,0.9998097124602596,0.9765625,0.0234375,1.0,2.366917411358935,2.3673678919707584,0.00045048061182345264,0.0
