target,epsilon,calibrated_prune_bottom_candidates,validation_false_negative,test_false_negative_top1_prompt_rate,test_false_negative_top1_ci95_low,test_false_negative_top1_ci95_high,test_false_negative_top2_candidate_rate,test_false_negative_top2_ci95_low,test_false_negative_top2_ci95_high,test_compute_fraction,test_reward_fraction,test_winner_match,test_median_regret
top1_prompt,0.01,1,0.0,0.0,0.0,0.014784391721725852,0.00390625,0.0010718666380393474,0.014129699113927925,0.9416666666666667,1.0,1.0,0.0
top1_prompt,0.03,2,0.016129032258064516,0.0078125,0.0021450454442769468,0.02803334015679694,0.015625,0.00793812955919791,0.03052639133248667,0.8833333333333333,0.9998163583525251,0.9921875,0.0
top1_prompt,0.05,3,0.03225806451612903,0.046875,0.027014582144288417,0.08013377285352566,0.060546875,0.042979313224608864,0.08465986903599208,0.825,0.9992708427607642,0.953125,0.0
top2_candidate,0.01,1,0.008064516129032258,0.0,0.0,0.014784391721725852,0.00390625,0.0010718666380393474,0.014129699113927925,0.9416666666666667,1.0,1.0,0.0
top2_candidate,0.03,2,0.024193548387096774,0.0078125,0.0021450454442769468,0.02803334015679694,0.015625,0.00793812955919791,0.03052639133248667,0.8833333333333333,0.9998163583525251,0.9921875,0.0
top2_candidate,0.05,2,0.024193548387096774,0.0078125,0.0021450454442769468,0.02803334015679694,0.015625,0.00793812955919791,0.03052639133248667,0.8833333333333333,0.9998163583525251,0.9921875,0.0
