schedule,compute_fraction,selection_metric,evaluation_metric,stratum,n_prompt_evals,reward_fraction,winner_match,mean_regret,median_regret
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,lyric_intelligibility,all,512,0.967498633594474,0.794921875,0.023624228635611786,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,lyric_intelligibility,all,512,0.974534693756801,0.818359375,0.018509936150343465,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,lyric_intelligibility,all,51200,0.8087083393197311,0.2497265625,0.13904393654133174,0.0
full_bon8,1.0,common_robust_lcb,section_coherence,all,512,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,section_coherence,all,512,0.9966344632098594,0.474609375,0.0032641119323670864,0.00044664740562438965
bon4_random_subset,0.5,common_robust_lcb,section_coherence,all,51200,0.996636522622267,0.49896484375,0.0032621145830489693,3.141164779663086e-05
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,section_coherence,all,512,0.9922162733316763,0.244140625,0.007549153873696923,0.005791693925857544
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,section_coherence,all,512,0.9930633489979744,0.2890625,0.006727605941705406,0.0048930346965789795
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,section_coherence,all,512,0.9982764332228707,0.673828125,0.0016716248355805874,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,section_coherence,all,512,0.9982764332228707,0.673828125,0.0016716248355805874,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,section_coherence,all,512,0.9984779690248092,0.708984375,0.0014761625789105892,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,section_coherence,all,51200,0.9921619121337028,0.24869140625,0.007601876825792715,0.005766689777374268
full_bon8,1.0,common_robust_lcb,common_robust_lcb,vocal,316,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,common_robust_lcb,vocal,316,0.9820234074742147,0.49050632911392406,0.04133542789664593,0.0006072014258251546
bon4_random_subset,0.5,common_robust_lcb,common_robust_lcb,vocal,31600,0.9828687382482201,0.5043037974683544,0.039391671914660135,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,common_robust_lcb,vocal,316,0.9874294117961468,0.569620253164557,0.028904846208950726,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,common_robust_lcb,vocal,316,0.9920347406578314,0.6772151898734177,0.018315339947992237,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,common_robust_lcb,vocal,316,0.9985440709077325,0.939873417721519,0.0033477674887342577,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,common_robust_lcb,vocal,316,0.9985440709077325,0.939873417721519,0.0033477674887342577,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,common_robust_lcb,vocal,316,0.9997975146135843,0.9841772151898734,0.00046559547246267035,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,common_robust_lcb,vocal,31600,0.9578448024013149,0.250126582278481,0.09693178105416196,0.06702280426648866
full_bon8,1.0,common_robust_lcb,aesthetic_pq,vocal,316,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,aesthetic_pq,vocal,316,0.9843021654279948,0.4778481012658228,0.12533078767076322,0.014333009719848633
bon4_random_subset,0.5,common_robust_lcb,aesthetic_pq,vocal,31600,0.9851502421530164,0.5024050632911392,0.11855978218814994,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,aesthetic_pq,vocal,316,0.9882942621385067,0.5759493670886076,0.09345807153967363,0.0
