schedule,compute_fraction,metric,stratum,n_prompt_evals,reward_fraction,mean_selected_reward,mean_full_bon8_reward,winner_match,top2_all_retention,top2_any_retention,top4_all_retention,top4_any_retention,false_negative_top1_prompt_rate,false_negative_top2_candidate_rate,mean_regret,median_regret
raw_schedule_c_sigma0.8_top6,0.85,aesthetic_cu,all,512,0.9993196453849457,7.803470525890589,7.808783267624676,0.951171875,0.865234375,1.0,0.5625,1.0,0.048828125,0.0673828125,0.005312741734087467,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,aesthetic_cu,all,512,0.9993196453849457,7.803470525890589,7.808783267624676,0.951171875,0.865234375,1.0,0.5625,1.0,0.048828125,0.0673828125,0.005312741734087467,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,aesthetic_cu,all,512,0.9995845260527135,7.8055389216169715,7.808783267624676,0.96484375,0.896484375,1.0,0.708984375,1.0,0.03515625,0.0517578125,0.003244346007704735,0.0
random_prune_keep4_keep2,0.5,aesthetic_cu,all,51200,0.9635624318846885,7.524250195412897,7.808783267624676,0.25263671875,0.0355859375,0.46775390625,0.0,0.78419921875,0.74736328125,0.748330078125,0.28453307221177965,0.17719554901123047
full_bon8,1.0,semantic_fit,all,512,1.0,0.45857357818749733,0.45857357818749733,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,semantic_fit,all,512,0.9191117053434895,0.4214803434733767,0.45857357818749733,0.48046875,0.208984375,0.755859375,0.01171875,0.990234375,0.51953125,0.517578125,0.037093234714120626,0.005309894680976868
bon4_random_subset,0.5,semantic_fit,all,51200,0.9257606180762493,0.42452935917629475,0.45857357818749733,0.50134765625,0.21537109375,0.788125,0.01515625,0.98466796875,0.49865234375,0.498251953125,0.03404421901120259,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,semantic_fit,all,512,0.8807510039149054,0.4038891393574886,0.45857357818749733,0.345703125,0.07421875,0.58203125,0.0,0.8828125,0.654296875,0.671875,0.05468443883000873,0.028457626700401306
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,semantic_fit,all,512,0.8949374949230731,0.41039468930102885,0.45857357818749733,0.408203125,0.095703125,0.640625,0.0,0.90625,0.591796875,0.6318359375,0.048178888886468485,0.02191483974456787
raw_schedule_c_sigma0.8_top6,0.85,semantic_fit,all,512,0.9811993024818327,0.44995207505417056,0.45857357818749733,0.80078125,0.646484375,0.978515625,0.353515625,1.0,0.19921875,0.1875,0.008621503133326769,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,semantic_fit,all,512,0.9811993024818327,0.44995207505417056,0.45857357818749733,0.80078125,0.646484375,0.978515625,0.353515625,1.0,0.19921875,0.1875,0.008621503133326769,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,semantic_fit,all,512,0.989374337941456,0.45370093031669967,0.45857357818749733,0.87109375,0.73046875,0.982421875,0.427734375,1.0,0.12890625,0.1435546875,0.004872647870797664,0.0
random_prune_keep4_keep2,0.5,semantic_fit,all,51200,0.8324038797290755,0.3817184256245173,0.45857357818749733,0.24740234375,0.0353515625,0.46193359375,0.0,0.78330078125,0.75259765625,0.751357421875,0.07685515256298003,0.05820915102958679
full_bon8,1.0,lyric_intelligibility,vocal_scorable,282,1.0,0.6124268411181353,0.6124268411181353,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,lyric_intelligibility,vocal_scorable,282,0.8035230638058531,0.4920990917321845,0.6124268411181353,0.6276595744680851,0.35815602836879434,0.8900709219858156,0.1773049645390071,0.9893617021276596,0.3723404255319149,0.375886524822695,0.12032774938595071,0.0
bon4_random_subset,0.5,lyric_intelligibility,vocal_scorable,28200,0.8073173712873081,0.49442282747728283,0.6124268411181353,0.500709219858156,0.2124822695035461,0.7845035460992907,0.015283687943262412,0.9858510638297873,0.49929078014184397,0.5015070921985816,0.11800401364085242,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,lyric_intelligibility,vocal_scorable,282,0.749533279720681,0.45903429881225233,0.6124268411181353,0.5035460992907801,0.18085106382978725,0.7907801418439716,0.0,0.9609929078014184,0.49645390070921985,0.5141843971631206,0.15339254230588292,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,lyric_intelligibility,vocal_scorable,282,0.8519983306601743,0.5217866462841351,0.6124268411181353,0.6382978723404256,0.22695035460992907,0.8617021276595744,0.0,0.9858156028368794,0.3617021276595745,0.45567375886524825,0.09064019483400021,0.0
raw_schedule_c_sigma0.8_top6,0.85,lyric_intelligibility,vocal_scorable,282,0.9489046245996245,0.5811346617659381,0.6124268411181353,0.8546099290780141,0.6914893617021277,0.9822695035460993,0.5106382978723404,1.0,0.1453900709219858,0.16312056737588654,0.031292179352197164,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,lyric_intelligibility,vocal_scorable,282,0.9764936425285953,0.5980309168657292,0.6124268411181353,0.75177304964539,0.5106382978723404,0.8865248226950354,0.22340425531914893,1.0,0.24822695035460993,0.30141843971631205,0.014395924252406038,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,lyric_intelligibility,vocal_scorable,282,0.9795959253717349,0.5999308381476082,0.6124268411181353,0.8156028368794326,0.6382978723404256,0.8829787234042553,0.3617021276595745,1.0,0.18439716312056736,0.2393617021276596,0.012496002970527047,0.0
random_prune_keep4_keep2,0.5,lyric_intelligibility,vocal_scorable,28200,0.604967030552725,0.37049804750202386,0.6124268411181353,0.251063829787234,0.036382978723404256,0.4656028368794326,0.0,0.7866312056737589,0.7489361702127659,0.7490070921985815,0.2419287936161114,0.1428571428571429
full_bon8,1.0,section_coherence,all,512,1.0,0.969863690668717,0.969863690668717,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,section_coherence,all,512,0.9966344632098594,0.9665995787363499,0.969863690668717,0.474609375,0.19140625,0.791015625,0.005859375,0.982421875,0.525390625,0.5087890625,0.0032641119323670864,0.00044664740562438965
bon4_random_subset,0.5,section_coherence,all,51200,0.996636522622267,0.9666015760856681,0.969863690668717,0.49896484375,0.21376953125,0.78673828125,0.013828125,0.98501953125,0.50103515625,0.49974609375,0.0032621145830489693,3.141164779663086e-05
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,section_coherence,all,512,0.998231550009247,0.9681485352339223,0.969863690668717,0.681640625,0.267578125,0.875,0.0,0.984375,0.318359375,0.4287109375,0.001715155434794724,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,section_coherence,all,512,0.9988632825163474,0.9687612296547741,0.969863690668717,0.744140625,0.318359375,0.90234375,0.0,0.9921875,0.255859375,0.3896484375,0.001102461013942957,0.0
raw_schedule_c_sigma0.8_top6,0.85,section_coherence,all,512,0.9999484201640909,0.9698136652586982,0.969863690668717,0.97265625,0.9140625,0.998046875,0.701171875,1.0,0.02734375,0.0439453125,5.0025410018861294e-05,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,section_coherence,all,512,0.9999484201640909,0.9698136652586982,0.969863690668717,0.97265625,0.9140625,0.998046875,0.701171875,1.0,0.02734375,0.0439453125,5.0025410018861294e-05,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,section_coherence,all,512,0.9999917816036094,0.9698557199444622,0.969863690668717,0.994140625,0.951171875,1.0,0.787109375,1.0,0.005859375,0.0244140625,7.970724254846573e-06,0.0
random_prune_keep4_keep2,0.5,section_coherence,all,51200,0.9921619121337028,0.9622618138429243,0.969863690668717,0.24869140625,0.0350390625,0.4658984375,0.0,0.78822265625,0.75130859375,0.74953125,0.007601876825792715,0.005766689777374268
etv_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,all,256,0.9914183057780169,2.3394031564936797,2.359652976810661,0.6640625,0.26171875,0.86328125,0.0,0.984375,0.3359375,0.4375,0.020249820316981124,0.0
etv_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,all,256,0.9943503525257175,2.3463217693300393,2.359652976810661,0.71875,0.328125,0.91015625,0.0,1.0,0.28125,0.380859375,0.013331207480621785,0.0
etv_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,all,256,0.9993986092824353,2.358233903413733,2.359652976810661,0.95703125,0.87890625,0.99609375,0.65625,1.0,0.04296875,0.0625,0.0014190733969281933,0.0
etv_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,all,256,0.9998163583525251,2.3592196462505304,2.359652976810661,0.9921875,0.96875,1.0,0.81640625,1.0,0.0078125,0.015625,0.00043333056013044116,0.0
