family,param,compute_fraction,sel_common_robust_lcb,sel_aesthetic_pq,sel_aesthetic_cu,sel_semantic_fit,sel_section_coherence,sel_lyric_intelligibility_vocal_scorable,winner_match,false_restart_rate,top2_retention,top4_retention,regret_common_robust_lcb,regret_semantic_fit,regret_lyric_intelligibility_vocal_scorable
adsr_noevpd,"(0.75, 0.65, 0.9, 0.8)",0.530517578125,2.3120867986154163,7.771849101409316,7.65764054376632,0.3336649834495802,0.9563948751892895,0.32218633212972775,0.533203125,0.466796875,0.75,0.931640625,0.0455461077604225,0.12490859473791716,0.29024050898840753
adsr_noevpd,"(0.75, 0.5, 0.9, 0.8)",0.5414143880208333,2.3141694398068022,7.771706775762141,7.663645596243441,0.3306699476202084,0.9567786869592965,0.3172224571479027,0.54296875,0.45703125,0.759765625,0.9296875,0.04346346656903647,0.12790363056728893,0.2952043839702326
adsr_noevpd,"(0.75, 0.35, 0.9, 0.8)",0.551806640625,2.316000294196863,7.778966820798814,7.6692923698574305,0.3282090627258185,0.9569275302346796,0.31662547997658913,0.56640625,0.43359375,0.771484375,0.927734375,0.04163261217897582,0.13036451546167882,0.29580136114154604
adsr_noevpd,"(0.75, 0.65, 0.9, 0.7)",0.573291015625,2.321299734747204,7.773601919412613,7.673394030891359,0.3340119652480098,0.9567634648410603,0.3382716666425302,0.560546875,0.439453125,0.7734375,0.958984375,0.03633317162863463,0.12456161293948753,0.274155174475605
adsr_noevpd,"(0.75, 0.5, 0.9, 0.7)",0.5966552734375,2.3227334646998363,7.779247008264065,7.682613085955381,0.3330803776357243,0.9570165675831959,0.3406088624155998,0.583984375,0.416015625,0.79296875,0.955078125,0.03489944167600238,0.12549320055177304,0.2718179787025355
adsr_noevpd,"(0.75, 0.35, 0.9, 0.7)",0.61767578125,2.3244079760408662,7.783103154972196,7.682272431440651,0.3319001629010927,0.9571996303275228,0.3407519292456438,0.60546875,0.39453125,0.8046875,0.955078125,0.03322493033497244,0.12667341528640463,0.2716749118724915
adsr_noevpd,"(0.75, 0.65, 0.8, 0.7)",0.63486328125,2.335115057279884,7.800954795442522,7.697134234011173,0.333781157948124,0.9576810308499262,0.3678971519331311,0.681640625,0.318359375,0.861328125,0.96484375,0.022517849095954605,0.12479242023937331,0.24452968918500415
adsr_noevpd,"(0.625, 0.65, 0.9, 0.8)",0.6350179036458333,2.334638420228174,7.783427827991545,7.691102680750191,0.3404430410905661,0.9569612261839211,0.37358058506801956,0.662109375,0.337890625,0.8828125,0.984375,0.02299448614766511,0.11813053709693122,0.23884625605011572
adsr_noevpd,"(0.625, 0.5, 0.9, 0.8)",0.6394205729166667,2.335741061180972,7.787825184874237,7.695723176933825,0.3390913869866381,0.9572753774700686,0.38206345003184755,0.673828125,0.326171875,0.888671875,0.984375,0.021891845194866734,0.11948219120085923,0.2303633910862877
adsr_noevpd,"(0.625, 0.35, 0.9, 0.8)",0.6460367838541666,2.3366145029994176,7.790970577858388,7.6966702491045,0.3373917650810654,0.9573455648496747,0.39051352562917957,0.689453125,0.310546875,0.890625,0.982421875,0.0210184033764211,0.12118181310643195,0.22191331548895565
adsr_noevpd,"(0.75, 0.5, 0.8, 0.7)",0.6475748697916667,2.338592262765598,7.802798841148615,7.703225063160062,0.33455355216619864,0.9577914027031511,0.37532362234214833,0.6953125,0.3046875,0.875,0.97265625,0.019040643610240972,0.12402002602129869,0.23710321877598695
adsr_noevpd,"(0.75, 0.35, 0.8, 0.7)",0.657958984375,2.338716350159867,7.7979803727939725,7.700740785337985,0.3364149060003001,0.9579729535616934,0.3722469967571241,0.6953125,0.3046875,0.876953125,0.974609375,0.018916556215971474,0.12215867218719723,0.24017984436101114
adsr_noevpd,"(0.625, 0.65, 0.9, 0.7)",0.6708251953125,2.3400984636303885,7.773023275658488,7.688226654194295,0.34327423954027836,0.9572702213190496,0.3826662075588783,0.703125,0.296875,0.908203125,0.990234375,0.01753444274545024,0.11529933864721897,0.22976063355925697
adsr_noevpd,"(0.625, 0.5, 0.9, 0.7)",0.6874186197916666,2.341970163209427,7.7761983228847384,7.694621121510863,0.3419936899504137,0.9577504427870736,0.3899167525496084,0.728515625,0.271484375,0.916015625,0.9921875,0.015662743166411596,0.11657988823708365,0.22251008856852691
adsr_noevpd,"(0.625, 0.35, 0.9, 0.7)",0.7029215494791666,2.343471719777604,7.7795288590714335,7.695530225522816,0.3396410296322756,0.9579166613984853,0.39019190717806645,0.75390625,0.24609375,0.921875,0.990234375,0.014161186598234642,0.11893254855522173,0.2222349339400688
adsr_noevpd,"(0.625, 0.65, 0.8, 0.7)",0.7129557291666667,2.3479382680744996,7.807919092476368,7.713505765423179,0.3405317792553433,0.9577950054081157,0.39721278440234437,0.8125,0.1875,0.947265625,0.994140625,0.009694638301338961,0.11804179893215405,0.21521405671579089
adsr_noevpd,"(0.625, 0.5, 0.8, 0.7)",0.725146484375,2.3489312460402845,7.804763954132795,7.7151304157450795,0.3413589597171267,0.9579077565576881,0.3982161362756016,0.826171875,0.173828125,0.955078125,0.99609375,0.008701660335554284,0.11721461847037062,0.21421070484253366
adsr_noevpd,"(0.5, 0.65, 0.9, 0.8)",0.7289713541666667,2.345443745981866,7.783967956900597,7.6931555811315775,0.34344638201810085,0.957057997584343,0.40528951559369186,0.783203125,0.216796875,0.955078125,1.0,0.012189160393972734,0.11512719616939648,0.20713732552444344
adsr_noevpd,"(0.5, 0.5, 0.9, 0.8)",0.7301676432291667,2.345265186239491,7.787555136717856,7.69563658349216,0.3434902904905357,0.9573011000175029,0.4070157805677666,0.7890625,0.2109375,0.951171875,0.998046875,0.012367720136347623,0.11508328769696163,0.20541106055036873
adsr_noevpd,"(0.625, 0.35, 0.8, 0.7)",0.734033203125,2.3498445205853513,7.8021726896986365,7.714947275817394,0.34161116179029705,0.9581791370874271,0.39474653652940606,0.8359375,0.1640625,0.953125,0.998046875,0.0077883857904873744,0.11696241639720029,0.21768030458872917
adsr_noevpd,"(0.5, 0.35, 0.9, 0.8)",0.7347493489583333,2.345881974513652,7.789929993450642,7.693300559185445,0.34187469780454194,0.9572806508513168,0.4097107904436275,0.80078125,0.19921875,0.95703125,1.0,0.011750931862186727,0.1166988803829554,0.20271605067450776
adsr_noevpd,"(0.5, 0.65, 0.9, 0.7)",0.7576985677083333,2.3481820196442804,7.776597209274769,7.690409067086875,0.34407940980054263,0.9574054719414562,0.4063964214370675,0.81640625,0.18359375,0.966796875,1.0,0.009450886731557907,0.1144941683869547,0.20603041968106778
adsr_noevpd,"(0.5, 0.5, 0.9, 0.7)",0.7661702473958333,2.3492821605113465,7.780940635129809,7.696827517822385,0.3444071339963557,0.9577295486815274,0.4061570597349398,0.83203125,0.16796875,0.96875,1.0,0.00835074586449234,0.11416644419114164,0.20626978138319546
adsr_noevpd,"(0.5, 0.35, 0.9, 0.7)",0.7772623697916666,2.3502365008559645,7.785906156525016,7.69910085760057,0.34349374977136904,0.9577867971966043,0.4084355436623599,0.853515625,0.146484375,0.97265625,0.998046875,0.007396405519873851,0.1150798284161283,0.20399129745577535
adsr_noevpd,"(0.5, 0.65, 0.8, 0.7)",0.7887858072916667,2.3529442252403747,7.800769375637174,7.711230733431876,0.343147650206447,0.9579921682598069,0.40566739431082754,0.900390625,0.099609375,0.984375,0.998046875,0.004688681135463921,0.11542592798105034,0.20675944680730768
adsr_noevpd,"(0.5, 0.5, 0.8, 0.7)",0.7960611979166666,2.3536584485478196,7.801210667006671,7.714754638262093,0.34302111342367425,0.958051870460622,0.4058474146692639,0.91015625,0.08984375,0.986328125,0.998046875,0.003974457828019136,0.11555246476382308,0.20657942644887137
adsr_noevpd,"(0.5, 0.35, 0.8, 0.7)",0.8025716145833334,2.354603429755703,7.800255703739822,7.715468745678663,0.3435698018347466,0.9581742240116,0.4075219615565767,0.919921875,0.080078125,0.98828125,1.0,0.003029476620135265,0.11500377635275072,0.20490487956155853
adsr_noevpd,"(0.375, 0.65, 0.9, 0.8)",0.8160563151041667,2.350401219929525,7.790016540326178,7.701244594529271,0.3464232346177596,0.9573252162663266,0.407282532664767,0.857421875,0.142578125,0.98046875,1.0,0.007231686446313861,0.11215034356973774,0.20514430845336826
