rating_id,pair_id,prompt_id,seed_idx,baseline_path,comparison_path,comparison_condition,arm_a,arm_b,media_a_sha256,media_b_sha256,position,shuffle_seed,nonce_sha256,analysis_role
r_e6f9670306fb2871ac45,factorial_spot_10,held_out_0046,10,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0046/plain_baseline_s10_2034010010.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0046/positive_sampler_v2_s10_2034010010.flac,positive_sampler,baseline,comparison,00e9faec6e67853c4b95be17402c34181013017c902026a8791c62cc9953b0c2,38cadd15763e6fcb4bf58ee7d6fa68bd027f93627fa33e55fff86a2f0956a21e,11,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_38085a7f44cc1cadcf01,factorial_spot_20,held_out_0009,4,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s04_2034020004.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0009/positive_sampler_v2_s04_2034020004.flac,positive_sampler,comparison,baseline,b294682c279141875874432fcf5b783a0849cc0d8d983a99fe40a8674fa57a73,e802158febfe703440043a5b7584796b13a3a6a828c4e43681fe5a5506cd193b,12,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_9aacecc6ef3da8e6c728,factorial_spot_11,held_out_0222,11,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0222/plain_baseline_s11_2034011011.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0222/positive_sampler_v2_s11_2034011011.flac,positive_sampler,baseline,comparison,51fb3860de759197ba528464e47125c643f227cfd88e6f03c9284c2c13a31b69,63139bf9f09ca5a4f65de0b5bfaa73e41609bd9f24658227f5e1b4129f91908d,13,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_5d3052ac9f00cbea0e9e,factorial_spot_01,held_out_0094,1,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s01_2034001001.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0094/positive_sampler_v2_s01_2034001001.flac,positive_sampler,baseline,comparison,9c3730eef1e9fed74b8019f86c17d530301309b92ac691312d683c180cacbd71,1a88977e5bcfa5edafa76576c698cdb5d0c88c72ba0b1830fcbd1ed938f32072,14,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_259d1885313bcfc049ef,factorial_spot_28,held_out_0235,12,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0235/plain_baseline_s12_2034028012.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0235/positive_sampler_v2_s12_2034028012.flac,positive_sampler,comparison,baseline,ae727fbe41c38fef27129cbbceee773a67d72a8aa0097d090ce5377965f33cb0,7621d9637671257c3baf6460952da2a41893f2f654809ab3968429a2b4c019b0,15,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_72bceba8efc4629bc16b,factorial_spot_18,held_out_0140,2,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0140/plain_baseline_s02_2034018002.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0140/positive_sampler_v2_s02_2034018002.flac,positive_sampler,comparison,baseline,f1cf340e57c3ba15f44b174674ad6352e93e8ed34519dc84c8812a2004d1456e,bb1d84afb7b52e23bc99ae843bc1d714c875985805ddae60451cfd1c1f49f7f0,16,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_0b930e49e47d14b37b50,factorial_spot_16,held_out_0130,0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0130/plain_baseline_s00_2034016000.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0130/positive_sampler_v2_s00_2034016000.flac,positive_sampler,baseline,comparison,d2841fa4d2c88fb53a6c9029967b35e4b94c9e68dad860730cf853788a68c5d4,a71c66373f8351b1bd24b6ddc3c0a5681038b5cbfb8b93ed123c8d21e292de73,17,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_de4315a77269358c74b6,factorial_spot_07,held_out_0088,7,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0088/plain_baseline_s07_2034007007.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0088/positive_sampler_v2_s07_2034007007.flac,positive_sampler,baseline,comparison,e8e4c8e02b0d39c528affe3f1a84c04e4d55e44638cb4a4beae1f52b0aa0e187,7397889ecd8729fbd8ce2b940cb8980b84424f0dea2444e9a3146914b9446792,18,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_1db9ac699bc8c6a178f1,factorial_spot_04,held_out_0041,4,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s04_2034004004.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0041/positive_sampler_v2_s04_2034004004.flac,positive_sampler,comparison,baseline,21b03538697f1e06c5f69947a56c8cd09824107597b2d2788e6495afa88945f4,4f4b12fa1e35ed47d21c2a35327d03866060abfdd5f6fa1976ef65ff8aee42d9,19,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
r_ce4b6058b081951ca5a1,factorial_spot_17,held_out_0161,1,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0161/plain_baseline_s01_2034017001.flac,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0161/positive_sampler_v2_s01_2034017001.flac,positive_sampler,baseline,comparison,aec2cbabacd6c7224577f294c80f4b8045e4396b97b6833fdcacc2820afc4031,23b4de4264aa903c360377315d5789dc0f63ed6cbb071bc703f4d17434b2a55a,20,20260712,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,PI_SPOTCHECK_NOT_PROMOTION_GATE
