bundle_rating_id,scorer_rating_id,bundle_name,position,shuffle_seed,nonce_sha256,media_sha256
r_e695be35a94c5093d33e,aprime_0680_4345318d0dab,t2_aprime_core,21,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,1cd5b61da842c9d34bff0c1a3d617243beadb5de785b258c3f07e24d7aef6349
r_47a14c8285d58c7b4629,aprime_0440_5a67c447858a,t2_aprime_core,22,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,5c9f1a817acc0e7e9c0d48ac6f27762b4f3c73fc2a3bd2d8f32d776b08f72616
r_0dfeff8e7de30239fe5d,aprime_0123_65afee322263,t2_aprime_core,23,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,b7248b4679e598b6d960dcb4ef148d6fa2d17296a66f6a9e48e9a9532fb17fd6
r_869ca57ae7bcdf9c3f06,aprime_0175_ccdd6965bd5c,t2_aprime_core,24,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,44fdddbe26e9c2c5ca381dc6ef7796623ce2c669df72e132ff3cde569a7b89a4
r_a8d34528793036e64a3c,aprime_0586_b4d59b9dd370,t2_aprime_core,25,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,1c685f428107106ca2d4e5fb9db9dd8a67f30ffc567bae7bcddb9daf461bfc4e
r_36021c69f174635c44b3,aprime_0252_b907516a65fc,t2_aprime_core,26,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,2664ffc19acb67ea4fdac854a760257555e566b37c1bb419f214a2389723e51a
r_1f4d6fa42d8610cbad06,aprime_0251_85dbff5dabd1,t2_aprime_core,27,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,dd3211f838ad320698c7e05439219081e6d1106687d1b7053bffdb6de166e25e
r_7d6951dd427aa0c837c8,aprime_0468_95eb0717de90,t2_aprime_core,28,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,3e0d73ce346c042477d9914d1fbfcf06d8fb830221d29ce829f25a56141c1507
r_a6d6f5adf3f2f2fd6d51,aprime_0154_344e9c576e84,t2_aprime_core,29,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,a2e10bbf4a527a5b951324e2a441cdb159fb2b69c9e468f45a113bd507b82297
r_524d1702c3802893bf29,aprime_0600_ecd8bddf55e3,t2_aprime_core,30,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,29f8113398455af4560fe11cf9ba11bc316de27e576816ea7e549f2c9bce2548
r_74e5afaea95f4b22fd34,aprime_0201_c50b8689821f,t2_aprime_core,31,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,3ab6e7e386b6ff4f6d6f1955806424028cea44e254dbf85bb9636ba07a4f32a8
r_3043cade37bd89125a41,aprime_0001_2856569ce627,t2_aprime_core,32,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,52f3ee7cf0eaca816a40d7a810facac9243d1035eaeb344b6321a1034dee5ebc
r_59669dc5746645f6680d,aprime_0092_0f4aaa6c5077,t2_aprime_core,33,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,dfd09d76815af12db86180fe748caac0b0a43784bc230bc798dc6ffb3c51f719
r_cee8f29237c4923dc5c8,aprime_0503_7bde6b74b0bd,t2_aprime_core,34,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,003c4b10dd3fa9561bf00c925d65932a05e67b1e01f130abe7e42d849986c5a5
r_746883ad4c2489848adb,aprime_0069_58b473a79c94,t2_aprime_core,35,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,5ab347451b2a4054130398bd7a7aef71491fab6cd3902a3845efe3d7cc266f76
r_3e15a3e8c739435ab816,aprime_0470_d418f7dcf6a8,t2_aprime_core,36,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,4b7e181e337d6d10daefb17977c759a69b20b732847769d30e24d807f5cb2956
r_d6505422241360629ef3,aprime_0292_7f0236a459a4,t2_aprime_core,37,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,0be1568604438fe5a1c22fb8d55f80915bfcdc806dfa719d9f56d70b458262f1
r_0b059050815110f8373e,aprime_0183_d920698ee434,t2_aprime_core,38,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,f85200d5603cc3ad9a2af4453054b6b2017658b45587db30a77623919e3fcc6b
r_9dc65ba6254f33a26f6b,aprime_0434_45584248d7cc,t2_aprime_core,39,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,7d5e8e65c71387718fb161303bdfbd69296b1c530df1adb1dae59f8ec85f9dd5
r_3fa0e1fcdc861b447123,aprime_0223_801655f5e5e8,t2_aprime_core,40,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,ec4edac505e3aa501a76ab6a8095f5047386cf25fc35c224d5f5c786cd1b8535
r_786b8e807d1b3f1c7747,aprime_0253_0c49c4ef352f,t2_aprime_core,41,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,70f91d4710a3183b6cea26acd125a6608bdf3be4bd60386148c867cc65fd85f3
r_6c6afb75a73cf7e6b1e6,aprime_0648_b632fdc8b8b2,t2_aprime_core,42,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,be7a5428726cac549acce3835086c7495777b8c48220cc3f93ef97e43eeb8583
r_c6e6631043f28b85e63b,aprime_0403_40521083e3a1,t2_aprime_core,43,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,6c3c9c3951626d28221bdcedd48b09fc7d49afcb98427b4bda9028111614fc54
r_3e4d51e2cb3818ef131e,aprime_0646_f66fc773deb4,t2_aprime_core,44,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,99644fe065ae4328287d113846e152bff7bca5ea8ca372783374cd1cf28ba90b
r_cb9a1358f20598f9e5f5,aprime_0004_135d175c5132,t2_aprime_core,45,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,ca9587b537a6fb1c32012d61f18a42f158b395094ac32a59e80cced9e7a1a7dc
r_a139fa35f80f687491dd,aprime_0473_088b54d5fec7,t2_aprime_core,46,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,975878005e47cf97eac53f5c4b0af6f5905433e7fe0316eaf30f0f34f303822e
r_2a070566989316e52487,aprime_0395_eda0a4601ec1,t2_aprime_core,47,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,614b51f5518e7e60b7149b771b84aa41b05c4e31ce2bafef75974193718f5ff8
r_cfd077f0f0abaa38e3fa,aprime_0686_e1ab9d96e86d,t2_aprime_core,48,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,5dda6195c073c32c17d22554df5705008a448486a3616f21c03e0e242c06595d
r_5dbf45dc0f589cb5cf68,aprime_0199_0b332e9c48bb,t2_aprime_core,49,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,56ce3e69911f05bb85f3319d16acddb397dea7eb36c250cda8e0d1c9d21e3ad5
