phase,unit_id,prompt_id,root_seed,checkpoint_step,prefix_nfe,action_nfe,total_program_nfe,scheduler_steps,wall_seconds,cuda_seconds,status
resume,resume::dev_0003::2069001000::6,dev_0003,2069001000,6,6,39,45,24,2.2967237420380116,2.296445556640625,PASS
resume,resume::dev_0042::2069002000::18,dev_0042,2069002000,18,29,16,45,12,1.1181435342878103,1.117981201171875,PASS
resume,resume::dev_0103::2069003001::12,dev_0103,2069003001,12,17,28,45,18,1.6287923362106085,1.628608642578125,PASS
resume,resume::dev_0155::2069005000::6,dev_0155,2069005000,6,6,39,45,24,2.9204290229827166,2.92020751953125,PASS
resume,resume::dev_0202::2069006000::18,dev_0202,2069006000,18,29,16,45,12,1.0275467801839113,1.02739111328125,PASS
resume,resume::dev_0246::2069007001::12,dev_0246,2069007001,12,17,28,45,18,2.5391030870378017,2.538872314453125,PASS
resume,resume::dev_0003::2069001000::12,dev_0003,2069001000,12,17,28,45,18,1.8402909561991692,1.8400548095703124,PASS
resume,resume::dev_0042::2069002001::6,dev_0042,2069002001,6,6,39,45,24,2.225291606038809,2.225062255859375,PASS
resume,resume::dev_0103::2069003001::18,dev_0103,2069003001,18,29,16,45,12,1.0764474626630545,1.0762623291015625,PASS
resume,resume::dev_0155::2069005000::12,dev_0155,2069005000,12,17,28,45,18,2.216235976666212,2.21602197265625,PASS
resume,resume::dev_0202::2069006001::6,dev_0202,2069006001,6,6,39,45,24,2.1353997346013784,2.135187255859375,PASS
resume,resume::dev_0246::2069007001::18,dev_0246,2069007001,18,29,16,45,12,1.6710165031254292,1.6707913818359375,PASS
switch,switch::dev_0001::2069000000::6,dev_0001,2069000000,6,6,39,45,24,2.5156303253024817,2.5153330078125,PASS
switch,switch::dev_0003::2069001000::18,dev_0003,2069001000,18,29,20,49,12,1.2367635238915682,1.236609375,PASS
switch,switch::dev_0042::2069002001::12,dev_0042,2069002001,12,17,38,55,18,2.1576176080852747,2.157437744140625,PASS
switch,switch::dev_0143::2069004000::6,dev_0143,2069004000,6,6,54,60,24,2.8338373471051455,2.8336806640625,PASS
switch,switch::dev_0155::2069005000::18,dev_0155,2069005000,18,29,16,45,12,1.4558301232755184,1.4556654052734375,PASS
switch,switch::dev_0202::2069006001::12,dev_0202,2069006001,12,17,38,55,18,2.104788037016988,2.10460595703125,PASS
switch,switch::dev_0001::2069000000::12,dev_0001,2069000000,12,17,28,45,18,1.925559852272272,1.925170166015625,PASS
switch,switch::dev_0003::2069001001::6,dev_0003,2069001001,6,6,54,60,24,2.949891099706292,2.949700927734375,PASS
switch,switch::dev_0042::2069002001::18,dev_0042,2069002001,18,29,20,49,12,1.349052643403411,1.3488292236328125,PASS
switch,switch::dev_0143::2069004000::12,dev_0143,2069004000,12,17,38,55,18,2.145865149796009,2.145691650390625,PASS
switch,switch::dev_0155::2069005001::6,dev_0155,2069005001,6,6,39,45,24,2.937905501574278,2.937659423828125,PASS
switch,switch::dev_0202::2069006001::18,dev_0202,2069006001,18,29,20,49,12,1.269144631922245,1.2689521484375,PASS
switch,switch::dev_0001::2069000000::18,dev_0001,2069000000,18,29,16,45,12,1.339529750868678,1.339218017578125,PASS
