replicate,best_static_cqs,oracle_cqs,oracle_headroom,compute_saving,nonstatic_prompt_share
0,0.7271072777986588,1.0,0.2728927222013412,0.3311075583434192,1.0
1,0.7347562154429107,0.9391021923210764,0.2043459768781657,0.3341013662902075,1.0
2,0.7516024117009338,0.9840234322992943,0.23242102059836056,0.34958165253731754,1.0
3,0.7033129742735515,0.9416990560799555,0.23838608180640397,0.3332963168610031,1.0
4,0.8422050656914534,1.0,0.15779493430854663,0.3958180516490146,1.0
5,0.6444570994684891,0.8126423690205011,0.16818526955201207,0.2883119348381307,1.0
6,0.8346615555331384,0.936447089680218,0.10178553414707958,0.3785277367643957,1.0
7,0.699827006064293,0.8203524513811001,0.12052544531680709,0.32039220023745624,1.0
8,0.7549867843085055,0.9321150811006104,0.17712829679210484,0.35228245104835265,1.0
9,0.5514943841614316,0.8041119360365505,0.2526175518751189,0.2505079348597338,1.0
10,0.7027844013443232,0.9921143050261918,0.2893299036818686,0.32190789439996176,1.0
11,0.7240349716615117,0.887361212923066,0.16332624126155437,0.328024302671636,1.0
12,0.7973684210526316,0.9921052631578947,0.1947368421052631,0.3641114149008886,1.0
13,0.7544097942401938,1.0,0.24559020575980617,0.3438221164676259,1.0
14,0.807810713343302,1.0,0.192189286656698,0.3726465108468802,1.0
15,0.784667978075285,0.9318194839670747,0.1471515058917897,0.35881841273258547,1.0
16,0.7710318700203093,0.9220824871113887,0.15105061709107948,0.3543382781099544,1.0
17,0.7082539929273696,0.8775890879415537,0.1693350950141841,0.3032513963322652,1.0
18,0.7800208074906966,0.991596974910968,0.2115761674202714,0.3578642856883023,1.0
19,0.8522930982969823,0.9921571556617866,0.13986405736480434,0.39395014531330624,1.0
20,0.6340459757215269,0.882161494865608,0.24811551914408114,0.2892790766086316,1.0
21,0.7126563649742457,1.0,0.28734363502575433,0.32346310790019395,1.0
22,0.8566301508859616,0.9329186944512298,0.07628854356526815,0.3894670222015718,1.0
23,0.7418529322285653,1.0,0.2581470677714347,0.33556109060323525,1.0
24,0.8477433387710712,0.9429037520391517,0.09516041326808045,0.3849967867912403,1.0
25,0.7378250398007917,0.9271339347675225,0.18930889496673076,0.33990340190078927,1.0
26,0.8211295903560666,1.0,0.17887040964393341,0.38438492526560386,1.0
27,0.7458005355838676,0.9275744542724986,0.18177391868863102,0.34376406276511773,1.0
28,0.6414805577598912,0.9404829384423534,0.2990023806824622,0.29570704207933546,1.0
29,0.7392588358578641,0.8719634181194628,0.13270458226159865,0.3395602206691089,1.0
30,0.7289768951092693,0.9835802806990109,0.2546033855897416,0.3384408019362474,1.0
31,0.562633728846528,0.799844388251313,0.23721065940478503,0.2511458683312408,1.0
32,0.6676571640820874,0.8517968242176618,0.18413966013557437,0.3130889168404258,1.0
33,0.7238586156111929,0.9832822513234885,0.25942363571229554,0.3426532369831338,1.0
34,0.6971317266928923,0.9238055226673796,0.22667379597448734,0.3149041883526091,1.0
35,0.7836629897299353,0.8801825789273489,0.09651958919741355,0.35815813133234203,1.0
36,0.7585961161589166,0.8877605558524853,0.1291644396935686,0.3447483925303273,1.0
37,0.817872847020872,0.9838706580387488,0.1659978110178768,0.37076015633591625,1.0
38,0.6348076597186917,0.8220640569395018,0.1872563972208101,0.28241232867567384,1.0
39,0.7515193476421264,0.8788368336025848,0.12731748596045844,0.3344872682514039,1.0
40,0.800490565308921,0.9229387565907643,0.12244819128184325,0.3610070810661807,1.0
41,0.6981748889898955,0.9853151987692738,0.2871403097793782,0.3220604174679207,1.0
42,0.7414736373583577,0.87537323120862,0.1338995938502623,0.3331262402403516,1.0
43,0.7953991880920163,0.9431664411366711,0.14776725304465488,0.36848074793947594,1.0
44,0.7530145530145531,0.9912681912681913,0.2382536382536382,0.3344660744660745,1.0
45,0.7859387274155538,1.0,0.21406127258444618,0.36400618234868043,1.0
46,0.7776060449939894,0.9078367393668785,0.13023069437288903,0.3686842666749931,1.0
47,0.6988202374650231,0.86500794070937,0.16618770324434695,0.3252098616047796,1.0
48,0.7832272701055507,0.9394382173687348,0.15621094726318407,0.34664236038892376,1.0
49,0.6670156298785975,0.826436718276489,0.15942108839789149,0.3100187505113397,1.0
50,0.6907813389334851,0.8681085749053011,0.177327235971816,0.31802748094871897,1.0
51,0.8278956247083736,1.0,0.17210437529162637,0.38414727657755543,1.0
52,0.7212395902424645,0.8607119168693345,0.13947232662686992,0.336393450311204,1.0
53,0.8194879351630134,0.9914041873887149,0.1719162522257015,0.38880144231037583,1.0
54,0.7722209958056553,0.8735676011960907,0.10134660539043538,0.34243020220061704,1.0
55,0.8452345879060176,0.9342638285335494,0.08902924062753181,0.38548564751886544,1.0
56,0.7434162187246219,0.8781855446846359,0.134769325960014,0.326547113893879,1.0
57,0.621138147873296,0.8523610514392844,0.2312229035659884,0.2862395386904233,1.0
58,0.8927149529132532,0.9919607993262384,0.09924584641298517,0.4133619519596857,1.0
59,0.7912745574893734,1.0,0.20872544251062664,0.35514565794558184,1.0
60,0.7106023519885161,0.9342989123433387,0.22369656035482266,0.3273075269320921,1.0
61,0.7056383943210971,0.8541694797554059,0.14853108543430882,0.32532954786576435,1.0
62,0.7838409475465312,0.8489847715736041,0.06514382402707286,0.35093831718197194,1.0
63,0.8009437923656796,0.9286157045450001,0.1276719121793205,0.37297612707022637,1.0
64,0.776041468879353,0.9401891163179282,0.16414764743857524,0.3475392093570805,1.0
65,0.6872077521539287,0.874644328153292,0.18743657599936325,0.3071114471615894,1.0
66,0.7727955460316823,0.8738309334508241,0.10103538741914175,0.3492170417450292,1.0
67,0.7325314783149386,0.9387921653971708,0.20626068708223222,0.33272773200683975,1.0
68,0.7609790931090569,0.9125242988058871,0.15154520569683028,0.3543063434760185,1.0
69,0.685754808970836,0.9115769878556865,0.22582217888485057,0.3090111289295759,1.0
70,0.8445933014354069,0.9236363636363638,0.07904306220095692,0.3831491953023054,1.0
71,0.6490523925131177,0.9383271986843137,0.28927480617119594,0.2903276044966859,1.0
72,0.7661942439787844,0.9379184418746196,0.17172419789583515,0.3637596730719068,1.0
73,0.7476543301809517,0.9413582545237917,0.19370392434284,0.3467047231568045,1.0
74,0.7956363494813056,0.9305163588236439,0.13488000934233835,0.37575397801365606,1.0
75,0.7246725474472064,0.991980753809142,0.26730820636193553,0.3325470306224115,1.0
76,0.7388272583201267,0.8580031695721078,0.11917591125198101,0.331966575421409,1.0
77,0.7812303649968583,0.9920031987205118,0.21077283372365352,0.36149436329364354,1.0
78,0.6324265136211746,0.881062508259548,0.24863599463837338,0.29034220701988644,1.0
79,0.7839822563509962,0.9256332357929659,0.1416509794419697,0.3635457137870796,1.0
80,0.6907038359635985,0.8629190185462504,0.1722151825826519,0.2993056937302992,1.0
81,0.7404490586834012,0.8730689232191428,0.1326198645357416,0.34593728434726817,1.0
