replicate,best_static_cqs,promptonly_policy_cqs,promptstate_policy_cqs,state_incremental_value,crossfit_nonstatic_share
0,0.7782512473064007,0.780192580225583,0.780192580225583,0.0,0.07975966298460523
1,0.8861022403308495,0.8913788251416266,0.8913788251416266,0.0,0.0707307075823759
2,0.7652485470857079,0.7750286821268032,0.7750286821268032,0.0,0.11658109048505708
3,0.7403320020129055,0.751941243542459,0.751941243542459,0.0,0.10336206182677546
4,0.7588202402365986,0.7643781536948333,0.7643781536948333,0.0,0.09894770171857419
5,0.7754435444990839,0.7866526853726739,0.7866526853726739,0.0,0.07444436409218011
6,0.9154054907334634,0.9251791843835855,0.9251791843835855,0.0,0.09126144462581194
7,0.7517242696929748,0.7550677289314304,0.7550677289314304,0.0,0.09155028244269947
8,0.8487630753949778,0.8487630753949778,0.8487630753949778,0.0,0.07578917962566348
9,0.6765996258496608,0.678347214177768,0.678347214177768,0.0,0.08991591603587049
10,0.6694149553312448,0.671590381714816,0.671590381714816,0.0,0.127567003132614
11,0.8384822304503308,0.8437039146808444,0.8437039146808444,0.0,0.09572771290230705
12,0.8839925305553993,0.8918616778770788,0.8918616778770788,0.0,0.09083556604775199
13,0.8220155683283327,0.8349841545265035,0.8349841545265035,0.0,0.14917940931930737
14,0.8306937676327263,0.8344340429169872,0.8344340429169872,0.0,0.09650978883474395
15,0.7934707973180386,0.7987721140641408,0.7987721140641408,0.0,0.0716805342380914
16,0.8638716153675674,0.8675381647046554,0.8675381647046554,0.0,0.06105700913867052
17,0.7951749002306703,0.7989106908840778,0.7989106908840778,0.0,0.089599677417442
18,0.813580015026296,0.8254132231404958,0.8254132231404958,0.0,0.1439800901577761
19,0.7303964494686144,0.7402977351430959,0.7402977351430959,0.0,0.11570075229869042
20,0.730964873772742,0.7367135620266042,0.7367135620266042,0.0,0.05905470660785584
21,0.7438444444444443,0.751415873015873,0.751415873015873,0.0,0.14255238095238093
22,0.8851132076656058,0.8984363720819287,0.8984363720819287,0.0,0.1039897306492414
23,0.6915119327549392,0.707627233168464,0.707627233168464,0.0,0.13906794778237247
24,0.7353688355403131,0.7446095709885364,0.7446095709885364,0.0,0.13175828014353308
25,0.7338086303939962,0.739624765478424,0.739624765478424,0.0,0.07566916823014383
26,0.803257791321077,0.8134993508633853,0.8134993508633853,0.0,0.10350870112135828
27,0.7503622290789247,0.7550918522856093,0.7550918522856093,0.0,0.10517030397213274
28,0.7614771793745104,0.7688325086448999,0.7688325086448999,0.0,0.08955352196091167
29,0.7720264317180615,0.7828176069347733,0.7828176069347733,0.0,0.1640465870873004
30,0.760400716922456,0.7771368206150815,0.7771368206150815,0.0,0.1191675865588909
31,0.8031913193045724,0.8072196325922515,0.8072196325922515,0.0,0.10738651985702684
32,0.6957718762415573,0.7035936879221294,0.7035936879221294,0.0,0.13125744934445768
33,0.7117069921160026,0.7249978980319111,0.7249978980319111,0.0,0.11563734906252221
34,0.7117649017649018,0.7175091575091576,0.7175091575091576,0.0,0.07603063603063603
35,0.7320544228438965,0.74208089668616,0.74208089668616,0.0,0.14236605026078714
36,0.8074553695310334,0.8127740264545371,0.8127740264545371,0.0,0.10775753090987576
37,0.7681217131877022,0.7749955754449837,0.7749955754449837,0.0,0.10946033070388347
38,0.7867712559039726,0.7963361723671646,0.7963361723671646,0.0,0.13668377777350532
39,0.7962716497904715,0.8089962410748008,0.8089962410748008,0.0,0.07493270504727134
40,0.8011714493280058,0.8133853977479113,0.8133853977479113,0.0,0.1611817411308875
41,0.8113584418816348,0.8211327007079379,0.8211327007079379,0.0,0.11112202597300533
42,0.7749934019530219,0.7749934019530219,0.7749934019530219,0.0,0.10119094747954606
43,0.733777738076628,0.7384674363727043,0.7384674363727043,0.0,0.0928411383312118
44,0.7733285710506125,0.7873673836547874,0.7873673836547874,0.0,0.0676905574516496
45,0.6371317813806053,0.6449554806275111,0.6449554806275111,0.0,0.06746216021590044
46,0.7893525899527963,0.7893525899527963,0.7893525899527963,0.0,0.0816561943167964
47,0.8306411702991071,0.8385098085792901,0.8385098085792901,0.0,0.09405084756946505
48,0.8643514202249984,0.8692460687426191,0.8692460687426191,0.0,0.0959786189321897
49,0.8036911882752015,0.8330646831870323,0.8330646831870323,0.0,0.13853608327507183
50,0.7557313589897775,0.7613217829224292,0.7613217829224292,0.0,0.09577006915213468
51,0.7107775078097882,0.7211037834085386,0.7211037834085386,0.0,0.10602799953719771
52,0.7030640261130278,0.709246591279259,0.709246591279259,0.0,0.1336796899410329
53,0.7865659998885607,0.7904663732100072,0.7904663732100072,0.0,0.13652235285377315
54,0.6836906826892699,0.6963424593027067,0.6963424593027067,0.0,0.1416700941208729
55,0.7581988178663659,0.7735455996647128,0.7735455996647128,0.0,0.10886661859241041
56,0.728761415997572,0.7387978368236625,0.7387978368236625,0.0,0.07507656650939491
57,0.7991737359586999,0.8066645912781799,0.8066645912781799,0.0,0.08485744675331412
58,0.7874436775455836,0.7893556137633915,0.7893556137633915,0.0,0.0903166803688762
59,0.8341944161607019,0.8456493318751492,0.8456493318751492,0.0,0.06338700959133134
60,0.6078403524718476,0.6149415492602129,0.6149415492602129,0.0,0.1526378579003181
61,0.7303304473048982,0.7358192130408353,0.7358192130408353,0.0,0.14130915915650066
62,0.7978860925710474,0.7978860925710474,0.7978860925710474,0.0,0.099320311064846
63,0.7967234296954854,0.8007733400188997,0.8007733400188997,0.0,0.08861910914829745
64,0.6388778003580587,0.6518967436009097,0.6518967436009097,0.0,0.15816579571297237
65,0.782246723294144,0.7890438956704355,0.7890438956704355,0.0,0.06939678610939229
66,0.7994191078882071,0.8140375848737234,0.8140375848737234,0.0,0.11396321016625312
67,0.7296341471284841,0.7388304840822701,0.7388304840822701,0.0,0.1978535426871374
68,0.7236741816431321,0.7373636071887034,0.7373636071887034,0.0,0.18044635216089003
69,0.8157369864451703,0.8235608655145716,0.8235608655145716,0.0,0.09924352766733587
70,0.8399728262688325,0.8457455708826106,0.8457455708826106,0.0,0.08882664364261857
71,0.7299461768696883,0.7359842361205794,0.7359842361205794,0.0,0.11384014075819844
72,0.7816867674434116,0.7907366646656844,0.7907366646656844,0.0,0.11358606346145682
73,0.7626561410780563,0.7782937995742034,0.7782937995742034,0.0,0.14945268195263484
74,0.8839563277176092,0.8879048836742879,0.8879048836742879,0.0,0.12610935619735258
75,0.8518993733107607,0.8601413763402537,0.8601413763402537,0.0,0.1681249814369301
76,0.7230392658896787,0.7304643493578583,0.7304643493578583,0.0,0.13967008732580927
77,0.7428889469298409,0.7484391129684216,0.7484391129684216,0.0,0.06156486698257527
78,0.7919311609535898,0.8140525013144563,0.8140525013144563,0.0,0.1010079636825299
79,0.659861071998498,0.6650239369191776,0.6650239369191776,0.0,0.11317938608842577
80,0.7796282203880401,0.7837258613176192,0.7837258613176192,0.0,0.1488354244310458
81,0.8396860222251145,0.8524223887349783,0.8524223887349783,0.0,0.1416060837067475
82,0.8608074906656864,0.8684974173453791,0.8684974173453791,0.0,0.11459119253512862
83,0.7408148900708513,0.7529167247687536,0.7529167247687536,0.0,0.09119703579752583
84,0.8164034061362454,0.8263000520020801,0.8263000520020801,0.0,0.06268200728029119
85,0.7840312185672241,0.7946950787914913,0.7946950787914913,0.0,0.12873933613977573
86,0.5674003246158278,0.5734868713840676,0.5734868713840676,0.0,0.13010157333961622
87,0.7224253978134848,0.7359452204022876,0.7359452204022876,0.0,0.16649807415476794
88,0.8146350344903399,0.8210246791436502,0.8210246791436502,0.0,0.19230425701486795
89,0.738155359947838,0.7436679410805844,0.7436679410805844,0.0,0.10053940310008594
90,0.7422680412371134,0.7531174196482716,0.7531174196482716,0.0,0.14429831210834848
91,0.8265564664075228,0.8363224672542302,0.8363224672542302,0.0,0.07390409113651232
92,0.6767943092947728,0.6829223913595759,0.6829223913595759,0.0,0.12940380799362816
93,0.7343105761301678,0.7393875616930669,0.7393875616930669,0.0,0.08546566726975101
94,0.664996305932993,0.6750184703350359,0.6750184703350359,0.0,0.11772188493784332
95,0.8969425746932488,0.902628248629019,0.902628248629019,0.0,0.07331156881805233
96,0.8111166521982726,0.818874174224094,0.818874174224094,0.0,0.1692771343959907
97,0.5849899333450613,0.5930041634902949,0.5930041634902949,0.0,0.13196765639151142
98,0.7785416590278542,0.7947206639044722,0.7947206639044722,0.0,0.13911499773891148
99,0.685521424252949,0.6972433398937472,0.6972433398937472,0.0,0.08863311851194382
100,0.7613177078527268,0.7704992156500876,0.7704992156500876,0.0,0.0994094306542401
101,0.7109606981237276,0.7109606981237276,0.7109606981237276,0.0,0.1271508408863993
102,0.8192470507053092,0.822979285268787,0.822979285268787,0.0,0.06391576097774591
103,0.7208564631245045,0.7306748234583287,0.7306748234583287,0.0,0.12807295796986518
104,0.7561972214655407,0.7600887263104642,0.7600887263104642,0.0,0.07448988857324461
105,0.8217340259467685,0.8356551624624506,0.8356551624624506,0.0,0.08689806251885666
106,0.7770780856423174,0.7831636432910697,0.7831636432910697,0.0,0.1308624205349646
107,0.7739780974235554,0.7832596406783455,0.7832596406783455,0.0,0.11735166632463323
108,0.8482534133799426,0.8597949438913797,0.8597949438913797,0.0,0.07397028649593433
109,0.7450279391221234,0.7504962870377179,0.7504962870377179,0.0,0.11119586795088597
110,0.8339917231000753,0.8395880361173814,0.8395880361173814,0.0,0.07164221218961625
111,0.8479864415212861,0.8575022545635475,0.8575022545635475,0.0,0.08960412973847062
112,0.6904875717017209,0.697848948374761,0.697848948374761,0.0,0.12056405353728489
113,0.7226741433481514,0.7298218754419298,0.7298218754419298,0.0,0.10678250604098648
114,0.7034174296739084,0.7128082880344813,0.7128082880344813,0.0,0.13946327632600727
115,0.8510105731081613,0.8672649093288466,0.8672649093288466,0.0,0.09747408653746287
116,0.6980003179144809,0.703245906851057,0.703245906851057,0.0,0.13709744078842792
117,0.7734045999352122,0.7800993413238311,0.7800993413238311,0.0,0.09500773854515351
118,0.8708864412808999,0.8768768164092648,0.8768768164092648,0.0,0.09228533650135244
119,0.8844882865516632,0.8942740809221268,0.8942740809221268,0.0,0.14232839617878662
120,0.7842162048367147,0.7920613931212336,0.7920613931212336,0.0,0.06745875108549776
121,0.7644988556376041,0.770051018204924,0.770051018204924,0.0,0.11619133986020888
122,0.6939353041055335,0.7136357699508031,0.7136357699508031,0.0,0.14346510514171273
123,0.7303236067780022,0.7360127240472258,0.7360127240472258,0.0,0.08336086132011988
124,0.6003197367604147,0.6059073694666914,0.6059073694666914,0.0,0.10655615570869807
125,0.7459554473853226,0.7562992259067708,0.7562992259067708,0.0,0.15220565865530877
126,0.7414929307452671,0.7490130790671863,0.7490130790671863,0.0,0.11714089321074071
127,0.7766238670694865,0.7801642749244714,0.7801642749244714,0.0,0.11430324773413898
128,0.7865230475849944,0.7914394684306187,0.7914394684306187,0.0,0.08071273204016567
129,0.7890758394991462,0.7961457740466704,0.7961457740466704,0.0,0.05082645608044014
130,0.7947946332510599,0.808464654135814,0.808464654135814,0.0,0.1313461173343459
131,0.8740582163364198,0.8758007235553783,0.8758007235553783,0.0,0.07790168940223705
132,0.8037786774628881,0.8129319955406913,0.8129319955406913,0.0,0.10172211465117643
