prompt_id,stratum,design_weight,checkpoint_step,fold,tier,direction,source_root,target_root,selected_action,selected_predicted_value,all_action_values,target_program_cqs,target_program_nfe
dev_0080,medium_risk_instrumental,2.4,18,0,promptonly,root_a_to_b,0,1,RESTART_CONDITIONED,0.799354074026416,"{""CONTINUE"": 0.5802030653120375, ""FORK_LATENT"": 0.588867230286474, ""RESTART_BASE"": 0.6768047433314065, ""RESTART_CONDITIONED"": 0.799354074026416, ""SWITCH_CONDITION"": 0.7462480088731979}",1,90
dev_0217,vocal_request,13.0,6,0,promptonly,root_a_to_b,0,1,RESTART_BASE,0.9201610847526982,"{""CONTINUE"": 0.8794716175567268, ""FORK_LATENT"": 0.8834245981274588, ""RESTART_BASE"": 0.9201610847526982}",0,90
dev_0217,vocal_request,13.0,12,0,promptonly,root_a_to_b,0,1,RESTART_BASE,0.9201610847526982,"{""CONTINUE"": 0.8794716175567268, ""FORK_LATENT"": 0.8834245981274588, ""RESTART_BASE"": 0.9201610847526982, ""SWITCH_CONDITION"": 0.8798773876548958}",1,90
dev_0217,vocal_request,13.0,18,0,promptonly,root_a_to_b,0,1,RESTART_BASE,0.9201610847526982,"{""CONTINUE"": 0.8794716175567268, ""FORK_LATENT"": 0.8834245981274588, ""RESTART_BASE"": 0.9201610847526982, ""SWITCH_CONDITION"": 0.8798773876548958}",0,90
dev_0254,high_risk_instrumental,2.3333333333333335,6,0,promptonly,root_a_to_b,0,1,RESTART_CONDITIONED,0.6304951680653278,"{""CONTINUE"": 0.1619994995670104, ""FORK_LATENT"": 0.16938485897667918, ""RESTART_BASE"": 0.2580103644641001, ""RESTART_CONDITIONED"": 0.6304951680653278, ""SWITCH_CONDITION"": 0.4596514903713212}",1,90
dev_0254,high_risk_instrumental,2.3333333333333335,12,0,promptonly,root_a_to_b,0,1,RESTART_CONDITIONED,0.6304951680653278,"{""CONTINUE"": 0.1619994995670104, ""FORK_LATENT"": 0.16938485897667918, ""RESTART_BASE"": 0.2580103644641001, ""RESTART_CONDITIONED"": 0.6304951680653278, ""SWITCH_CONDITION"": 0.4596514903713212}",0,90
dev_0254,high_risk_instrumental,2.3333333333333335,18,0,promptonly,root_a_to_b,0,1,RESTART_CONDITIONED,0.6304951680653278,"{""CONTINUE"": 0.1619994995670104, ""FORK_LATENT"": 0.16938485897667918, ""RESTART_BASE"": 0.2580103644641001, ""RESTART_CONDITIONED"": 0.6304951680653278, ""SWITCH_CONDITION"": 0.4596514903713212}",1,90
dev_0010,medium_risk_instrumental,2.0,6,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.7688814433539074,"{""CONTINUE"": 0.5100756031735549, ""FORK_LATENT"": 0.4971822199299603, ""RESTART_BASE"": 0.5839035567034953, ""RESTART_CONDITIONED"": 0.7688814433539074, ""SWITCH_CONDITION"": 0.7580493546077327}",0,90
dev_0010,medium_risk_instrumental,2.0,12,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.7228069630760876,"{""CONTINUE"": 0.5338605907128839, ""FORK_LATENT"": 0.5332220837859554, ""RESTART_BASE"": 0.6821779737542873, ""RESTART_CONDITIONED"": 0.7228069630760876, ""SWITCH_CONDITION"": 0.6974922902369276}",1,90
dev_0010,medium_risk_instrumental,2.0,18,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.7457456804557426,"{""CONTINUE"": 0.5644673376415503, ""FORK_LATENT"": 0.6102230959144765, ""RESTART_BASE"": 0.708792562836879, ""RESTART_CONDITIONED"": 0.7457456804557426, ""SWITCH_CONDITION"": 0.7127753988520455}",1,90
dev_0011,vocal_request,15.0,6,0,promptstate,root_a_to_b,0,1,RESTART_BASE,0.7116821363913101,"{""CONTINUE"": 0.6755676454291346, ""FORK_LATENT"": 0.6287778103483832, ""RESTART_BASE"": 0.7116821363913101}",0,90
dev_0011,vocal_request,15.0,12,0,promptstate,root_a_to_b,0,1,RESTART_BASE,0.7758845415869545,"{""CONTINUE"": 0.6850538740762302, ""FORK_LATENT"": 0.6466954551784856, ""RESTART_BASE"": 0.7758845415869545, ""SWITCH_CONDITION"": 0.7728172957013746}",0,90
dev_0011,vocal_request,15.0,18,0,promptstate,root_a_to_b,0,1,RESTART_BASE,0.7960791921994971,"{""CONTINUE"": 0.6864823814443626, ""FORK_LATENT"": 0.6456741526502531, ""RESTART_BASE"": 0.7960791921994971, ""SWITCH_CONDITION"": 0.7260375915751776}",0,90
dev_0030,low_risk_instrumental,2.3333333333333335,6,0,promptstate,root_a_to_b,0,1,SWITCH_CONDITION,0.8002354968428523,"{""CONTINUE"": 0.6041370820395868, ""FORK_LATENT"": 0.5943329109299229, ""RESTART_BASE"": 0.6800717609638701, ""RESTART_CONDITIONED"": 0.798746350905311, ""SWITCH_CONDITION"": 0.8002354968428523}",0,84
dev_0030,low_risk_instrumental,2.3333333333333335,12,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.7962871349720052,"{""CONTINUE"": 0.5945796772879824, ""FORK_LATENT"": 0.5873354373761779, ""RESTART_BASE"": 0.7151456830476047, ""RESTART_CONDITIONED"": 0.7962871349720052, ""SWITCH_CONDITION"": 0.7410538604349917}",1,90
dev_0030,low_risk_instrumental,2.3333333333333335,18,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.803820889266556,"{""CONTINUE"": 0.5894382895725739, ""FORK_LATENT"": 0.5906261954576437, ""RESTART_BASE"": 0.7469289987882997, ""RESTART_CONDITIONED"": 0.803820889266556, ""SWITCH_CONDITION"": 0.6804557840001475}",0,90
dev_0070,low_risk_instrumental,2.3333333333333335,6,0,promptstate,root_a_to_b,0,1,SWITCH_CONDITION,0.807744011321199,"{""CONTINUE"": 0.633966120898044, ""FORK_LATENT"": 0.6314112552852517, ""RESTART_BASE"": 0.7177802408715286, ""RESTART_CONDITIONED"": 0.7955580091757023, ""SWITCH_CONDITION"": 0.807744011321199}",0,84
dev_0070,low_risk_instrumental,2.3333333333333335,12,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.7841289325069319,"{""CONTINUE"": 0.6421335062763005, ""FORK_LATENT"": 0.6478060107165827, ""RESTART_BASE"": 0.770721805284081, ""RESTART_CONDITIONED"": 0.7841289325069319, ""SWITCH_CONDITION"": 0.7579847579488302}",1,90
dev_0070,low_risk_instrumental,2.3333333333333335,18,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.8283962321980577,"{""CONTINUE"": 0.6056251585445844, ""FORK_LATENT"": 0.6162396804288189, ""RESTART_BASE"": 0.7489430339983648, ""RESTART_CONDITIONED"": 0.8283962321980577, ""SWITCH_CONDITION"": 0.7011113288074757}",1,90
