stratum,prompts,best_static_cqs60,oracle_cqs60,oracle_headroom,nonstatic_prompt_share,oracle_mean_minimum_success_nfe
high_risk_instrumental,12,0.5572916666666667,0.9375,0.38020833333333326,1.0,48.28125000000001
low_risk_instrumental,12,0.7648809523809524,1.0,0.23511904761904756,1.0,45.43750000000001
medium_risk_instrumental,12,0.5806451612903226,1.0,0.4193548387096774,1.0,47.25806451612903
vocal_request,12,0.8137254901960784,0.9019607843137255,0.08823529411764708,1.0,49.94117647058823
