unit_id,prompt_rank,prompt_id,live_stratum,requested_vocal,policy_index,policy,rep,seed,nominal_step_budget,output_ledger
w2live_04_3_0,4,held_out_0041,instrumental_risk,0,3,corrected_probe_direction_action,0,2035000400,60,live_ledgers/live_w{worker}.jsonl
w2live_04_3_1,4,held_out_0041,instrumental_risk,0,3,corrected_probe_direction_action,1,2035000401,60,live_ledgers/live_w{worker}.jsonl
w2live_05_0_0,5,held_out_0156,instrumental_risk,0,0,no_probe_reseed,0,2035000500,60,live_ledgers/live_w{worker}.jsonl
w2live_05_0_1,5,held_out_0156,instrumental_risk,0,0,no_probe_reseed,1,2035000501,60,live_ledgers/live_w{worker}.jsonl
w2live_05_1_0,5,held_out_0156,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035000500,60,live_ledgers/live_w{worker}.jsonl
w2live_05_1_1,5,held_out_0156,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035000501,60,live_ledgers/live_w{worker}.jsonl
w2live_05_2_0,5,held_out_0156,instrumental_risk,0,2,always_direction_condition,0,2035000500,60,live_ledgers/live_w{worker}.jsonl
w2live_05_2_1,5,held_out_0156,instrumental_risk,0,2,always_direction_condition,1,2035000501,60,live_ledgers/live_w{worker}.jsonl
w2live_05_3_0,5,held_out_0156,instrumental_risk,0,3,corrected_probe_direction_action,0,2035000500,60,live_ledgers/live_w{worker}.jsonl
w2live_05_3_1,5,held_out_0156,instrumental_risk,0,3,corrected_probe_direction_action,1,2035000501,60,live_ledgers/live_w{worker}.jsonl
w2live_06_0_0,6,held_out_0253,instrumental_risk,0,0,no_probe_reseed,0,2035000600,60,live_ledgers/live_w{worker}.jsonl
w2live_06_0_1,6,held_out_0253,instrumental_risk,0,0,no_probe_reseed,1,2035000601,60,live_ledgers/live_w{worker}.jsonl
w2live_06_1_0,6,held_out_0253,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035000600,60,live_ledgers/live_w{worker}.jsonl
w2live_06_1_1,6,held_out_0253,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035000601,60,live_ledgers/live_w{worker}.jsonl
w2live_06_2_0,6,held_out_0253,instrumental_risk,0,2,always_direction_condition,0,2035000600,60,live_ledgers/live_w{worker}.jsonl
w2live_06_2_1,6,held_out_0253,instrumental_risk,0,2,always_direction_condition,1,2035000601,60,live_ledgers/live_w{worker}.jsonl
w2live_06_3_0,6,held_out_0253,instrumental_risk,0,3,corrected_probe_direction_action,0,2035000600,60,live_ledgers/live_w{worker}.jsonl
