task_id,prompt_rank,prompt_id,condition,seed_idx,seed,output_path,demucs_score,panns_score,near_silent,violation,source_role
neutral_control_03_00,3,held_out_0190,neutral-matched,0,2071003000,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s00_2071003000.flac,0.07748854905366898,0.125624418258667,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_03_01,3,held_out_0190,neutral-matched,1,2071003001,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s01_2071003001.flac,0.33960890769958496,0.4680478870868683,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_03_02,3,held_out_0190,neutral-matched,2,2071003002,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s02_2071003002.flac,0.0003191571740899235,0.30162346363067627,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_03_03,3,held_out_0190,neutral-matched,3,2071003003,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s03_2071003003.flac,0.33507391810417175,0.3900310695171356,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_03_04,3,held_out_0190,neutral-matched,4,2071003004,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s04_2071003004.flac,1.4828018720436376e-05,0.025894228368997574,0,0,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_03_05,3,held_out_0190,neutral-matched,5,2071003005,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s05_2071003005.flac,0.8559421300888062,0.6455145478248596,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_03_06,3,held_out_0190,neutral-matched,6,2071003006,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s06_2071003006.flac,0.12815722823143005,0.040665868669748306,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_03_07,3,held_out_0190,neutral-matched,7,2071003007,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s07_2071003007.flac,0.1577310413122177,0.3941117823123932,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_04_00,4,held_out_0041,neutral-matched,0,2071004000,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s00_2071004000.flac,1.2988417665837915e-06,0.01946522668004036,0,0,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_04_01,4,held_out_0041,neutral-matched,1,2071004001,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s01_2071004001.flac,1.4568556707672542e-06,0.032833755016326904,0,0,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_04_02,4,held_out_0041,neutral-matched,2,2071004002,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s02_2071004002.flac,0.8425794839859009,0.11680936068296432,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_04_03,4,held_out_0041,neutral-matched,3,2071004003,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s03_2071004003.flac,0.7131248712539673,0.07614929974079132,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_04_04,4,held_out_0041,neutral-matched,4,2071004004,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s04_2071004004.flac,0.1239556148648262,0.3271232843399048,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_04_05,4,held_out_0041,neutral-matched,5,2071004005,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s05_2071004005.flac,0.1552482694387436,0.27746841311454773,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_04_06,4,held_out_0041,neutral-matched,6,2071004006,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s06_2071004006.flac,0.9370626211166382,0.13278909027576447,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_04_07,4,held_out_0041,neutral-matched,7,2071004007,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0041/neutral_matched_s07_2071004007.flac,0.02506878599524498,0.23477767407894135,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_05_00,5,held_out_0156,neutral-matched,0,2071005000,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s00_2071005000.flac,0.7388448119163513,0.2183298021554947,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_05_01,5,held_out_0156,neutral-matched,1,2071005001,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s01_2071005001.flac,0.6622917056083679,0.36741507053375244,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_05_02,5,held_out_0156,neutral-matched,2,2071005002,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s02_2071005002.flac,0.22544050216674805,0.06577847898006439,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_05_03,5,held_out_0156,neutral-matched,3,2071005003,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s03_2071005003.flac,0.418806254863739,0.1253472864627838,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_05_04,5,held_out_0156,neutral-matched,4,2071005004,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s04_2071005004.flac,0.010920887812972069,0.35248664021492004,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_05_05,5,held_out_0156,neutral-matched,5,2071005005,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s05_2071005005.flac,0.5880711078643799,0.09803978353738785,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_05_06,5,held_out_0156,neutral-matched,6,2071005006,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s06_2071005006.flac,0.23193702101707458,0.08753474056720734,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_05_07,5,held_out_0156,neutral-matched,7,2071005007,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s07_2071005007.flac,0.003019732655957341,0.024484051391482353,0,0,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_06_00,6,held_out_0253,neutral-matched,0,2071006000,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s00_2071006000.flac,0.5236429572105408,0.16079379618167877,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_06_01,6,held_out_0253,neutral-matched,1,2071006001,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s01_2071006001.flac,0.9849348068237305,0.6365516781806946,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_06_02,6,held_out_0253,neutral-matched,2,2071006002,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s02_2071006002.flac,0.8608107566833496,0.20452988147735596,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_06_03,6,held_out_0253,neutral-matched,3,2071006003,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s03_2071006003.flac,0.1824379861354828,0.2844226658344269,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_06_04,6,held_out_0253,neutral-matched,4,2071006004,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s04_2071006004.flac,0.4051576554775238,0.3862864673137665,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_06_05,6,held_out_0253,neutral-matched,5,2071006005,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s05_2071006005.flac,0.21187297999858856,0.12814821302890778,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_06_06,6,held_out_0253,neutral-matched,6,2071006006,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s06_2071006006.flac,0.08708007633686066,0.023861153051257133,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_06_07,6,held_out_0253,neutral-matched,7,2071006007,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s07_2071006007.flac,0.0334586575627327,0.21591320633888245,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_07_00,7,held_out_0088,neutral-matched,0,2071007000,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0088/neutral_matched_s00_2071007000.flac,0.44054505228996277,0.2219560295343399,0,1,NEW_NEUTRAL_MATCHED_GENERATION
neutral_control_07_01,7,held_out_0088,neutral-matched,1,2071007001,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0088/neutral_matched_s01_2071007001.flac,0.9848722815513611,0.468183308839798,0,1,NEW_NEUTRAL_MATCHED_GENERATION
