task_id,prompt_rank,prompt_id,condition,seed_idx,seed,cfg_scale,duration_seconds,inference_steps,neutral_insertion,neutral_full_text_sha256,generation_config_sha256,output_path
neutral_control_01_07,1,held_out_0094,neutral_matched,7,2071001007,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",57b7911b2c0bc28b985eb3dc9a9f30710b80b1b00d7a2298baf38c8008fc6233,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0094/neutral_matched_s07_2071001007.flac
neutral_control_02_00,2,held_out_0117,neutral_matched,0,2071002000,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",8cc379e6d96b5c6cb0abb99ff83ebf1290e664d9c5e348f6e4121731b601904f,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0117/neutral_matched_s00_2071002000.flac
neutral_control_02_01,2,held_out_0117,neutral_matched,1,2071002001,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",8cc379e6d96b5c6cb0abb99ff83ebf1290e664d9c5e348f6e4121731b601904f,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0117/neutral_matched_s01_2071002001.flac
neutral_control_02_02,2,held_out_0117,neutral_matched,2,2071002002,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",8cc379e6d96b5c6cb0abb99ff83ebf1290e664d9c5e348f6e4121731b601904f,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0117/neutral_matched_s02_2071002002.flac
neutral_control_02_03,2,held_out_0117,neutral_matched,3,2071002003,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",8cc379e6d96b5c6cb0abb99ff83ebf1290e664d9c5e348f6e4121731b601904f,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0117/neutral_matched_s03_2071002003.flac
neutral_control_02_04,2,held_out_0117,neutral_matched,4,2071002004,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",8cc379e6d96b5c6cb0abb99ff83ebf1290e664d9c5e348f6e4121731b601904f,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0117/neutral_matched_s04_2071002004.flac
neutral_control_02_05,2,held_out_0117,neutral_matched,5,2071002005,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",8cc379e6d96b5c6cb0abb99ff83ebf1290e664d9c5e348f6e4121731b601904f,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0117/neutral_matched_s05_2071002005.flac
neutral_control_02_06,2,held_out_0117,neutral_matched,6,2071002006,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",8cc379e6d96b5c6cb0abb99ff83ebf1290e664d9c5e348f6e4121731b601904f,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0117/neutral_matched_s06_2071002006.flac
neutral_control_02_07,2,held_out_0117,neutral_matched,7,2071002007,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",8cc379e6d96b5c6cb0abb99ff83ebf1290e664d9c5e348f6e4121731b601904f,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0117/neutral_matched_s07_2071002007.flac
neutral_control_03_00,3,held_out_0190,neutral_matched,0,2071003000,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1b72da3e9794aa6308ffb89d4558003ad2e576f8240f44836845d4bda1367c44,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s00_2071003000.flac
neutral_control_03_01,3,held_out_0190,neutral_matched,1,2071003001,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1b72da3e9794aa6308ffb89d4558003ad2e576f8240f44836845d4bda1367c44,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s01_2071003001.flac
neutral_control_03_02,3,held_out_0190,neutral_matched,2,2071003002,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1b72da3e9794aa6308ffb89d4558003ad2e576f8240f44836845d4bda1367c44,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s02_2071003002.flac
neutral_control_03_03,3,held_out_0190,neutral_matched,3,2071003003,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1b72da3e9794aa6308ffb89d4558003ad2e576f8240f44836845d4bda1367c44,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s03_2071003003.flac
neutral_control_03_04,3,held_out_0190,neutral_matched,4,2071003004,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1b72da3e9794aa6308ffb89d4558003ad2e576f8240f44836845d4bda1367c44,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s04_2071003004.flac
neutral_control_03_05,3,held_out_0190,neutral_matched,5,2071003005,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1b72da3e9794aa6308ffb89d4558003ad2e576f8240f44836845d4bda1367c44,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0190/neutral_matched_s05_2071003005.flac
