task_id,prompt_rank,prompt_id,condition,seed_idx,seed,output_path,demucs_score,panns_score,near_silent,violation,source_role
w2fact_03_0_00,3,held_out_0190,plain,0,2034003000,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0190/plain_baseline_s00_2034003000.flac,0.05764509364962578,0.49264317750930786,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_03_0_01,3,held_out_0190,plain,1,2034003001,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0190/plain_baseline_s01_2034003001.flac,0.46947357058525085,0.6980072855949402,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_03_0_02,3,held_out_0190,plain,2,2034003002,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0190/plain_baseline_s02_2034003002.flac,0.7134063839912415,0.21201542019844055,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_03_0_03,3,held_out_0190,plain,3,2034003003,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0190/plain_baseline_s03_2034003003.flac,0.1317061483860016,0.6502360105514526,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_03_0_04,3,held_out_0190,plain,4,2034003004,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0190/plain_baseline_s04_2034003004.flac,0.3028530478477478,0.057600948959589005,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_03_0_05,3,held_out_0190,plain,5,2034003005,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0190/plain_baseline_s05_2034003005.flac,0.9976786971092224,0.6686006188392639,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_03_0_06,3,held_out_0190,plain,6,2034003006,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0190/plain_baseline_s06_2034003006.flac,0.9999234080314636,0.033298976719379425,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_03_0_07,3,held_out_0190,plain,7,2034003007,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0190/plain_baseline_s07_2034003007.flac,0.00421906216070056,0.27927103638648987,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_04_0_00,4,held_out_0041,plain,0,2034004000,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s00_2034004000.flac,0.6454640030860901,0.10187643021345139,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_04_0_01,4,held_out_0041,plain,1,2034004001,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s01_2034004001.flac,0.05268597975373268,0.059787996113300323,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_04_0_02,4,held_out_0041,plain,2,2034004002,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s02_2034004002.flac,0.8589295148849487,0.33725589513778687,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_04_0_03,4,held_out_0041,plain,3,2034004003,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s03_2034004003.flac,1.6537984265596606e-05,0.033356815576553345,0,0,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_04_0_04,4,held_out_0041,plain,4,2034004004,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s04_2034004004.flac,0.1759950816631317,0.2921222448348999,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_04_0_05,4,held_out_0041,plain,5,2034004005,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s05_2034004005.flac,0.6984809637069702,0.09402994066476822,0,1,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_04_0_06,4,held_out_0041,plain,6,2034004006,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s06_2034004006.flac,3.766713689401513e-06,0.022975975647568703,0,0,ORIGINAL_UNAFFECTED_PRIMARY
w2fact_04_0_07,4,held_out_0041,plain,7,2034004007,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0041/plain_baseline_s07_2034004007.flac,0.24120819568634033,0.03434222564101219,0,1,ORIGINAL_UNAFFECTED_PRIMARY
