model,endpoint,request_start,request_end,decoding,raw_path,summary_path
qwen3.5-omni-plus,https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions,2026-07-07T06:38:50-0700,2026-07-07T06:39:13-0700,"{""modalities"": [""text""], ""seed"": 20260706, ""stream"": true, ""temperature"": 0.0}",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,orbit-research/adsr_phase2_20260604/paper_prep/execution_20260707/judge_smoke_repaired_stdout.json
qwen3.5-omni-flash,https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions,2026-07-07T06:39:39-0700,2026-07-07T06:39:55-0700,"{""modalities"": [""text""], ""seed"": 20260706, ""stream"": true, ""temperature"": 0.0}",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,orbit-research/adsr_phase2_20260604/paper_prep/execution_20260707/judge_smoke_repaired_flash_stdout.json
