legacy_packet,legacy_row_id,classification,pre_amendment,primary_gate_eligible
adjudication,e0c37d70f7,LEGACY_NON_PRIMARY,true,false
adjudication,e29f8613a5,LEGACY_NON_PRIMARY,true,false
adjudication,e8bde3e094,LEGACY_NON_PRIMARY,true,false
adjudication,e97663c199,LEGACY_NON_PRIMARY,true,false
adjudication,ecd650f632,LEGACY_NON_PRIMARY,true,false
adjudication,ee1c686eef,LEGACY_NON_PRIMARY,true,false
adjudication,efc9f29abe,LEGACY_NON_PRIMARY,true,false
adjudication,f12aa92316,LEGACY_NON_PRIMARY,true,false
adjudication,f4ba2c022f,LEGACY_NON_PRIMARY,true,false
adjudication,f59253d6e0,LEGACY_NON_PRIMARY,true,false
adjudication,f6055b026c,LEGACY_NON_PRIMARY,true,false
adjudication,f6a675aa1a,LEGACY_NON_PRIMARY,true,false
adjudication,f94b389a30,LEGACY_NON_PRIMARY,true,false
adjudication,fb046871a7,LEGACY_NON_PRIMARY,true,false
adjudication,fc14994663,LEGACY_NON_PRIMARY,true,false
adjudication,ff99cc7c12,LEGACY_NON_PRIMARY,true,false
rare_basin,ebe9bb7289,LEGACY_NON_PRIMARY,true,false
rare_basin,b7caffd851,LEGACY_NON_PRIMARY,true,false
rare_basin,6edcba0b6c,LEGACY_NON_PRIMARY,true,false
rare_basin,33c9eed219,LEGACY_NON_PRIMARY,true,false
rare_basin,923c5f64e1,LEGACY_NON_PRIMARY,true,false
rare_basin,14df153618,LEGACY_NON_PRIMARY,true,false
rare_basin,15d597fdf8,LEGACY_NON_PRIMARY,true,false
rare_basin,86d309e93b,LEGACY_NON_PRIMARY,true,false
rare_basin,7056d9cbc9,LEGACY_NON_PRIMARY,true,false
rare_basin,eb8a69c4bb,LEGACY_NON_PRIMARY,true,false
rare_basin,1615dd2d17,LEGACY_NON_PRIMARY,true,false
rare_basin,c96ae83403,LEGACY_NON_PRIMARY,true,false
rare_basin,78ef8aca62,LEGACY_NON_PRIMARY,true,false
rare_basin,c26530bc5e,LEGACY_NON_PRIMARY,true,false
rare_basin,59c330181d,LEGACY_NON_PRIMARY,true,false
rare_basin,eea0a81585,LEGACY_NON_PRIMARY,true,false
rare_basin,e1c09449b3,LEGACY_NON_PRIMARY,true,false
rare_basin,a15a44a9dc,LEGACY_NON_PRIMARY,true,false
rare_basin,6ba1608eba,LEGACY_NON_PRIMARY,true,false
rare_basin,61c39609e6,LEGACY_NON_PRIMARY,true,false
rare_basin,94d1f69322,LEGACY_NON_PRIMARY,true,false
rare_basin,738f07b3c9,LEGACY_NON_PRIMARY,true,false
rare_basin,4d5901eaee,LEGACY_NON_PRIMARY,true,false
rare_basin,fbc623a9c5,LEGACY_NON_PRIMARY,true,false
rare_basin,29f9799414,LEGACY_NON_PRIMARY,true,false
rare_basin,4d32bb0ea6,LEGACY_NON_PRIMARY,true,false
rare_basin,365acd5bd6,LEGACY_NON_PRIMARY,true,false
rare_basin,a5678d87d0,LEGACY_NON_PRIMARY,true,false
rare_basin,50339d0b18,LEGACY_NON_PRIMARY,true,false
rare_basin,85e22b2802,LEGACY_NON_PRIMARY,true,false
rare_basin,b22b8fc0c4,LEGACY_NON_PRIMARY,true,false
rare_basin,904cfb5567,LEGACY_NON_PRIMARY,true,false
rare_basin,1cdbebb411,LEGACY_NON_PRIMARY,true,false
rare_basin,18fd030a7c,LEGACY_NON_PRIMARY,true,false
rare_basin,1704261cb0,LEGACY_NON_PRIMARY,true,false
rare_basin,319e8e2df6,LEGACY_NON_PRIMARY,true,false
rare_basin,e85969841f,LEGACY_NON_PRIMARY,true,false
rare_basin,b2f6ac09e4,LEGACY_NON_PRIMARY,true,false
rare_basin,8880cf129b,LEGACY_NON_PRIMARY,true,false
rare_basin,68e7809afe,LEGACY_NON_PRIMARY,true,false
rare_basin,c6d2887cf8,LEGACY_NON_PRIMARY,true,false
rare_basin,b70ed32290,LEGACY_NON_PRIMARY,true,false
rare_basin,789f80e3f1,LEGACY_NON_PRIMARY,true,false
rare_basin,c748394525,LEGACY_NON_PRIMARY,true,false
rare_basin,d8f63ba5f0,LEGACY_NON_PRIMARY,true,false
rare_basin,1bfba5cfd7,LEGACY_NON_PRIMARY,true,false
rare_basin,a924eb3729,LEGACY_NON_PRIMARY,true,false
rare_basin,dff3291a34,LEGACY_NON_PRIMARY,true,false
rare_basin,19eb9a5b78,LEGACY_NON_PRIMARY,true,false
rare_basin,6a5179f343,LEGACY_NON_PRIMARY,true,false
rare_basin,b15b6236be,LEGACY_NON_PRIMARY,true,false
rare_basin,428182a23c,LEGACY_NON_PRIMARY,true,false
rare_basin,6a43450649,LEGACY_NON_PRIMARY,true,false
rare_basin,07b882d9bc,LEGACY_NON_PRIMARY,true,false
rare_basin,3be39ff2ae,LEGACY_NON_PRIMARY,true,false
rare_basin,0a0c7b4e32,LEGACY_NON_PRIMARY,true,false
rare_basin,96208fa985,LEGACY_NON_PRIMARY,true,false
rare_basin,16251803a3,LEGACY_NON_PRIMARY,true,false
rare_basin,7748df8143,LEGACY_NON_PRIMARY,true,false
rare_basin,1b26f35933,LEGACY_NON_PRIMARY,true,false
spotcheck,cb74d50a62,LEGACY_NON_PRIMARY,true,false
spotcheck,c0bba8ee6b,LEGACY_NON_PRIMARY,true,false
spotcheck,63c6733bc5,LEGACY_NON_PRIMARY,true,false
spotcheck,d981650d64,LEGACY_NON_PRIMARY,true,false
spotcheck,0633d156ca,LEGACY_NON_PRIMARY,true,false
spotcheck,ed00dc61dc,LEGACY_NON_PRIMARY,true,false
spotcheck,b3617ad47e,LEGACY_NON_PRIMARY,true,false
spotcheck,bec2ff45d5,LEGACY_NON_PRIMARY,true,false
spotcheck,1f31df91c6,LEGACY_NON_PRIMARY,true,false
spotcheck,18457d8685,LEGACY_NON_PRIMARY,true,false
spotcheck,a2b12a2559,LEGACY_NON_PRIMARY,true,false
spotcheck,0599f7b6cf,LEGACY_NON_PRIMARY,true,false
spotcheck,24e7154ef5,LEGACY_NON_PRIMARY,true,false
spotcheck,6512aa9084,LEGACY_NON_PRIMARY,true,false
spotcheck,a04761fb39,LEGACY_NON_PRIMARY,true,false
spotcheck,048a3b2598,LEGACY_NON_PRIMARY,true,false
