legacy_packet,legacy_row_id,media_class,flip_risk,new_primary_rating_ids,decisive_rating_ids,canonical_conflict,classification
adjudication,90871c664c,original,no,aprime_0610_1bc7779898df,,no,LEGACY_NON_PRIMARY
adjudication,92c9ca96e1,original,no,aprime_0228_821d00820017,,no,LEGACY_NON_PRIMARY
adjudication,939c52e0fd,original,no,aprime_0383_0d49a21c2ebc,,no,LEGACY_NON_PRIMARY
adjudication,95a433a630,original,no,aprime_0318_aff50034eabd,,no,LEGACY_NON_PRIMARY
adjudication,969a058baa,original,no,aprime_0320_93f891edfbd2,,no,LEGACY_NON_PRIMARY
adjudication,996e4da940,original,no,aprime_0504_a572116e2b38,,no,LEGACY_NON_PRIMARY
adjudication,9b235a332d,original,no,aprime_0251_85dbff5dabd1,,no,LEGACY_NON_PRIMARY
adjudication,9b9b7358d2,original,no,aprime_0334_ffa479660183,,no,LEGACY_NON_PRIMARY
adjudication,a461de6acd,original,no,aprime_0468_95eb0717de90,,no,LEGACY_NON_PRIMARY
adjudication,a46eb6ec7b,original,no,aprime_0194_2fece6846043,,no,LEGACY_NON_PRIMARY
adjudication,ac7444d64c,original,no,aprime_0043_ebc25c0f11b3,,no,LEGACY_NON_PRIMARY
adjudication,aee5f30ccb,original,no,aprime_0016_190db19d0ad7,,no,LEGACY_NON_PRIMARY
adjudication,b543bf3e25,original,no,aprime_0104_48bbf5a928f5,,no,LEGACY_NON_PRIMARY
adjudication,bb56e24b43,original,no,aprime_0071_a6902228de1a,,no,LEGACY_NON_PRIMARY
adjudication,bba9b607a2,original,no,aprime_0651_ca2b2105628f,,no,LEGACY_NON_PRIMARY
adjudication,bc2b100662,original,no,aprime_0011_b9def10055a4,,no,LEGACY_NON_PRIMARY
adjudication,bc807e6c28,original,no,aprime_0570_e6aa58736a3d,,no,LEGACY_NON_PRIMARY
adjudication,bca94602c7,original,no,aprime_0020_165d2ca6da9c,,no,LEGACY_NON_PRIMARY
adjudication,bd008df9d0,original,no,aprime_0366_9e753224479c,,no,LEGACY_NON_PRIMARY
adjudication,bd8858cb7e,original,no,aprime_0220_26f2409390d0,,no,LEGACY_NON_PRIMARY
adjudication,c0022b7598,original,no,aprime_0647_92e26629e8be,,no,LEGACY_NON_PRIMARY
adjudication,c7e03344ef,original,no,aprime_0626_2ef9235a4c99,,no,LEGACY_NON_PRIMARY
adjudication,c87365fc8d,original,no,aprime_0090_cda7942f8b50,,no,LEGACY_NON_PRIMARY
adjudication,c9372b74dd,original,no,aprime_0021_ba5e95fbb64d,,no,LEGACY_NON_PRIMARY
