cohort,request_direction,condition,arm,rows,prompt_count,apparent_rate,apparent_95_ci_low,apparent_95_ci_high,corrected_instrument_rate,corrected_95_ci_low,corrected_95_ci_high,calibrated_rate,joint_95_interval_low,joint_95_interval_high,rogan_gladen_sensitivity_rate,heldout_direction_sensitivity,heldout_direction_specificity,rogan_gladen_operating_stratum,transport_source_correction,publication_status
batch3_release_keep_1342,vocal_request,none,,689,29,0.9492017416545718,0.9301718987032547,0.9632503873325987,0.0,0.0,0.005544499065100385,0.0029611376039837198,0.0002658459734921718,0.006761414689794157,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
candidate_spine_4096,instrumental_request,candidate_final,,1568,196,0.25956632653061223,0.23847336546793016,0.2818344901565782,0.5235969387755102,0.4988487218027253,0.5482298175656917,0.38648503883923124,0.3226333521029085,0.4738123424263569,0.46195080729387183,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
candidate_spine_4096,vocal_request,candidate_final,,2528,316,0.2120253164556962,0.19653490651111657,0.2283895906656577,0.0023734177215189874,0.001088198541784793,0.0051686935576410985,0.0023106920751305893,0.0003519248040564682,0.0039046397538317827,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
n2_population_retry,instrumental_request,none,,6016,47,0.2388630319148936,0.22825724869880895,0.2498020953066513,0.5164561170212766,0.5038218080191269,0.5290694236444372,0.3924254409194969,0.30389640637260257,0.5061913344487776,0.45388596956959587,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
n2_population_retry,vocal_request,none,,10368,81,0.5986689814814815,0.5891990390893259,0.6080658350531521,0.01253858024691358,0.010570093364487295,0.014868153051852894,0.008295715466377902,0.0003585071681386312,0.011200034535195958,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
stage3_intervention,instrumental_request,instr_both,,960,15,0.6229166666666667,0.5918258457683524,0.6530277012960758,0.984375,0.9743804710520793,0.9905085067865574,0.9321526783323564,0.8524668537508959,0.9804224551204829,0.982353138927309,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
stage3_intervention,instrumental_request,instr_sampler,,960,15,0.6552083333333333,0.6245769996626841,0.6846024792576532,0.8333333333333334,0.8084396543763565,0.8555699647814151,0.7862971293440608,0.725939074255705,0.8414578401681219,0.81176681522463,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
stage3_intervention,instrumental_request,instr_text,,960,15,0.6739583333333333,0.6436632509063762,0.7028667690915857,0.8677083333333333,0.844803266976733,0.8876823441566836,0.8071731418865762,0.7343702015632445,0.8771558640406029,0.8505899095845499,1.0,0.8854265886515171,instrumental_request,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
stage3_intervention,vocal_request,vocal_both,,1088,17,0.22058823529411764,0.19695687873166773,0.24618571757832663,0.0027573529411764708,0.0009381822934114246,0.008075451271413965,0.0017096742541254605,0.00021158640210615666,0.004084381950891463,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
stage3_intervention,vocal_request,vocal_guidance,,1088,17,0.21875,0.19519861941829392,0.24428044134110832,0.0,0.0,0.0035183302389371744,0.0006784739129701387,0.00021159019018808392,0.001735849560695379,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
stage3_intervention,vocal_request,vocal_hints,,1088,17,0.90625,0.8874723759467907,0.9221689807340728,0.034926470588235295,0.025550559029682885,0.047574946670505006,0.019041722577579336,0.00029551375841411245,0.02983911094011513,nan,1.0,0.0,overall_fallback_direction_not_estimable,NONE_REQUIRED,DRAFT_AWAITING_DUAL_PI_ADOPTION
