source_path,prompt_id,arm,rep,attempt,seed,requested_vocal,type_correct,prompt_vocal_stratum,clap_score,status,error,elapsed_s,device
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0000/a1_r0_t00_seed2026318000.flac,held_out_0000,1,0,0,2026318000,0,1,instrumental,0.5099326372146606,ok,,102.462,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0000/a1_r1_t02_seed2026318102.flac,held_out_0000,1,1,2,2026318102,0,1,instrumental,0.20654532313346863,ok,,0.376,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0000/a6_r0_t00_seed2026318000.flac,held_out_0000,6,0,0,2026318000,0,1,instrumental,0.5851758718490601,ok,,0.158,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0000/a6_r1_t02_seed2026318102.flac,held_out_0000,6,1,2,2026318102,0,1,instrumental,0.20427440106868744,ok,,0.196,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a1_r0_t01_seed2026319001.flac,held_out_0001,1,0,1,2026319001,1,1,vocal,0.5042024850845337,ok,,8.45,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a1_r1_t01_seed2026319101.flac,held_out_0001,1,1,1,2026319101,1,1,vocal,0.5133704543113708,ok,,0.253,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r0_t02_seed2026319002.flac,held_out_0001,6,0,2,2026319002,1,1,vocal,0.5251383781433105,ok,,0.184,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r0_t05_seed2026319005.flac,held_out_0001,6,0,5,2026319005,1,1,vocal,0.280683696269989,ok,,0.237,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r0_t07_seed2026319007.flac,held_out_0001,6,0,7,2026319007,1,1,vocal,0.5255264639854431,ok,,0.199,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r1_t02_seed2026319102.flac,held_out_0001,6,1,2,2026319102,1,1,vocal,0.43136832118034363,ok,,0.196,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r1_t03_seed2026319103.flac,held_out_0001,6,1,3,2026319103,1,1,vocal,0.4830206334590912,ok,,0.175,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r1_t04_seed2026319104.flac,held_out_0001,6,1,4,2026319104,1,1,vocal,0.449375718832016,ok,,0.292,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0001/a6_r2_t06_seed2026319206.flac,held_out_0001,6,2,6,2026319206,1,1,vocal,0.6524081230163574,ok,,0.703,cuda
