task_id,prompt_id,condition,seed_idx,seed,output_path,apparent_violation,candidate_violation,implementation_role,requested_vocal,demucs_score,panns_score,near_silent,design_weight,corrected_present,corrected_violation,calibrated_violation_probability,calibrated_satisfaction_probability,instrument_status
w2fact_20_0_12,held_out_0009,plain_baseline,12,2034020012,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s12_2034020012.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,1.54988174472237e-06,0.017992904409766197,0,1.0,0,0,6.2702779023003414e-09,0.9999999937297221,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_20_0_13,held_out_0009,plain_baseline,13,2034020013,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s13_2034020013.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.9664594531059265,0.3643608093261719,0,1.0,1,1,0.999990679712277,9.320287723046938e-06,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_20_0_14,held_out_0009,plain_baseline,14,2034020014,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s14_2034020014.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.9795809388160706,0.5805251598358154,0,1.0,1,1,0.9999990305799317,9.69420068330784e-07,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_20_0_15,held_out_0009,plain_baseline,15,2034020015,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0009/plain_baseline_s15_2034020015.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.012181702069938183,0.021760553121566772,0,1.0,0,0,0.0030565055576828003,0.9969434944423172,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_00,held_out_0031,plain_baseline,0,2034026000,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s00_2034026000.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.00011163718590978533,0.04671446606516838,0,1.0,1,1,2.7759973256547934e-05,0.9999722400267435,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_01,held_out_0031,plain_baseline,1,2034026001,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s01_2034026001.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,1.5710668321844423e-06,0.025886712595820427,0,1.0,0,0,1.629032030962007e-08,0.9999999837096797,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_02,held_out_0031,plain_baseline,2,2034026002,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s02_2034026002.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.23923896253108978,0.14104260504245758,0,1.0,1,1,0.981661561435646,0.01833843856435402,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_03,held_out_0031,plain_baseline,3,2034026003,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s03_2034026003.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.002396153984591365,0.041260574012994766,0,1.0,0,0,0.0016035441625974736,0.9983964558374026,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_04,held_out_0031,plain_baseline,4,2034026004,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s04_2034026004.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,3.5900995953852544e-06,0.02507997490465641,0,1.0,0,0,3.8779528482413694e-08,0.9999999612204715,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_05,held_out_0031,plain_baseline,5,2034026005,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s05_2034026005.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.007511890958994627,0.5941128134727478,0,1.0,1,1,0.9861329738653786,0.01386702613462143,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_26_0_06,held_out_0031,plain_baseline,6,2034026006,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0031/plain_baseline_s06_2034026006.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,5.792146566818701e-06,0.01578027382493019,0,1.0,0,0,2.283641143194371e-08,0.9999999771635886,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
