source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes,sample_id,copied_path,copied_size_bytes,release_reason,sha256,category,baseline_bon256_prompt_success_rate
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0199/V3_s1_2028602001.flac,ATLAS,v3_vocal,held_out_0199,V3,,,,2028602001,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/v3_vocal_w1.jsonl,5688583,fig6_0018,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_rescued_0018_7ef4a5f2370e.flac,5688583,fig6_candidate_pool,65fac8d4f9638777a9fcae1f4380c8a43fd717357bdf37fc3c9a8bfb840aa0ae,rescued,0.000000
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0045/V3_s3_2027102003.flac,ATLAS,v3_vocal,held_out_0045,V3,,,,2027102003,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/v3_vocal_w3.jsonl,7313776,fig6_0019,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_rescued_0019_14d236f05e64.flac,7313776,fig6_candidate_pool,eddce9a12ddc8b06cf811c31182411f096f13ca51f0ac3971265c6eed6eb3893,rescued,0.002141
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0001/V3_s1_2026202001.flac,ATLAS,v3_vocal,held_out_0001,V3,,,,2026202001,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/v3_vocal_w1.jsonl,3925555,fig6_0020,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_rescued_0020_e963d507dd2f.flac,3925555,fig6_candidate_pool,6bcc629f2c415c3a8482e2ab0550b15284539c3c98c1a07c8533e483a482957f,rescued,0.004237
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0240/V3_s0_2029002000.flac,ATLAS,v3_vocal,held_out_0240,V3,,,,2029002000,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/v3_vocal_w0.jsonl,8257196,fig6_0021,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_rescued_0021_22b8cd630f03.flac,8257196,fig6_candidate_pool,1aa60bc291bab452486626c34780a98905475b8604cf7c2fe64c61855430290e,rescued,0.004415
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0024/V3_s1_2026702001.flac,ATLAS,v3_vocal,held_out_0024,V3,,,,2026702001,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/v3_vocal_w1.jsonl,8294330,fig6_0022,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_rescued_0022_e85af1f5cc70.flac,8294330,fig6_candidate_pool,de4708cdf5ac61f523910ec374da18e53013b69ffdf3a6b6b12642f3b87b5bd0,rescued,0.009756
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0142/V3_s87_2028102087.flac,ATLAS,v3_vocal,held_out_0142,V3,,,,2028102087,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/v3_vocal_w7.jsonl,9338210,fig6_0023,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_rescued_0023_597510867a43.flac,9338210,fig6_candidate_pool,e148b6d52406fa4b9c6109b41369f4d5fdd566f4d26cba2624a2f133bf3938ee,rescued,0.014320
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0254/V3_s2_2029302002.flac,ATLAS,v3_vocal,held_out_0254,V3,,,,2029302002,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/v3_vocal_w2.jsonl,9577863,fig6_0024,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_rescued_0024_b4b93ad31cb5.flac,9577863,fig6_candidate_pool,7597c80ca5fc35138e7d545723a8d440d4bb9eb11757fa0ab2864577c88e689c,rescued,0.016241
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0193/V3_s40_2028502040.flac,ATLAS,v3_vocal,held_out_0193,V3,,,,2028502040,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/v3_vocal_w0.jsonl,5953800,fig6_0025,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_rescued_0025_c17126a70b05.flac,5953800,fig6_candidate_pool,189c6c9d4d08f8a79fc48e102e5d773e7fa6a34a596a1e8c07b5e7db11e1ff14,rescued,0.017065
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0119/V3_s2_2027902002.flac,ATLAS,v3_vocal,held_out_0119,V3,,,,2027902002,1,1,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/v3_vocal_w2.jsonl,9714585,fig6_0026,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_rescued_0026_3136a04d82e8.flac,9714585,fig6_candidate_pool,eb2e0c11a727c45c470d29acda4df50933cd7e48d6aec19c116db036349a6877,rescued,0.019512
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0170/none_s103_2028400103.flac,ATLAS,bon256,held_out_0170,none,,,,2028400103,0,0,1,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,6656482,fig6_0027,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_contrast_fill_0027_826879444d9a.flac,6656482,fig6_candidate_pool,0e6983465f7bd1255da3d0c5850e2323eff7339dc4fd110d8da3f90f56770232,contrast_fill,0.947368
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0001/none_s449_2026200449.flac,ATLAS,bon256,held_out_0001,none,,,,2026200449,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w1.jsonl,3607538,fig6_0028,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_contrast_fill_0028_53356c90c2c2.flac,3607538,fig6_candidate_pool,a85bac1aaccf0878ae4e3f72789fc5ad2d778f4adc060b0361089523d35261ff,contrast_fill,0.004237
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0142/none_s296_2028100296.flac,ATLAS,bon256,held_out_0142,none,,,,2028100296,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_w0.jsonl,8740062,fig6_0029,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_contrast_fill_0029_ca22a7ee98a2.flac,8740062,fig6_candidate_pool,6c528695ba3200bb5e545629ad510da17bdd6e24bd14800876e573601d3f2d8e,contrast_fill,0.014320
batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0012/none_s13_2026800013.flac,ATLAS,bon256_general,held_out_0012,none,,,,2026800013,1,0,0,batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/ledgers/bon256_general_w5.jsonl,3598702,fig6_0030,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/FIG6_CANDIDATE_POOL/media/fig6_contrast_fill_0030_971ff05d23f7.flac,3598702,fig6_candidate_pool,f5e7a575809bd5eef3ef1726836198a98d1d605f28022522ccb62cbe08de24cf,contrast_fill,1.000000
